dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
SequinoG_2024_b	SRR27278107	food	meat	beef	raw_carcass		NF	GRC	SAMN38915575	SRR27278107	SRX22956132	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		5947609854	39954324	75	150.0	142.9885492	151.0	69540	3	1	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278118	food	meat	beef	raw_carcass		NF	GRC	SAMN38915574	SRR27278118	SRX22956121	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		9067055246	60916977	75	150.0	137.7803301	151.0	30485	8	1	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278121	food	meat	beef	raw_carcass		NF	GRC	SAMN38915625	SRR27278121	SRX22956118	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		11247860740	75965966	75	150.0	132.5198401	151.0	22900	1	1	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278122	food	meat	beef	raw_carcass		NF	GRC	SAMN38915624	SRR27278122	SRX22956117	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		6529579584	43744346	75	150.0	138.620622	151.0	21399	2	0	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278123	food	meat	beef	raw_carcass		NF	GRC	SAMN38915623	SRR27278123	SRX22956116	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		6360733111	42547611	75	150.0	142.0985363	151.0	27701	2	0	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278124	food	meat	beef	raw_carcass		NF	GRC	SAMN38915622	SRR27278124	SRX22956115	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		6808892048	45636939	75	150.0	137.6972123	151.0	27291	0	0	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278125	food	meat	beef	raw_carcass		NF	GRC	SAMN38915621	SRR27278125	SRX22956114	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		11986372089	80751225	75	150.0	138.7913109	151.0	361660	4	0	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278126	food	meat	beef	raw_carcass		NF	GRC	SAMN38915620	SRR27278126	SRX22956113	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		8033927977	53854112	75	150.0	142.6173681	151.0	39825	2	1	1	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278127	food	meat	beef	raw_carcass		NF	GRC	SAMN38915619	SRR27278127	SRX22956112	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		8145892219	54538603	75	150.0	142.756049	151.0	110905	3	1	0	0	no	Hrituraj_Dey
SequinoG_2024_b	SRR27278128	food	meat	beef	raw_carcass		NF	GRC	SAMN38915618	SRR27278128	SRX22956111	SRP478800	PRJNA1054326	NCBI	PAIRED	Illumina_NovaSeq_6000	DNeasy_PowerSoil_Pro_Kit		5281191320	35431907	75	150.0	142.9584129	151.0	29665	1	0	0	0	no	Hrituraj_Dey
