clade_name	SirenK_2019__ERR3094541	SirenK_2019__ERR3094543	SirenK_2019__ERR3094540	SirenK_2019__ERR3094542	SirenK_2019__ERR3094547	SirenK_2019__ERR3094549	SirenK_2019__ERR3094548	SirenK_2019__ERR3094545	SirenK_2019__ERR3094546	SirenK_2019__ERR3094544
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__EUK4932	92.02384	94.10544	55.09446	1.93602	83.20914	74.29712	36.12046	39.69634	3.05621	67.7139
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	1.85357	0.87493	5.83822	70.72489	1.68405	18.00783	36.89242	38.82288	67.34511	28.23973
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_cerinus|t__SGB1160	1.62561	0.0	2.62069	0.0	0.0	0.0	0.0	0.0026	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	1.0926	0.0	2.11626	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_pickettii|t__SGB12924	0.8111	1.73233	4.41351	5.05056	1.98294	3.45954	8.55764	4.12085	4.60645	0.61161
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_SGB88487|t__SGB88487	0.50349	0.5871	1.33925	3.33728	1.31192	1.50524	4.73596	2.63392	2.35473	0.34803
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kondonii|t__SGB30476	0.33466	0.0	0.00677	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Chryseomicrobium|s__Chryseomicrobium_aureum|t__SGB94660	0.27461	0.13906	0.07202	1.2759	0.11718	0.42771	2.02487	0.49916	0.5505	0.26368
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__GGB134162|s__GGB134162_SGB178587|t__SGB178587	0.21346	0.1975	0.59833	1.18687	0.40303	0.51883	1.82996	0.65978	0.90316	0.10615
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_sphagniphilus|t__SGB13553	0.20806	0.12568	0.44576	1.08096	0.34972	0.10531	1.28172	0.50714	0.8294	0.04315
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acidocellaceae|g__GGB15887|s__GGB15887_SGB24141|t__SGB24141	0.19115	0.1735	0.43254	1.10514	0.31399	0.22237	1.15303	0.70664	0.81134	0.02499
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_indoltheticum|t__SGB2564	0.15051	0.0	0.14349	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium|s__Novosphingobium_sp_FSW06_99|t__SGB11541	0.14628	0.15309	0.41655	1.04859	0.32821	0.10522	0.9382	0.69019	0.8827	0.04152
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Moraxella|s__Moraxella_osloensis|t__SGB10439	0.09827	0.0	0.49352	0.27042	0.048	0.32619	0.21404	0.26165	0.13237	0.00044
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_atacamensis|t__SGB12194	0.09066	0.0	0.01044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_frateurii|t__SGB1163	0.0865	0.0	0.23157	0.0	0.0	0.0	0.0	0.0	0.0	0.0
