dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
SternesPR_2017	Control1_A_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208457	SRR3017086	SRX1485053	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood		3763295600	37632956	100	100.0	100.0	100.0	2373	0	0	1	1	no	Niccolò_Carlino
SternesPR_2017	Control1_C_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208456	SRR3017087	SRX1485054	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood		3576689800	35766898	100	100.0	100.0	100.0	3378	0	0	1	1	no	Niccolò_Carlino
SternesPR_2017	Control2_A_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208455	SRR3017088	SRX1485055	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood		4068663400	40686634	100	100.0	100.0	100.0	506	0	0	0	1	no	Niccolò_Carlino
SternesPR_2017	Control2_C_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208454	SRR3017089	SRX1485056	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood		3627664400	36276644	100	100.0	100.0	100.0	507	0	0	0	1	no	Niccolò_Carlino
SternesPR_2017	T1D1_A_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208453	SRR3017090	SRX1485057	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood		4005412600	40054126	100	100.0	100.0	100.0	14702	2	0	3	0	no	Niccolò_Carlino
SternesPR_2017	T1D1_B_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208452	SRR3017091	SRX1485058	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood		4235123400	42351234	100	100.0	100.0	100.0	12681	2	0	2	0	no	Niccolò_Carlino
SternesPR_2017	T2D1_A_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208451	SRR3017092	SRX1485059	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood	2014	3634755600	36347556	100	100.0	100.0	100.0	21003	1	0	2	1	no	Niccolò_Carlino
SternesPR_2017	T2D1_B_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208450	SRR3017093	SRX1485060	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood	2014	4341011000	43410110	100	100.0	100.0	100.0	22262	0	0	1	1	no	Niccolò_Carlino
SternesPR_2017	T2D3_A_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208449	SRR3017094	SRX1485061	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood	2014	4256426800	42564268	100	100.0	100.0	100.0	4028	1	0	1	1	no	Niccolò_Carlino
SternesPR_2017	T2D3_B_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208448	SRR3017095	SRX1485062	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood	2014	4222563600	42225636	100	100.0	100.0	100.0	4390	0	0	1	1	no	Niccolò_Carlino
SternesPR_2017	Y1D1_A_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208447	SRR3017096	SRX1485063	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood	2014	4039253400	40392534	100	100.0	100.0	100.0	12653	0	0	1	1	no	Niccolò_Carlino
SternesPR_2017	Y1D1_B_shotgun	food	alcohol	wine	chardonnay_grape_must		F	AUS	SRS1208446	SRR3017097	SRX1485064	SRP067433	PRJNA305659	NCBI	PAIRED	Illumina_MiSeq	PowerFood	2014	4080938600	40809386	100	100.0	100.0	100.0	13734	0	0	1	1	no	Niccolò_Carlino
