dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
UNINA_SM_2025	SRR32641857	food	dairy	cheese	grana	Grana_Padano_DOP_60_mesi	F	ITA	SAMN47283481	SRR32641857	SRX27946399	SRP569479	PRJNA1233909	NCBI	PAIRED	Illumina HiSeq 4000	PowerFood	2022-01-05	10431940232.0	69945006.0	75.0	149.0	146.4978228076667	150.0	23943.0	10.0	5.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821078	food	dairy	cheese	heumilch_bergkaese	Heumilch_Bergkaese	F	AUT	SAMN50305725	SRR34821078	SRX29953468	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-01-02	10584020620.0	72469501.0	75.0	150.0	144.47984908733335	151.0	20936.0	7.0	7.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821044	food	dairy	cheese	bitto	Bitto	F	ITA	SAMN50305737	SRR34821044	SRX29953502	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-01-14	8093785143.0	54250825.0	75.0	150.0	147.6064982036667	150.0	8440.0	6.0	4.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821043	food	dairy	cheese	los_beyos	Los_beyos	F	ESP	SAMN50305792	SRR34821043	SRX29953503	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-08-06	9489621559.0	65777442.0	75.0	150.0	142.45069929433333	151.0	713.0	2.0	0.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821042	food	dairy	cheese	los_beyos	Los_beyos	F	ESP	SAMN50305793	SRR34821042	SRX29953504	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-08-07	6556019489.0	48074477.0	75.0	149.0	133.35183749733332	151.0	602.0	1.0	0.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821041	food	dairy	cheese	edam	Edam	F	NLD	SAMN50305731	SRR34821041	SRX29953505	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-01-08	12405779752.0	89437503.0	75.0	149.0	136.41292769566667	151.0	15942.0	1.0	2.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821040	food	dairy	cheese	fresh_cheese	Fresh_cheese	F	ITA	SAMN50305794	SRR34821040	SRX29953506	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-08-08	9296849447.0	62907648.0	75.0	150.0	146.506135306	151.0	65678.0	2.0	4.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821039	food	dairy	cheese	ripened_cheese	Ripened_cheese	F	ITA	SAMN50305795	SRR34821039	SRX29953507	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-08-09	10519115398.0	70856554.0	75.0	150.0	147.93203183133332	151.0	22349.0	7.0	3.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821038	food	dairy	cheese	fresh_cheese	Fresh_cheese	F	ITA	SAMN50305796	SRR34821038	SRX29953508	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-08-10	7957880297.0	53938682.0	75.0	150.0	145.32081708333334	151.0	111861.0	3.0	4.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821037	food	dairy	cheese	fresh_cheese	Fresh_cheese	F	ITA	SAMN50305797	SRR34821037	SRX29953509	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-08-11	9993391553.0	67632993.0	75.0	150.0	145.986655112	151.0	54012.0	2.0	7.0	0.0	0.0	no	Raffaele Magliulo
UNINA_SM_2025	SRR34821036	food	dairy	cheese	ripened_cheese	Ripened_cheese	F	ITA	SAMN50305798	SRR34821036	SRX29953510	SRP605612	PRJNA1299487	NCBI	PAIRED	HiSeq X Ten	PowerFood	2023-08-12	11553235498.0	77800182.0	75.0	150.0	147.63790076666666	151.0	15819.0	6.0	2.0	0.0	0.0	no	Raffaele Magliulo
