	VerceM_2019	VerceM_2019	VerceM_2019	VerceM_2019
sample	VerceM_2019__ERS1807706	VerceM_2019__ERS1807707	VerceM_2019__ERS1807708	VerceM_2019__ERS1807709
macrocategory	food	food	food	food
category	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages
type	water_kefir	water_kefir	water_kefir	water_kefir
subtype	water_kefir_figs	water_kefir_figs	water_kefir_figs	water_kefir_figs
country	BEL	BEL	BEL	BEL
source	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142	15.65091	12.61829	15.06661	12.42237
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_hilgardii|t__SGB7216	1.7931	8.19079	1.87577	4.5064
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_nagelii|t__SGB7063	4.64422	3.86798	5.53825	3.62464
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Schleiferilactobacillus|s__Schleiferilactobacillus_harbinensis|t__SGB7136	1.14217	0.55218	2.23007	0.6222
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__EUK4932	5.42389	7.35016	3.67212	4.40891
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium|s__Cellulosimicrobium_cellulans|t__SGB16053	0.0	2.41405	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_sp_UCMA15818|t__SGB69410	4.99666	4.4627	6.21686	3.83925
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_aquikefiri|t__SGB17230	24.23941	38.11616	25.72393	47.69229
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus|s__Oenococcus_sicerae|t__SGB27673	42.10963	22.42768	39.6764	22.87461
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_SGB98381|t__SGB98381	0.0	0.0	0.0	0.00933
