dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
VermoteL_2025	ERR15089271	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418692	ERR15089271	ERX14493721	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-02-20	1832755002.0	6841078.0	75.0	288.0	254.6457864513333	301	1900.0	0.0	0.0	0.0	1.0	no	Hrituraj Dey
VermoteL_2025	ERR15089272	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418693	ERR15089272	ERX14493722	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-03-07	2155706699.0	8210974.0	75.0	282.0	247.41675606966663	301	2125.0	2.0	0.0	0.0	1.0	no	Hrituraj Dey
VermoteL_2025	ERR15089273	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418694	ERR15089273	ERX14493723	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-03-24	2475019441.0	9184065.0	75.0	295.0	255.18808101266663	301	2076.0	0.0	1.0	0.0	1.0	no	Hrituraj Dey
VermoteL_2025	ERR15089274	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418695	ERR15089274	ERX14493724	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-04-01	2174891523.0	8497063.0	75.0	254.0	245.99590080233327	301	1804.0	2.0	1.0	0.0	0.0	no	Hrituraj Dey
VermoteL_2025	ERR15089275	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418696	ERR15089275	ERX14493725	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-04-16	2927554029.0	11407411.0	75.0	263.0	240.17323882	301	1921.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
VermoteL_2025	ERR15089276	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418697	ERR15089276	ERX14493726	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-02-20	2085392094.0	7818508.0	75.0	285.0	252.99821633266663	301	3470.0	0.0	1.0	0.0	1.0	no	Hrituraj Dey
VermoteL_2025	ERR15089278	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418699	ERR15089278	ERX14493728	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-03-24	2427202761.0	8933618.0	75.0	296.0	258.5810233473333	301	1170.0	1.0	0.0	0.0	0.0	no	Hrituraj Dey
VermoteL_2025	ERR15089279	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418700	ERR15089279	ERX14493729	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-04-01	2887611458.0	10872284.0	75.0	281.0	247.19237027	301	1986.0	1.0	1.0	0.0	0.0	no	Hrituraj Dey
VermoteL_2025	ERR15089280	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418701	ERR15089280	ERX14493730	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-04-16	2366015021.0	9137236.0	75.0	261.0	243.63900083666667	301	1872.0	2.0	0.0	0.0	0.0	no	Hrituraj Dey
VermoteL_2025	ERR15089282	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418703	ERR15089282	ERX14493732	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-03-04	3698235803.0	13069691.0	75.0	296.0	273.12182215900003	301	24473.0	8.0	5.0	0.0	1.0	no	Hrituraj Dey
VermoteL_2025	ERR15089283	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418704	ERR15089283	ERX14493733	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-03-14	2563453773.0	9074293.0	75.0	296.0	268.6595348793333	301	17810.0	3.0	6.0	0.0	1.0	no	Hrituraj Dey
VermoteL_2025	ERR15089284	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418705	ERR15089284	ERX14493734	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-04-03	2025401420.0	7730374.0	75.0	270.0	246.01548209933333	301	3566.0	1.0	3.0	0.0	0.0	no	Hrituraj Dey
VermoteL_2025	ERR15089285	food	fermented_beverages	korean_rice_vinegar			F	KOR	SAMEA118418706	ERR15089285	ERX14493735	ERP140429	PRJEB55523	NCBI	PAIRED	Illumina MiSeq	DNeasy_blood_and_tissue_kit	2018-04-23	2639376197.0	9571031.0	75.0	295.0	264.15032712933333	301	4133.0	4.0	0.0	0.0	0.0	no	Hrituraj Dey
