dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
WalshAM_2016	ERS1354639	food	dairy	milk			NF	IRL	ERS1354639	ERR1653133	ERX1723449	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		410540823	1363923	301	301.0	301.0	301.0	65	0	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354640	food	dairy	milk			NF	IRL	ERS1354640	ERR1653134	ERX1723450	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		159849060	531060	301	301.0	301.0	301.0	31	0	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354635	food	dairy	kefir	milk_kefir		F	GBR	ERS1354635	ERR1653129	ERX1723445	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		454939226	1511426	301	301.0	301.0	301.0	1722	0	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354636	food	dairy	kefir	milk_kefir		F	FRA	ERS1354636	ERR1653130	ERX1723446	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		502311208	1668808	301	301.0	301.0	301.0	3155	1	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354637	food	dairy	kefir	milk_kefir		F	IRL	ERS1354637	ERR1653131	ERX1723447	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		241634974	802774	301	301.0	301.0	301.0	1696	0	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354638	food	dairy	kefir	milk_kefir		F	GBR	ERS1354638	ERR1653132	ERX1723448	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		317433998	1054598	301	301.0	301.0	301.0	3013	1	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354641	food	dairy	kefir	milk_kefir		F	FRA	ERS1354641	ERR1653135	ERX1723451	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		230875729	767029	301	301.0	301.0	301.0	2286	0	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354642	food	dairy	kefir	milk_kefir		F	IRL	ERS1354642	ERR1653136	ERX1723452	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		282535456	938656	301	301.0	301.0	301.0	2969	1	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354643	food	dairy	kefir	milk_kefir		F	GBR	ERS1354643	ERR1653137	ERX1723453	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		330770706	1098906	301	301.0	301.0	301.0	3427	0	0	0	0	no	Niccolò_Carlino
WalshAM_2016	ERS1354644	food	dairy	kefir	milk_kefir		F	FRA	ERS1354644	ERR1653138	ERX1723454	ERP017163	PRJEB15432	NCBI	SINGLE	Illumina_MiSeq	PowerSoil		363366297	1207197	301	301.0	301.0	301.0	1696	1	0	0	0	no	Niccolò_Carlino
