	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020	WalshAM_2020
sample	WalshAM_2020__ERS3466718	WalshAM_2020__ERS3466719	WalshAM_2020__ERS3466720	WalshAM_2020__ERS3466721	WalshAM_2020__ERS3466722	WalshAM_2020__ERS3466723	WalshAM_2020__ERS3466724	WalshAM_2020__ERS3466725	WalshAM_2020__ERS3466726	WalshAM_2020__ERS3466727	WalshAM_2020__ERS3466728	WalshAM_2020__ERS3466729	WalshAM_2020__ERS3466730	WalshAM_2020__ERS3466731	WalshAM_2020__ERS3466732	WalshAM_2020__ERS3466733	WalshAM_2020__ERS3466734	WalshAM_2020__ERS3466735	WalshAM_2020__ERS3466736	WalshAM_2020__ERS3466737	WalshAM_2020__ERS3466738	WalshAM_2020__ERS3466739	WalshAM_2020__ERS3466740	WalshAM_2020__ERS3466741	WalshAM_2020__ERS3466742	WalshAM_2020__ERS3466743	WalshAM_2020__ERS3466744	WalshAM_2020__ERS3466745	WalshAM_2020__ERS3466746	WalshAM_2020__ERS3466747	WalshAM_2020__ERS3466748	WalshAM_2020__ERS3466749	WalshAM_2020__ERS3466750	WalshAM_2020__ERS3466751	WalshAM_2020__ERS3466752	WalshAM_2020__ERS3466753	WalshAM_2020__ERS3466754	WalshAM_2020__ERS3466755	WalshAM_2020__ERS3466756	WalshAM_2020__ERS3466757	WalshAM_2020__ERS3466758	WalshAM_2020__ERS3466759	WalshAM_2020__ERS3466760	WalshAM_2020__ERS3466761	WalshAM_2020__ERS3466762	WalshAM_2020__ERS3466763	WalshAM_2020__ERS3466764	WalshAM_2020__ERS3466765	WalshAM_2020__ERS3466766	WalshAM_2020__ERS3466767	WalshAM_2020__ERS3466768	WalshAM_2020__ERS3466769	WalshAM_2020__ERS3466770	WalshAM_2020__ERS3466771	WalshAM_2020__ERS3466772	WalshAM_2020__ERS3466773	WalshAM_2020__ERS3466774	WalshAM_2020__ERS3466775	WalshAM_2020__ERS3466776	WalshAM_2020__ERS3466777	WalshAM_2020__ERS3466778	WalshAM_2020__ERS3466779	WalshAM_2020__ERS3466780	WalshAM_2020__ERS3466781	WalshAM_2020__ERS3466782	WalshAM_2020__ERS3466783	WalshAM_2020__ERS3466784	WalshAM_2020__ERS3466785	WalshAM_2020__ERS3466786	WalshAM_2020__ERS3466787	WalshAM_2020__ERS3466788	WalshAM_2020__ERS3466789	WalshAM_2020__ERS3466790	WalshAM_2020__ERS3466791	WalshAM_2020__ERS3466792	WalshAM_2020__ERS3466793	WalshAM_2020__ERS3466794
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	edam	cheddar	mild	gouda	cheddar	blue_cheese	blue_cheese	cheddar	cheddar	tomme	tomme	tomme	smoked_cheese	cheddar	cheddar	tomme	cheddar	blue_cheese	stretched-curd_cheese	stretched-curd_cheese	mild	cheddar	cheddar	cheddar	feta	cheddar	blue_cheese	blue_cheese	hard_cheese	tomme	tomme	mild	cheddar	cheddar	cheddar	brie	cheddar	cheddar	stretched-curd_cheese	cheddar	cheddar	cheddar	cheddar	tomme	cream_cheese	hard_cheese	smoked_cheese	brie	hard_cheese	smoked_cheese	cheddar	tomme	tomme	tomme	smoked_cheese	brie	hard_cheese	smoked_cheese	tomme	tomme	brie	smoked_cheese	blue_cheese	cheddar	fresh_cheese	fresh_cheese	fresh_cheese	tomme	feta	cheddar	brie	brie	smoked_cheese	blue_cheese	cheddar	fresh_cheese	fresh_cheese
country	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL	IRL
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	59.51499	0.95352	7.84212	56.20347	87.67186	37.85057	60.042	0.02268	6.01937	2.23291	72.58429	67.0396	64.84834	1.46012	0.55384	64.65769	0.37499	64.76126	0.0	0.0	76.53754	0.06057	4.27568	35.40614	3.0915	0.0	8.7292	10.6522	0.0	0.0	48.76003	0.03028	0.0	0.0	0.0	13.65701	8.83736	3.94091	0.0	3.42701	2.15087	31.4	31.44304	0.04991	57.21596	0.11102	14.22657	19.37834	67.36611	3.84647	2.23804	23.29934	20.8633	0.0	2.84797	0.40837	0.09858	3.01991	9.50085	0.0123	67.50688	71.60328	57.74464	43.42338	85.86233	88.25345	88.15999	0.50773	0.28591	4.23158	9.1069	0.4595	18.57269	0.0	0.07116	62.57081	0.08593
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	3.08732	86.23676	89.83565	43.69965	4.73747	24.37692	19.90472	32.68817	15.69854	1.9157	23.07505	16.81594	22.1863	15.06533	97.78349	16.82398	35.13505	14.59719	0.0	0.0	18.95148	77.52943	82.42845	59.07411	62.21553	18.43313	3.96493	1.87333	0.34118	0.0	13.83591	0.00344	0.62729	7.38221	97.59548	86.34299	58.13112	94.25808	0.0	94.52781	80.96711	51.7589	52.08622	0.61376	41.25821	14.89373	85.35212	77.59293	6.5234	61.62443	96.64482	64.03511	13.4069	0.0	78.35393	4.3464	0.02531	74.67875	16.05896	0.1046	8.88867	23.02607	31.95883	55.80265	1.19834	3.36618	2.42959	99.49227	99.68672	23.77379	86.77958	0.01669	3.07793	0.07075	0.01532	7.60306	99.89221
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	32.12841	0.01766	0.0	0.0	0.08797	0.0	0.13812	0.0	0.0	5.37448	0.0	10.13653	11.4922	0.0	0.0	0.19907	0.0	1.07803	0.0	0.0	0.18165	0.0	1.7357	1.22222	0.0	0.0	0.0	0.0	0.25111	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44048	0.0	0.00801	0.0	0.0	20.35312	0.0	0.0	8.16884	3.25295	0.01355	0.0	0.0	0.0	0.0	0.01978	0.0	6.81105	1.55752	0.0	0.0	2.14412	0.01738	0.128	0.0	0.0	0.0	0.0	0.0	0.57635	0.0	0.0	0.50174	0.0
