sample	WalshL_xxxx__Y4	WalshL_xxxx__W9	WalshL_xxxx__W8	WalshL_xxxx__W7	WalshL_xxxx__W6	WalshL_xxxx__W5	WalshL_xxxx__W4	WalshL_xxxx__W3	WalshL_xxxx__W2	WalshL_xxxx__W1	WalshL_xxxx__W10	WalshL_xxxx__V9	WalshL_xxxx__V8	WalshL_xxxx__V7	WalshL_xxxx__V6	WalshL_xxxx__V5	WalshL_xxxx__V4	WalshL_xxxx__V3	WalshL_xxxx__V2	WalshL_xxxx__V1	WalshL_xxxx__V12	WalshL_xxxx__V11	WalshL_xxxx__V10	WalshL_xxxx__U5	WalshL_xxxx__U4	WalshL_xxxx__U2	WalshL_xxxx__U-2-9	WalshL_xxxx__U-2-8	WalshL_xxxx__U-2-7	WalshL_xxxx__U-2-12	WalshL_xxxx__U-2-11	WalshL_xxxx__U-2-10	WalshL_xxxx__T5	WalshL_xxxx__T4	WalshL_xxxx__T3	WalshL_xxxx__T2	WalshL_xxxx__T1	WalshL_xxxx__T11	WalshL_xxxx__S9	WalshL_xxxx__S8	WalshL_xxxx__S7	WalshL_xxxx__S6	WalshL_xxxx__S5	WalshL_xxxx__S4	WalshL_xxxx__S3	WalshL_xxxx__S2	WalshL_xxxx__S1	WalshL_xxxx__S12	WalshL_xxxx__S11	WalshL_xxxx__S10	WalshL_xxxx__R9	WalshL_xxxx__R8	WalshL_xxxx__R7	WalshL_xxxx__R6	WalshL_xxxx__R5	WalshL_xxxx__R4	WalshL_xxxx__R3	WalshL_xxxx__R2	WalshL_xxxx__R1	WalshL_xxxx__R12	WalshL_xxxx__R11	WalshL_xxxx__R10	WalshL_xxxx__Q9	WalshL_xxxx__Q8	WalshL_xxxx__Q7	WalshL_xxxx__Q6	WalshL_xxxx__Q5	WalshL_xxxx__Q4	WalshL_xxxx__Q3	WalshL_xxxx__Q2	WalshL_xxxx__Q1	WalshL_xxxx__Q12	WalshL_xxxx__Q11	WalshL_xxxx__Q10	WalshL_xxxx__P9	WalshL_xxxx__P8	WalshL_xxxx__P7	WalshL_xxxx__P6	WalshL_xxxx__P5	WalshL_xxxx__P4	WalshL_xxxx__P3	WalshL_xxxx__P2	WalshL_xxxx__P1	WalshL_xxxx__P12	WalshL_xxxx__P11	WalshL_xxxx__P10	WalshL_xxxx__O9	WalshL_xxxx__O8	WalshL_xxxx__O7	WalshL_xxxx__O6	WalshL_xxxx__O5	WalshL_xxxx__O4	WalshL_xxxx__O3	WalshL_xxxx__O2	WalshL_xxxx__O1	WalshL_xxxx__O12	WalshL_xxxx__O11	WalshL_xxxx__O10	WalshL_xxxx__N9	WalshL_xxxx__N8	WalshL_xxxx__N7	WalshL_xxxx__N6	WalshL_xxxx__N5	WalshL_xxxx__N4	WalshL_xxxx__N3	WalshL_xxxx__N2	WalshL_xxxx__N1	WalshL_xxxx__N12	WalshL_xxxx__N11	WalshL_xxxx__N10	WalshL_xxxx__M9	WalshL_xxxx__M8	WalshL_xxxx__M7	WalshL_xxxx__M6	WalshL_xxxx__M5	WalshL_xxxx__M4	WalshL_xxxx__M3	WalshL_xxxx__M2	WalshL_xxxx__M1	WalshL_xxxx__M12	WalshL_xxxx__M11	WalshL_xxxx__M10	WalshL_xxxx__L9	WalshL_xxxx__L8	WalshL_xxxx__L7	WalshL_xxxx__L6	WalshL_xxxx__L5	WalshL_xxxx__L4	WalshL_xxxx__L3	WalshL_xxxx__L2	WalshL_xxxx__L1	WalshL_xxxx__L12	WalshL_xxxx__L11	WalshL_xxxx__L10	WalshL_xxxx__k9	WalshL_xxxx__k8	WalshL_xxxx__k7	WalshL_xxxx__k6	WalshL_xxxx__k5	WalshL_xxxx__k4	WalshL_xxxx__k3	WalshL_xxxx__k2	WalshL_xxxx__k1	WalshL_xxxx__k12	WalshL_xxxx__k11	WalshL_xxxx__k10	WalshL_xxxx__J9	WalshL_xxxx__J8	WalshL_xxxx__J7	WalshL_xxxx__J6	WalshL_xxxx__J5	WalshL_xxxx__J4	WalshL_xxxx__J3	WalshL_xxxx__J2	WalshL_xxxx__J1	WalshL_xxxx__J12	WalshL_xxxx__J11	WalshL_xxxx__J10	WalshL_xxxx__I9	WalshL_xxxx__I8	WalshL_xxxx__I7	WalshL_xxxx__I6	WalshL_xxxx__I5	WalshL_xxxx__I4	WalshL_xxxx__I3	WalshL_xxxx__I2	WalshL_xxxx__I1	WalshL_xxxx__I12	WalshL_xxxx__I11	WalshL_xxxx__I10	WalshL_xxxx__H9	WalshL_xxxx__H8	WalshL_xxxx__H7	WalshL_xxxx__H6	WalshL_xxxx__H5	WalshL_xxxx__H4	WalshL_xxxx__H3	WalshL_xxxx__H3_S87	WalshL_xxxx__H2	WalshL_xxxx__H1	WalshL_xxxx__H12	WalshL_xxxx__H11	WalshL_xxxx__H10	WalshL_xxxx__G9	WalshL_xxxx__G8	WalshL_xxxx__G7	WalshL_xxxx__G6	WalshL_xxxx__G5	WalshL_xxxx__G4	WalshL_xxxx__G3	WalshL_xxxx__G2	WalshL_xxxx__G1	WalshL_xxxx__G12	WalshL_xxxx__G11	WalshL_xxxx__G10	WalshL_xxxx__F9	WalshL_xxxx__F8	WalshL_xxxx__F7	WalshL_xxxx__F6	WalshL_xxxx__F5	WalshL_xxxx__F4	WalshL_xxxx__F3	WalshL_xxxx__F2	WalshL_xxxx__F1	WalshL_xxxx__F12	WalshL_xxxx__F11	WalshL_xxxx__F10	WalshL_xxxx__E9	WalshL_xxxx__E8	WalshL_xxxx__E7	WalshL_xxxx__E6	WalshL_xxxx__E5	WalshL_xxxx__E4	WalshL_xxxx__E3	WalshL_xxxx__E2	WalshL_xxxx__E1	WalshL_xxxx__E12	WalshL_xxxx__E11	WalshL_xxxx__E10	WalshL_xxxx__D9	WalshL_xxxx__D8	WalshL_xxxx__D7	WalshL_xxxx__D6	WalshL_xxxx__D5	WalshL_xxxx__D4	WalshL_xxxx__D3	WalshL_xxxx__D2	WalshL_xxxx__D1	WalshL_xxxx__D12	WalshL_xxxx__D11	WalshL_xxxx__D10	WalshL_xxxx__C9	WalshL_xxxx__C8	WalshL_xxxx__C7	WalshL_xxxx__C6	WalshL_xxxx__C5	WalshL_xxxx__C4	WalshL_xxxx__C3	WalshL_xxxx__C2	WalshL_xxxx__C1	WalshL_xxxx__C12	WalshL_xxxx__C11	WalshL_xxxx__C10	WalshL_xxxx__B9	WalshL_xxxx__B8	WalshL_xxxx__B7	WalshL_xxxx__B6	WalshL_xxxx__B5	WalshL_xxxx__B4	WalshL_xxxx__B3	WalshL_xxxx__B2	WalshL_xxxx__B1	WalshL_xxxx__B12	WalshL_xxxx__B11	WalshL_xxxx__B10	WalshL_xxxx__A9	WalshL_xxxx__A8	WalshL_xxxx__A7	WalshL_xxxx__A6	WalshL_xxxx__A12	WalshL_xxxx__A11	WalshL_xxxx__A10
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir	kefir
subtype	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir_contamined	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir	milk_kefir
country	IRL	IRL	IRL	IRL	DEU	DEU	DEU	DEU	DEU	DEU	IRL	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	DEU	IRL	IRL	IRL	GRC	GRC	GRC	DEU	DEU	GRC	IRL	IRL	IRL	IRL	ZAF	IRL	FRA	FRA	FRA	FRA	IRL	IRL	IRL	IRL	SWE	ZAF	ZAF	ZAF	ESP	ESP	ESP	ESP	GBR	GBR	GBR	GBR	IRL	SWE	SWE	SWE	AUS	AUS	AUS	AUS	TWN	TWN	TWN	TWN	BGR	IRL	IRL	IRL	HRV	HRV	HRV	HRV	DEU	DEU	DEU	DEU	TWN	BGR	BGR	BGR	RUS	RUS	RUS	RUS	FRA	FRA	FRA	FRA	IND	TWN	TWN	TWN	IRL	IRL	IRL	IRL	GBR	GBR	GBR	GBR	AUS	IND	IND	IND	IND	IND	IND	IND	TWN	TWN	TWN	TWN	IRL	AUS	AUS	AUS	TWN	TWN	TWN	TWN	GBR	GBR	GBR	GBR	IRL	IRL	IRL	IRL	USA	USA	USA	USA	SGP	SGP	SGP	SGP	IRL	IRL	IRL	IRL	GBR	GBR	GBR	GBR	TWN	TWN	TWN	TWN	BGR	IRL	IRL	IRL	NZL	NZL	NZL	NZL	TWN	TWN	TWN	TWN	TWN	BGR	BGR	BGR	IRL	IRL	IRL	IRL	GRC	GRC	GRC	GRC	GRC	IRL	TWN	TWN	TWN	PRT	PRT	PRT	PRT	CAN	CAN	CAN	CAN	GBR	IRL	IRL	IRL	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	GBR	TUN	GBR	GBR	GBR	DNK	DNK	DNK	DNK	ISR	ISR	ISR	ISR	GBR	TUN	TUN	TUN	ITA	ITA	ITA	ITA	ALA	ALA	ALA	ALA	IRL	GBR	GBR	GBR	GRC	GRC	GRC	GRC	BEL	BEL	BEL	BEL	IRL	IRL	IRL	IRL	CHN	CHN	CHN	CHN	IRL	IRL	IRL
source	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master	master
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB13690|s__GGB13690_SGB21046|t__SGB21046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB519|s__GGB519_SGB697|t__SGB697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_boviskoreani|t__SGB709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
