sample	WolfeBE_2014__282_Bethlehem	WolfeBE_2014__316_Langre	WolfeBE_2014__319_Tarentaise	WolfeBE_2014__322_Camembert	WolfeBE_2014__337_Mileens	WolfeBE_2014__340_Comte	WolfeBE_2014__365_Stichelton	WolfeBE_2014__380_Stawley	WolfeBE_2014__491_Bayley	WolfeBE_2014__575_CabotClothbound	WolfeBE_2014__581_Moses_Sleeper	WolfeBE_2014__623_Maggies_Round	WolfeBE_2014__626_Red_Hawk	WolfeBE_2014__671_Grayson	WolfeBE_2014__679_Raclette	WolfeBE_2014__705_Forme_dAmbert	WolfeBE_2014__711_Garroxta	WolfeBE_2014__771_Tarentaise	WolfeBE_2014__873_Challerhocker	WolfeBE_2014__894_Twig_Tomme	WolfeBE_2014__917_Abondance	WolfeBE_2014__926_Bonne_Buche	WolfeBE_2014__932_Robiola_due_Latte	WolfeBE_2014__950_Rush_Creek
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	2.19258	0.0	0.46893	0.08233	0.0	0.0	58.50388	0.0	0.0	0.05337	0.0	0.0	0.0	0.29288	0.0	0.0	0.0	0.0	0.03183	0.01133	86.44325	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	5.14127	0.28749	9.36094	2.29849	0.0	0.0	0.0	6.86583	0.00177	0.0	13.90398	0.0	0.01021	0.0	0.10717	0.0	0.0	0.0	0.0	0.10602	0.0	9.01431	0.0	0.01984
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.21838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3746	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.0	0.0	0.01767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29969	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.08784	0.18058	0.00661	0.0	0.0	0.0	2.77412	0.05543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24982	0.0	0.20711
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	68.1946	0.0	0.32361	0.02252	0.0	7.06687	0.06024	0.0	9.74728	4.63838	0.0	0.0	0.41068	0.13594	0.0406	0.15614	1.85888	0.00119	0.02698	10.37272	0.0542	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	13.75451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04219	0.00224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Superficieibacter|s__Superficieibacter_sp_1612_C1|t__SGB58209	4.03556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	3.86871	0.0	0.24933	0.0	0.0	0.95109	0.12898	0.07622	5.26989	32.93186	0.0	0.20686	0.0	0.11735	4.64105	2.73813	2.23892	0.32379	0.66427	19.6404	0.99882	0.0	0.0	0.64639
