	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021	YangC_2021
sample	YangC_2021__SRR13259372	YangC_2021__SRR13259373	YangC_2021__SRR13259374	YangC_2021__SRR13259375	YangC_2021__SRR13259376	YangC_2021__SRR13259377	YangC_2021__SRR13259378	YangC_2021__SRR13259379
macrocategory	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
country	CHN	ITA	GRC	CHN	CHN	GRC	ITA	CHN
source	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	1.42749	0.08556	0.99341	0.0	0.007	2.96574	6.78615
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	25.50196	0.03003	1.52252	4.02409	0.00165	2.46015	0.02896
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.03733	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_laudensis|t__SGB7991	0.0	0.22417	0.0	0.00836	0.0	0.0	0.0	0.34441
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	21.67094	0.02785	0.01025	0.0	0.00117	0.0	0.49568
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	0.0	0.0	0.0	0.0	0.00905	0.0	0.0	0.00403
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.09428	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	27.72649	0.0	0.00458	38.26664	0.06816	9.37918	4.28777	19.34782
