dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
YapM_2020	ERR4142707	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828612	ERR4142707	ERX4109998	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1413932245	9712036	75	150.0	142.782	151.0	10619	1	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142708	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828613	ERR4142708	ERX4109999	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1114516661	7581519	75	150.0	144.8245	151.0	1358	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142709	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828614	ERR4142709	ERX4110000	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1188571845	8401253	75	150.0	137.2463	151.0	1152	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142710	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828615	ERR4142710	ERX4110001	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1040971662	7056863	75	151.0	146.4147	151.0	1264	1	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142711	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828616	ERR4142711	ERX4110002	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1370287090	9582177	75	150.0	142.2534	151.0	2018	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142712	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828617	ERR4142712	ERX4110003	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1016818903	6974026	75	150.0	144.2113	151.0	1188	1	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142713	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828618	ERR4142713	ERX4110004	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1086831615	7753260	75	150.0	139.101	151.0	2460	1	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142714	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828619	ERR4142714	ERX4110005	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1147291067	7890001	75	150.0	144.0083	151.0	1467	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142715	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828620	ERR4142715	ERX4110006	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1078159746	7371899	75	150.0	143.3665	151.0	1343	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142716	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828621	ERR4142716	ERX4110007	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1014755515	7085029	75	150.0	141.9597	151.0	2025	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142717	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828622	ERR4142717	ERX4110008	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1121008058	7760213	75	150.0	143.3867	151.0	1585	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142718	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828623	ERR4142718	ERX4110009	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1143155450	7717319	75	151.0	146.4645	151.0	1652	0	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142719	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828624	ERR4142719	ERX4110010	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1650823249	11205366	75	151.0	146.1794	151.0	4489	2	1	0	0	no	Liam_Walsh
YapM_2020	ERR4142720	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828625	ERR4142720	ERX4110011	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		1315701243	9079572	75	150.0	144.1934	151.0	4464	1	1	0	0	no	Liam_Walsh
YapM_2020	ERR4142721	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828626	ERR4142721	ERX4110012	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		244412431	1660468	75	150.0	145.9055	151.0	983	0	1	0	0	no	Liam_Walsh
YapM_2020	ERR4142722	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828627	ERR4142722	ERX4110013	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		39766940	272527	75	150.0	144.7454	151.0	238	0	0	0	0	yes	Liam_Walsh
YapM_2020	ERR4142723	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828628	ERR4142723	ERX4110014	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		761840996	5201999	75	150.0	145.4987	151.0	5793	2	0	0	0	no	Liam_Walsh
YapM_2020	ERR4142724	food	dairy	raw_milk	bovine_milk		NF	IRL	SAMEA6828629	ERR4142724	ERX4110015	ERP121482	PRJEB38099	NCBI	PAIRED	NextSeq_500	DNeasy_PowerSoil_Pro_kit		945225621	6508591	75	150.0	144.2962	151.0	6026	2	2	0	0	no	Liam_Walsh
