dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
YasirM_2022	SRR18334997	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	BOL	SAMN26688209	SRR18334997	SRX14471275	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	962841711.0	6554640	75	151	148.016665	151	7029	2	3	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18334998	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	GRC	SAMN26688208	SRR18334998	SRX14471274	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	1912263367.0	12966128	75	151	148.443387	151	18694	2	2	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18334999	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	GRC	SAMN26688207	SRR18334999	SRX14471273	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	909208354.0	6229956	75	151	147.350734	151	10589	1	1	1	0	no	Hrituraj_Dey
YasirM_2022	SRR18335000	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	GRC	SAMN26688206	SRR18335000	SRX14471272	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	3156980522.0	21952227	75	151	145.655652	151	15001	0	2	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18335001	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	SAU	SAMN26688205	SRR18335001	SRX14471271	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	942139373.0	6403217	75	151	147.803816	151	8238	1	3	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18335002	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	SAU	SAMN26688204	SRR18335002	SRX14471270	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	1736954470.0	11731642	75	151	148.864889	151	3839	1	2	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18335003	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	SAU	SAMN26688203	SRR18335003	SRX14471269	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	543846055.0	3666240	75	151	149.054271	151	457	1	0	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18335004	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	mixed_vegetable_pickle		F	IND	SAMN26688202	SRR18335004	SRX14471268	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	219866550.0	1529872	75	151	145.743211	151	3377	1	0	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18335005	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	green_papaya_pickle		F	SAU	SAMN26688217	SRR18335005	SRX14471267	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	3053239140.0	20529534	75	151	149.310587	151	12295	0	1	0	0	no	Hrituraj_Dey
YasirM_2022	SRR18335006	food	fermented_fruits_and_vegetables	brine_fermented_vegetables	green_papaya_pickle		F	SAU	SAMN26688216	SRR18335006	SRX14471266	SRP364223	PRJNA816670	NCBI	PAIRED	Illumina_HiSeq_2500	DNeasy_PowerSoil_Pro_Kit	7/20/2020	2392802330.0	16059023	75	151	149.511755	151	7716	0	1	0	0	no	Hrituraj_Dey
