	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022	YasirM_2022
sample	YasirM_2022__SRR18334997	YasirM_2022__SRR18334998	YasirM_2022__SRR18334999	YasirM_2022__SRR18335000	YasirM_2022__SRR18335001	YasirM_2022__SRR18335002	YasirM_2022__SRR18335003	YasirM_2022__SRR18335004	YasirM_2022__SRR18335005	YasirM_2022__SRR18335006	YasirM_2022__SRR18335007	YasirM_2022__SRR18335008	YasirM_2022__SRR18335009	YasirM_2022__SRR18335010	YasirM_2022__SRR18335011	YasirM_2022__SRR18335012	YasirM_2022__SRR18335013	YasirM_2022__SRR18335014
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables	fermented_fruits_and_vegetables
type	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables	brine_fermented_vegetables
subtype	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	green_papaya_pickle	green_papaya_pickle	green_papaya_pickle	white_onion_pickle	white_onion_pickle	white_onion_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle	mixed_vegetable_pickle
country	BOL	GRC	GRC	GRC	SAU	SAU	SAU	IND	SAU	SAU	SAU	SAU	SAU	SAU	BOL	BOL	IND	IND
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.01437	0.0104	0.11271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.06281	0.07116	0.12099	0.0	0.0	0.0	0.0	1.51994	1.38079	0.80974	0.26056	0.0	0.02882	0.0	0.0	0.0	0.42823
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38834	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus_nenjiangensis|t__SGB49082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03015	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.05282	1.50959	0.17961	2.84787	0.0	0.0	0.0	0.0	6.646	5.98739	3.07372	0.29885	0.0	0.06236	0.0	0.0	0.0	0.18497
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.0	0.0	0.19003	0.0	0.0	0.0	0.0	0.0	0.06328	0.04098	0.17219	1.44265	0.13297	0.0	0.00293	1.11585
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_grimontii|t__SGB10120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28785	0.08198	0.66163	0.00921	0.0	0.0	0.0	0.0	0.0	0.06881
