dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	fermented/non-fermented	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_of_bases	n_of_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_MQ_prok	n_MAGs_HQ_prok	n_MAGs_MQ_euk	n_MAGs_HQ_euk	filtered	curator
AlmeidaO_2020	SRR8742581	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159369	SRR8742581	SRX5534700	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1456629614.0	19293064.0	75.0	76.0	75.49914301	76.0	467.0	0.0	1.0	0.0	0.0	no	Liam Walsh
AlmeidaO_2020	SRR8742582	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159368	SRR8742582	SRX5534699	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1428099488.0	18912124.0	75.0	76.0	75.51059994	76.0	5182.0	2.0	0.0	1.0	0.0	no	Liam Walsh
AlmeidaO_2020	SRR8742584	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159372	SRR8742584	SRX5534697	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1527203674.0	20226491.0	75.0	76.0	75.50462247	76.0	1719.0	1.0	1.0	0.0	0.0	no	Liam Walsh
AlmeidaO_2020	SRR8742585	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159371	SRR8742585	SRX5534696	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1725940897.0	22858122.0	75.0	76.0	75.50605219	76.0	6344.0	0.0	2.0	0.0	0.0	no	Liam Walsh
AlmeidaO_2020	SRR8742578	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159364	SRR8742578	SRX5534703	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1047446515.0	13861130.0	75.0	76.0	75.56447368	76.0	6514.0	2.0	0.0	1.0	0.0	no	Liam Walsh
AlmeidaO_2020	SRR8742577	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159365	SRR8742577	SRX5534704	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1252490576.0	16571468.0	75.0	76.0	75.5784855	76.0	3608.0	1.0	0.0	1.0	0.0	no	Liam Walsh
AlmeidaO_2020	SRR8742576	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159366	SRR8742576	SRX5534705	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1856607479.0	24566030.0	75.0	76.0	75.57309351	76.0	7737.0	1.0	2.0	1.0	0.0	no	Liam Walsh
AlmeidaO_2020	SRR8742579	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159363	SRR8742579	SRX5534702	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		66362943.0	878455.0	75.0	76.0	75.54278047	76.0	60.0	0.0	0.0	0.0	0.0	yes	Liam Walsh
AlmeidaO_2020	SRR8742580	food	fermented_seeds	cocoa_beans			F	BRA	SAMN11159370	SRR8742580	SRX5534701	SRP188697	PRJNA527768	NCBI	PAIRED	NextSeq_500	PowerSoil_DNA_Isolation_Kit		1767375889.0	23405700.0	75.0	76.0	75.50972124	76.0	2465.0	1.0	1.0	0.0	0.0	no	Liam Walsh
AlvarezOrdonezA_xxxx	C01-16	food	meat	cured_meat_before_ripening	cured_meat_before_ripening		NF	ESP	SAMN36689796	SRR25393983		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		6904782738.0	47541499.0	75.0	151.0	146.2005052	151.0	62700.0	0.0	0.0	0.0	0.0	no	Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-18	food	fermented_meat	meat	sausage_after_ripening		F	ESP	SAMN36689850	SRR25394007		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8728868745.0	59681107.0	75.0	151.0	145.7706124	151.0	22478.0	2.0	0.0	0.0	0.0	no	Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-19	food	fermented_meat	meat	sausage_after_ripening		F	ESP	SAMN36689851	SRR25394006		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		9731547958.0	65155903.0	75.0	151.0	149.1954544	151.0	20998.0	3.0	0.0	0.0	3.0	no	Niccolò Carlino
AlvarezOrdonezA_xxxx	C01-18	food	fermented_meat	meat	cured_meat_after_ripening		F	ESP	SAMN36689824	SRR25393924		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7268906657.0	49365164.0	75.0	151.0	147.7609106	151.0	103911.0	0.0	0.0	0.0	0.0	no	Niccolò Carlino
AlvarezOrdonezA_xxxx	F06-31B	food	meat	meat_batter	meat_batter		NF	ESP	SAMN36689787	SRR25394021		SRP450967	PRJNA997800	NCBI	PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8238658112.0	55525063.0	75.0	151.0	148.598919	151.0	48626.0	1.0	0.0	0.0	0.0	no	Niccolò Carlino
