dataset	#food samples filtered	source database	accession number	title	link
AlvarezOrdonezA_xxxx	173	newly sequenced	newly sequenced	newly sequenced	newly sequenced
ArikanM_2020	12	NCBI	PRJEB22200	Microbial composition of Kombucha determined using amplicon sequencing and shotgun metagenomics	https://onlinelibrary.wiley.com/doi/full/10.1111/1750-3841.14992
BertuzziAS_2018	42	NCBI	PRJEB15423	Omics-based insights into flavor development and microbial succession within surface-ripened cheese	https://msystems.asm.org/content/3/1/e00211-17
ChaconVargasK_2020	5	NCBI	PRJNA603591	Genomic profiling of bacterial and fungal communities and their predictive functionality during pulque fermentation by whole-genome shotgun sequencing	https://www.nature.com/articles/s41598-020-71864-4
CM_INJERA	2	NCBI	newly sequenced		
CrovadoreJ_2017	5	NCBI	PRJNA360674	Deeper Insight in Beehives: Metagenomes of Royal Jelly, Pollen, and Honey from Lavender, Chestnut, and Fir Honeydew and Epiphytic and Endophytic Microbiota of Lavender and Rose Flowers	https://mra.asm.org/content/ga/5/22/e00425-17.full.pdf
DeFilippisF_xxxx	119	newly sequenced	newly sequenced	newly sequenced	newly sequenced
DeRoosJ_2020	6	NCBI	PRJEB28363	Temporal Shotgun Metagenomics Revealed the Potential Metabolic Capabilities of Specific Microorganisms During Lambic Beer Production	https://www.frontiersin.org/articles/10.3389/fmicb.2020.01692/full
DuR_2020	3	NCBI	PRJDB9193	Chinese Liquor Fermentation: Identification of Key Flavor-Producing Lactobacillus spp. by Quantitative Profiling with Indigenous Internal Standards	https://aem.asm.org/content/86/12/e00456-20
DuruIC_2018	6	NCBI	PRJEB23938	Metagenomic and metatranscriptomic analysis of the microbial community in Swiss-type Maasdam cheese during ripening	https://www.sciencedirect.com/science/article/pii/S0168160518302769?via%3Dihub
EinsonEJ_2018	5	NCBI	PRJNA336518	A Vegetable Fermentation Facility Hosts Distinct Microbiomes Reflecting the Production Environment	https://aem.asm.org/content/84/22/e01680-18
EscobarZepedaA_2016	1	NCBI	PRJNA286900	Metagenomic analysis of a Mexican ripened cheese reveals a unique complex microbiota	https://www.sciencedirect.com/science/article/pii/S0740002016000113
FerrocinoI_2018	16	NCBI	PRJNA352236	Shotgun metagenomics and volatilome profile of the microbiota of fermented sausages	https://aem.asm.org/content/84/3/e02120-17
HeilCS_2018	1	NCBI	PRJNA390460	Identification of a novel interspecific hybrid yeast from a metagenomic spontaneously inoculated beer sample using Hi-C	https://onlinelibrary.wiley.com/doi/abs/10.1002/yea.3280
HellmannSL_2020	12	NCBI	PRJEB34001	Identification and quantification of meat product ingredients by whole-genome metagenomics (All-Food-Seq)	https://link.springer.com/article/10.1007/s00217-019-03404-y
KastmanEK_2016	18	MG-RAST	mgp16074	Biotic Interactions Shape the Ecological Distributions of Staphylococcus Species	https://mbio.asm.org/content/7/5/e01157-16
KawaiT_2012	2	NCBI	PRJDA53873	Identification of Kudoa septempunctata as the Causative Agent of Novel Food Poisoning Outbreaks in Japan by Consumption of Paralichthys olivaceus in Raw Fish	https://academic.oup.com/cid/article/54/8/1046/364119
KumarJ_2019	4	NCBI	PRJNA529966	Metagenomic Insights Into the Taxonomic and Functional Features of Kinema, a Traditional Fermented Soybean Product of Sikkim Himalaya	https://www.frontiersin.org/articles/10.3389/fmicb.2019.01744/full
LandisEA_2021	40	NCBI	PRJNA589612	The diversity and function of sourdough starter microbiomes	https://elifesciences.org/articles/61644#content
LeechJ_2020	58	NCBI	PRJEB35321	Fermented-Food Metagenomics Reveals Substrate-Associated Differences in Taxonomy and Health-Associated and Antibiotic Resistance Determinants	https://msystems.asm.org/content/5/6/e00522-20
LeechJ_xxxx	91	newly sequenced	newly sequenced	newly sequenced	newly sequenced
