MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
BertuzziAS_2018__ERS2032089__bin.1	BertuzziAS_2018	ERS2032089	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1930784.0	267.0	10500.0	87.8631439	1.309974747	0.347828136
BertuzziAS_2018__ERS2032089__bin.4	BertuzziAS_2018	ERS2032089	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1389880.0	154.0	12080.0	68.96551724	0.0	0.363719889
BertuzziAS_2018__ERS2032089__bin.5	BertuzziAS_2018	ERS2032089	assigned	SGB10343	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii	1628963.0	25.0	94724.0	52.05479452	0.0	0.393989305
BertuzziAS_2018__ERS2032090__bin.1	BertuzziAS_2018	ERS2032090	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	984839.0	128.0	11628.0	56.89655172	0.0	0.361646929
BertuzziAS_2018__ERS2032090__bin.12	BertuzziAS_2018	ERS2032090	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1972013.0	305.0	10065.0	92.11706228	1.194968553	0.349787755
BertuzziAS_2018__ERS2032090__bin.3	BertuzziAS_2018	ERS2032090	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	879512.0	118.0	9938.0	57.97910001	0.451237263	0.398295873
BertuzziAS_2018__ERS2032090__bin.4	BertuzziAS_2018	ERS2032090	assigned	SGB10343	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii	2551836.0	631.0	4360.0	78.69333748	0.764840183	0.393877193
BertuzziAS_2018__ERS2032091__bin.1	BertuzziAS_2018	ERS2032091	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2118674.0	244.0	15901.0	93.96226415	2.51572327	0.350015623
BertuzziAS_2018__ERS2032091__bin.2	BertuzziAS_2018	ERS2032091	assigned	SGB10343	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii	2462206.0	625.0	4373.0	71.22102878	0.684931507	0.383322923
BertuzziAS_2018__ERS2032091__bin.3	BertuzziAS_2018	ERS2032091	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1310278.0	138.0	14329.0	73.12599681	0.142401458	0.361553808
BertuzziAS_2018__ERS2032091__bin.5	BertuzziAS_2018	ERS2032091	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1339703.0	235.0	7129.0	84.9400318	1.130519165	0.394276194
BertuzziAS_2018__ERS2032092__bin.10	BertuzziAS_2018	ERS2032092	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	975745.0	170.0	7575.0	63.76490261	0.930893464	0.398138858
BertuzziAS_2018__ERS2032092__bin.2	BertuzziAS_2018	ERS2032092	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1867941.0	197.0	14294.0	98.80952381	0.108225108	0.362136706
BertuzziAS_2018__ERS2032092__bin.4	BertuzziAS_2018	ERS2032092	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1453486.0	164.0	19287.0	53.44827586	1.724137931	0.350920477
BertuzziAS_2018__ERS2032092__bin.5	BertuzziAS_2018	ERS2032092	assigned	SGB7848	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_saprophyticus	2640483.0	307.0	16509.0	98.43637993	0.555555556	0.329440485
BertuzziAS_2018__ERS2032093__bin.2	BertuzziAS_2018	ERS2032093	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1766155.0	194.0	13477.0	98.16017316	0.0	0.365048934
BertuzziAS_2018__ERS2032093__bin.5	BertuzziAS_2018	ERS2032093	assigned	SGB10343	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii	2203051.0	540.0	4760.0	67.38476003	0.95890411	0.391118953
BertuzziAS_2018__ERS2032093__bin.6	BertuzziAS_2018	ERS2032093	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2139135.0	290.0	11892.0	95.14601662	2.083333333	0.34777562
BertuzziAS_2018__ERS2032094__bin.1	BertuzziAS_2018	ERS2032094	assigned	SGB10343	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_baumannii	2943507.0	477.0	8478.0	90.45614659	0.388127854	0.391949467
BertuzziAS_2018__ERS2032094__bin.3	BertuzziAS_2018	ERS2032094	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1126739.0	139.0	9706.0	62.93103448	0.0	0.397335142
BertuzziAS_2018__ERS2032094__bin.4	BertuzziAS_2018	ERS2032094	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2615025.0	197.0	19540.0	89.1011339	1.141304348	0.464829591
BertuzziAS_2018__ERS2032094__bin.5	BertuzziAS_2018	ERS2032094	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1869990.0	272.0	12233.0	90.40637046	0.578616352	0.349335023
BertuzziAS_2018__ERS2032094__bin.6	BertuzziAS_2018	ERS2032094	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	854205.0	97.0	12106.0	58.62068966	0.0	0.365490719
BertuzziAS_2018__ERS2032095__bin.4	BertuzziAS_2018	ERS2032095	assigned	SGB7848	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_saprophyticus	2305307.0	405.0	7689.0	89.35185185	0.0	0.330930761
BertuzziAS_2018__ERS2032095__bin.5	BertuzziAS_2018	ERS2032095	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2039240.0	177.0	21308.0	93.98652291	1.018867925	0.35082825
BertuzziAS_2018__ERS2032095__bin.6	BertuzziAS_2018	ERS2032095	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1629919.0	166.0	14422.0	94.26406926	0.0	0.36551755
BertuzziAS_2018__ERS2032096__bin.2	BertuzziAS_2018	ERS2032096	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1018581.0	108.0	13659.0	57.93460925	0.0	0.368494013
BertuzziAS_2018__ERS2032096__bin.3	BertuzziAS_2018	ERS2032096	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2020166.0	252.0	12682.0	93.61026577	1.886792453	0.34967374
BertuzziAS_2018__ERS2032096__bin.6	BertuzziAS_2018	ERS2032096	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1310704.0	185.0	8685.0	84.29399569	1.197754211	0.395041901
BertuzziAS_2018__ERS2032097__bin.3	BertuzziAS_2018	ERS2032097	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	784047.0	141.0	6661.0	50.92751438	1.018922853	0.392602739
BertuzziAS_2018__ERS2032097__bin.4	BertuzziAS_2018	ERS2032097	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1543355.0	187.0	15280.0	75.6918239	0.424528302	0.353265451
