dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LeonardSR_2015	LeonardSR_2015__SRR2177283__bin.4	SRR2177283	assigned	SGB7517	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2436695.0	25.0	125088.0	99.83	0.15	0.36
LeonardSR_2015	LeonardSR_2015__SRR2177280__bin.10	SRR2177280	assigned	SGB7517	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix_thermosphacta	2421342.0	99.0	38051.0	99.72	0.17	0.36
LeonardSR_2015	LeonardSR_2015__SRR2177286__bin.10	SRR2177286	assigned	SGB7962	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecalis	1473601.0	512.0	3016.0	55.67	3.49	0.38
LeonardSR_2015	LeonardSR_2015__SRR2177286__bin.2	SRR2177286	assigned	SGB7979	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_garvieae	1614491.0	337.0	6017.0	83.09	4.02	0.39
LeonardSR_2015	LeonardSR_2015__SRR2177280__bin.8	SRR2177280	assigned	SGB8330	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillales_unclassified	Exiguobacterium	Exiguobacterium_artemiae	2441257.0	508.0	5734.0	81.5	2.23	0.48
LeonardSR_2015	LeonardSR_2015__SRR2177288__bin.12	SRR2177288	assigned	SGB9951	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas_salmonicida	4508468.0	402.0	19801.0	95.42	4.61	0.59
LeonardSR_2015	LeonardSR_2015__SRR2177358__bin.9	SRR2177358	assigned	SGB9956	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas_rivipollensis	2447391.0	58.0	65001.0	55.3	0.43	0.62
LeonardSR_2015	LeonardSR_2015__SRR2177360__bin.5	SRR2177360	assigned	SGB9956	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas_rivipollensis	2713707.0	525.0	6348.0	57.87	4.26	0.63
LeonardSR_2015	LeonardSR_2015__SRR2177286__bin.7	SRR2177286	assigned	SGB10068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	3681467.0	282.0	19530.0	80.57	3.35	0.51
LeonardSR_2015	LeonardSR_2015__SRR2177288__bin.5	SRR2177288	assigned	SGB10068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	2883217.0	218.0	29975.0	59.09	1.33	0.5
