MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_UNINA_2__A-20__bin.11	MASTER_WP4_UNINA_2	A-20	assigned	SGB98741	ufSGB	Genus	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_SGB98741	2427913.0	241.0	15586.0	96.55898189	4.160548213	0.661727582
MASTER_WP4_UNINA_2__A-20__bin.12	MASTER_WP4_UNINA_2	A-20	assigned	SGB96887	uSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_SGB96887	1964040.0	134.0	26605.0	94.49786975	4.27672956	0.36442435
MASTER_WP4_UNINA_2__A-20__bin.14	MASTER_WP4_UNINA_2	A-20	assigned	SGB17086	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_pollutisoli	1406436.0	241.0	7151.0	53.54573107	0.0	0.688293673
MASTER_WP4_UNINA_2__A-20__bin.16	MASTER_WP4_UNINA_2	A-20	assigned	SGB61360	uSGB	Genus	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_SGB61360	2398874.0	329.0	9937.0	85.4400042	3.450807636	0.689025351
MASTER_WP4_UNINA_2__A-20__bin.18	MASTER_WP4_UNINA_2	A-20	assigned	SGB8228	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_parauberis	1590651.0	90.0	24792.0	86.03773585	0.556908095	0.359972112
MASTER_WP4_UNINA_2__A-20__bin.20	MASTER_WP4_UNINA_2	A-20	assigned	SGB24957	uSGB	Genus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus	Jeotgalicoccus_SGB24957	1003237.0	266.0	4199.0	57.71011	0.0	0.413551334
MASTER_WP4_UNINA_2__A-20__bin.21	MASTER_WP4_UNINA_2	A-20	assigned	SGB98742	uSGB	Family	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	GGB43982	GGB43982_SGB98742	2207911.0	274.0	12959.0	82.83686455	1.497797357	0.587691261
MASTER_WP4_UNINA_2__A-20__bin.25	MASTER_WP4_UNINA_2	A-20	assigned	SGB10439	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella_osloensis	1691342.0	362.0	5467.0	73.55922733	0.718390805	0.442878495
MASTER_WP4_UNINA_2__A-20__bin.26	MASTER_WP4_UNINA_2	A-20	assigned	SGB61354	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_gallinarum	2699693.0	378.0	10412.0	90.95203133	3.406754772	0.639333806
MASTER_WP4_UNINA_2__A-20__bin.28	MASTER_WP4_UNINA_2	A-20	assigned	SGB16669	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria_salsicia	2764693.0	227.0	21611.0	96.49122807	1.425438596	0.707875703
MASTER_WP4_UNINA_2__A-20__bin.30	MASTER_WP4_UNINA_2	A-20	assigned	SGB5254	kSGB	Species	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Sarcina	Sarcina_sp_DSM_11001	1314023.0	310.0	4663.0	52.91466534	1.518883415	0.531680952
