MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
AlvarezOrdonezA_xxxx__C02-18__bin.2	AlvarezOrdonezA_xxxx	C02-18	assigned	EUK41413	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_glaucus	20998336	2506	9910	51.6	3.1	0.4935
AlvarezOrdonezA_xxxx__C02-19__bin.10	AlvarezOrdonezA_xxxx	C02-19	assigned	EUK10000011	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_tyrocola	9316757	1188	10532	63.9	3.3	0.3654
AlvarezOrdonezA_xxxx__C02-19__bin.6	AlvarezOrdonezA_xxxx	C02-19	assigned	EUK229535	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_nordicum	15682687	3742	4505	51.8	0.8	0.4899
AlvarezOrdonezA_xxxx__C02-19__bin.11	AlvarezOrdonezA_xxxx	C02-19	assigned	EUK10000013	uSGB	Genus	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	unknown	11047923	1851	8032	87.9	2.3	0.3533
AlvarezOrdonezA_xxxx__C03-19__bin.12	AlvarezOrdonezA_xxxx	C03-19	assigned	EUK10000069	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia_alimentaria	14610807	1952	9042	82.0	0.2	0.4982
AlvarezOrdonezA_xxxx__C04-18__bin.3	AlvarezOrdonezA_xxxx	C04-18	assigned	EUK10000018	uSGB	Genus	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unknown	18059828	4037	4990	64.8	0.3	0.5024
AlvarezOrdonezA_xxxx__C04-18__bin.8	AlvarezOrdonezA_xxxx	C04-18	assigned	EUK2488753	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp_SPG_F1	30370362	2879	14261	90.6	0.2	0.4862
AlvarezOrdonezA_xxxx__C04-18__bin.6	AlvarezOrdonezA_xxxx	C04-18	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11501751	1886	8020	86.3	0.5	0.362
AlvarezOrdonezA_xxxx__C04-18__bin.7	AlvarezOrdonezA_xxxx	C04-18	assigned	EUK10000014	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	unknown	Candida_glucosophila	7984617	2198	4075	73.2	0.1	0.3872
AlvarezOrdonezA_xxxx__C04-19__bin.1	AlvarezOrdonezA_xxxx	C04-19	assigned	EUK10000018	uSGB	Genus	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unknown	23595460	3387	8489	75.2	0.7	0.498
AlvarezOrdonezA_xxxx__C05-19__bin.5	AlvarezOrdonezA_xxxx	C05-19	assigned	EUK41413	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_glaucus	23952958	3296	9133	60.0	3.7	0.4938
AlvarezOrdonezA_xxxx__C06-18__bin.23	AlvarezOrdonezA_xxxx	C06-18	assigned	EUK10000047	kSGB	Species	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Helicostylum	Helicostylum_pulchrum	31801599	5208	8171	89.5	4.2	0.342
AlvarezOrdonezA_xxxx__C07-19__bin.6	AlvarezOrdonezA_xxxx	C07-19	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11735949	417	71076	97.9	0.1	0.3626
AlvarezOrdonezA_xxxx__C08-18__bin.12	AlvarezOrdonezA_xxxx	C08-18	assigned	EUK10000073	uSGB	Genus	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella	unknown	6240623	482	17536	51.6	0.4	0.5138
AlvarezOrdonezA_xxxx__C08-18__bin.3	AlvarezOrdonezA_xxxx	C08-18	assigned	EUK229535	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_nordicum	25690770	4473	6877	81.1	0.4	0.4867
AlvarezOrdonezA_xxxx__C08-18__bin.8	AlvarezOrdonezA_xxxx	C08-18	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11864480	3444	3845	65.4	3.5	0.3611
AlvarezOrdonezA_xxxx__F05-18__bin.3	AlvarezOrdonezA_xxxx	F05-18	assigned	EUK10000018	uSGB	Genus	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unknown	26316398	1667	22409	89.0	0.6	0.498
AlvarezOrdonezA_xxxx__F05-18__bin.5	AlvarezOrdonezA_xxxx	F05-18	assigned	EUK229535	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_nordicum	27569983	3345	10362	85.2	0.5	0.4852
AlvarezOrdonezA_xxxx__F05-18__bin.2	AlvarezOrdonezA_xxxx	F05-18	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	9914368	2812	3878	54.6	3.8	0.3584
AlvarezOrdonezA_xxxx__F05-19__bin.8	AlvarezOrdonezA_xxxx	F05-19	assigned	EUK10000018	uSGB	Genus	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	unknown	26363526	1989	19021	87.4	0.6	0.4974
AlvarezOrdonezA_xxxx__F05-19__bin.10	AlvarezOrdonezA_xxxx	F05-19	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11818303	1496	11384	86.8	0.5	0.3621
AlvarezOrdonezA_xxxx__F06-19__bin.9	AlvarezOrdonezA_xxxx	F06-19	assigned	EUK5075	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_camemberti	31654128	2186	20745	90.9	0.2	0.4854
AlvarezOrdonezA_xxxx__F06-19__bin.4	AlvarezOrdonezA_xxxx	F06-19	assigned	EUK10000046	kSGB	Species	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_racemosus	31618660	6878	5765	92.5	0.2	0.3352
AlvarezOrdonezA_xxxx__F06-19__bin.5	AlvarezOrdonezA_xxxx	F06-19	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11706629	417	65142	97.6	0.2	0.3625
AlvarezOrdonezA_xxxx__F07-18__bin.5	AlvarezOrdonezA_xxxx	F07-18	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11895181	678	32709	97.5	0.3	0.3632
AlvarezOrdonezA_xxxx__F07-19__bin.2	AlvarezOrdonezA_xxxx	F07-19	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	12312155	794	33136	97.4	0.2	0.3627
AlvarezOrdonezA_xxxx__Q01-29__bin.15	AlvarezOrdonezA_xxxx	Q01-29	assigned	EUK2488753	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp_SPG_F1	25464836	3976	7993	81.7	0.2	0.4881
AlvarezOrdonezA_xxxx__Q01-30__bin.5	AlvarezOrdonezA_xxxx	Q01-30	assigned	EUK2488753	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp_SPG_F1	25510268	3987	7952	82.8	0.1	0.4884
