MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MotaGutierrezJ_2021__SRR11602138__bin.1	MotaGutierrezJ_2021	SRR11602138	assigned	SGB213914	ufSGB	Family	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	GGB143066	GGB143066_SGB213914	1771391.0	79.0	32392.0	99.98	0.53	0.41
MotaGutierrezJ_2021__SRR11602139__bin.1	MotaGutierrezJ_2021	SRR11602139	assigned	SGB209637	ufSGB	Family	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	GGB143068	GGB143068_SGB209637	1463957.0	280.0	5909.0	68.11	3.18	0.48
MotaGutierrezJ_2021__SRR11602139__bin.20	MotaGutierrezJ_2021	SRR11602139	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2728858.0	236.0	16906.0	97.66	2.29	0.45
MotaGutierrezJ_2021__SRR11602139__bin.21	MotaGutierrezJ_2021	SRR11602139	assigned	SGB7788	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_subtilis	3704338.0	814.0	5572.0	85.14	0.81	0.44
MotaGutierrezJ_2021__SRR11602139__bin.22	MotaGutierrezJ_2021	SRR11602139	assigned	SGB7063	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_nagelii	1149253.0	8.0	432096.0	54.38	0.22	0.37
MotaGutierrezJ_2021__SRR11602139__bin.25	MotaGutierrezJ_2021	SRR11602139	assigned	SGB7075	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_cacaonum	1890268.0	115.0	68575.0	77.26	2.23	0.34
MotaGutierrezJ_2021__SRR11602139__bin.27	MotaGutierrezJ_2021	SRR11602139	assigned	SGB1192	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_ghanensis	2367805.0	221.0	17382.0	94.94	4.8	0.58
MotaGutierrezJ_2021__SRR11602139__bin.3	MotaGutierrezJ_2021	SRR11602139	assigned	SGB213914	ufSGB	Family	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	GGB143066	GGB143066_SGB213914	1399677.0	47.0	37364.0	80.57	1.04	0.41
MotaGutierrezJ_2021__SRR11602139__bin.9	MotaGutierrezJ_2021	SRR11602139	assigned	SGB7050	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_amylovorus	1148341.0	75.0	23558.0	63.46	0.29	0.37
MotaGutierrezJ_2021__SRR11602140__bin.11	MotaGutierrezJ_2021	SRR11602140	assigned	SGB1175	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_hansenii	3125572.0	459.0	8881.0	94.92	3.0	0.6
