MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
CM_UNINA_FFOOD__FFOOD_223__bin.1	CM_UNINA_FFOOD	FFOOD_223	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	1693404.0	478.0	3900.0	63.24	3.28	0.47
CM_UNINA_FFOOD__FFOOD_223__bin.2	CM_UNINA_FFOOD	FFOOD_223	assigned	SGB8022	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_infantarius	1737787.0	52.0	81679.0	93.48	1.18	0.38
CM_UNINA_FFOOD__FFOOD_223__bin.5	CM_UNINA_FFOOD	FFOOD_223	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1602187.0	72.0	34305.0	95.17	0.14	0.51
CM_UNINA_FFOOD__FFOOD_223__bin.6	CM_UNINA_FFOOD	FFOOD_223	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	878097.0	51.0	34426.0	52.77	0.1	0.39
CM_UNINA_FFOOD__FFOOD_226__bin.10	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB10068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	4329590.0	396.0	17854.0	90.74	1.25	0.51
CM_UNINA_FFOOD__FFOOD_226__bin.12	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2035627.0	95.0	39098.0	92.54	0.18	0.35
CM_UNINA_FFOOD__FFOOD_226__bin.1	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB7962	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecalis	2554044.0	35.0	143594.0	91.43	1.46	0.38
CM_UNINA_FFOOD__FFOOD_226__bin.2	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2402597.0	355.0	9416.0	88.61	1.1	0.47
CM_UNINA_FFOOD__FFOOD_226__bin.5	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB8018	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_gallolyticus	1860484.0	35.0	223704.0	83.19	1.75	0.38
CM_UNINA_FFOOD__FFOOD_226__bin.6	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB7970	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_hirae	2997294.0	51.0	154119.0	100.0	4.65	0.37
CM_UNINA_FFOOD__FFOOD_226__bin.7	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB7832	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_simulans	2495603.0	155.0	25369.0	99.45	1.46	0.36
CM_UNINA_FFOOD__FFOOD_226__bin.8	CM_UNINA_FFOOD	FFOOD_226	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2408278.0	445.0	6854.0	82.88	3.89	0.45
CM_UNINA_FFOOD__FFOOD_227__bin.1	CM_UNINA_FFOOD	FFOOD_227	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1449455.0	75.0	26772.0	84.91	0.37	0.42
CM_UNINA_FFOOD__FFOOD_227__bin.5	CM_UNINA_FFOOD	FFOOD_227	assigned	SGB17127	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_casei	2631603.0	156.0	25563.0	99.05	0.06	0.56
CM_UNINA_FFOOD__FFOOD_229__bin.10	CM_UNINA_FFOOD	FFOOD_229	assigned	SGB7129	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_carnosum	1566487.0	21.0	186294.0	99.85	0.07	0.37
CM_UNINA_FFOOD__FFOOD_229__bin.3	CM_UNINA_FFOOD	FFOOD_229	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1548846.0	108.0	20152.0	81.24	4.77	0.42
CM_UNINA_FFOOD__FFOOD_229__bin.5	CM_UNINA_FFOOD	FFOOD_229	assigned	SGB7820	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_vitulinus	2610107.0	252.0	19126.0	81.37	4.58	0.32
CM_UNINA_FFOOD__FFOOD_230__bin.1	CM_UNINA_FFOOD	FFOOD_230	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1229000.0	52.0	39249.0	69.2	0.04	0.39
CM_UNINA_FFOOD__FFOOD_230__bin.2	CM_UNINA_FFOOD	FFOOD_230	assigned	SGB33220	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_haemolytica	4504733.0	391.0	17920.0	79.2	0.58	0.6
CM_UNINA_FFOOD__FFOOD_237__bin.3	CM_UNINA_FFOOD	FFOOD_237	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	873412.0	37.0	36699.0	52.97	0.1	0.4
