MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_TEAGASC_1__TGS02-22__bin.4	MASTER_WP4_TEAGASC_1	TGS02-22	assigned	EUK10000016	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma_guilliermondii	10394446.0	620.0	24530.0	94.3	0.1	0.4378
MASTER_WP4_TEAGASC_1__TGS03-22__bin.2	MASTER_WP4_TEAGASC_1	TGS03-22	assigned	EUK52247	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Candida_inconspicua	9274192.0	2223.0	4844.0	72.5	0.3	0.3497
MASTER_WP4_TEAGASC_1__TGS03-24__bin.5	MASTER_WP4_TEAGASC_1	TGS03-24	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26408887.0	279.0	148109.0	95.8	0.1	0.4903
MASTER_WP4_TEAGASC_1__TGS03-26__bin.2	MASTER_WP4_TEAGASC_1	TGS03-26	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26474890.0	190.0	258852.0	95.8	0.1	0.4901
MASTER_WP4_TEAGASC_1__TGS03-26__bin.4	MASTER_WP4_TEAGASC_1	TGS03-26	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	10942683.0	1334.0	10548.0	84.4	0.1	0.3614
MASTER_WP4_TEAGASC_1__TGS03-27__bin.4	MASTER_WP4_TEAGASC_1	TGS03-27	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26549643.0	209.0	226371.0	96.0	0.1	0.49
MASTER_WP4_TEAGASC_1__TGS03-28__bin.4	MASTER_WP4_TEAGASC_1	TGS03-28	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26256170.0	177.0	287849.0	94.9	0.1	0.49
MASTER_WP4_TEAGASC_1__TGS03-29__bin.1	MASTER_WP4_TEAGASC_1	TGS03-29	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	10868525.0	1319.0	10932.0	86.4	0.1	0.3619
MASTER_WP4_TEAGASC_1__TGS03-29__bin.4	MASTER_WP4_TEAGASC_1	TGS03-29	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26598689.0	187.0	270031.0	95.7	0.1	0.4898
MASTER_WP4_TEAGASC_1__TGS04-23__bin.14	MASTER_WP4_TEAGASC_1	TGS04-23	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	8903426.0	2607.0	3870.0	58.8	0.0	0.3645
MASTER_WP4_TEAGASC_1__TGS04-28__bin.22	MASTER_WP4_TEAGASC_1	TGS04-28	assigned	EUK10000015	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	Diutina	Diutina_catenulata	8106526.0	1490.0	6604.0	57.3	0.3	0.5567
MASTER_WP4_TEAGASC_1__TGS04-28__bin.9	MASTER_WP4_TEAGASC_1	TGS04-28	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11728928.0	455.0	59468.0	97.3	0.2	0.3631
MASTER_WP4_TEAGASC_1__TGS04-29__bin.11	MASTER_WP4_TEAGASC_1	TGS04-29	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11988267.0	431.0	64336.0	98.1	0.1	0.3629
MASTER_WP4_TEAGASC_1__TGS04-29__bin.4	MASTER_WP4_TEAGASC_1	TGS04-29	assigned	EUK10000015	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	Diutina	Diutina_catenulata	7803770.0	1294.0	7428.0	54.7	0.5	0.5614
MASTER_WP4_TEAGASC_1__TGS05-22__bin.2	MASTER_WP4_TEAGASC_1	TGS05-22	assigned	EUK10000029	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces	Schwanniomyces_polymorphus	12412358.0	228.0	155649.0	99.4	0.4	0.3334
MASTER_WP4_TEAGASC_1__TGS05-22__bin.3	MASTER_WP4_TEAGASC_1	TGS05-22	assigned	EUK5477_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Candida_boidinii_group_1	16498556.0	4091.0	4705.0	80.3	0.2	0.3088
MASTER_WP4_TEAGASC_1__TGS05-28_0__bin.16	MASTER_WP4_TEAGASC_1	TGS05-28_0	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10162044.0	1521.0	8591.0	83.6	1.7	0.3816
MASTER_WP4_TEAGASC_1__TGS06-22__bin.10	MASTER_WP4_TEAGASC_1	TGS06-22	assigned	EUK39397	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Teunomyces	Candida_sake	13934587.0	143.0	154523.0	99.3	0.0	0.3875
