MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
AlmeidaO_2020__SRR8742576__bin.2	AlmeidaO_2020	SRR8742576	Unassigned											3009552	87	56395	93.83	2.19	0.51
AlmeidaO_2020__SRR8742576__bin.5	AlmeidaO_2020	SRR8742576	Unassigned											3134932	373	12783	95.52	1.07	0.52
AlmeidaO_2020__SRR8742576__bin.7	AlmeidaO_2020	SRR8742576	SGB_assigned	0.0465066599999999	SGB93747	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Frateuria	Frateuria_SGB93747	3126129	609	6729	85.73	2.07	0.64
AlmeidaO_2020__SRR8742577__bin.1	AlmeidaO_2020	SRR8742577	Unassigned											2130389	394	6461	68.15	1.85	0.53
AlmeidaO_2020__SRR8742578__bin.4	AlmeidaO_2020	SRR8742578	Unassigned											2476518	390	8262	76.56	2.09	0.52
AlmeidaO_2020__SRR8742578__bin.7	AlmeidaO_2020	SRR8742578	Unassigned											2755727	308	15094	88.98	2.92	0.52
AlmeidaO_2020__SRR8742580__bin.1	AlmeidaO_2020	SRR8742580	SGB_assigned	0.0293965363636363	SGB1205	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_senegalensis	2716871	594	5454	82.24	1.55	0.56
AlmeidaO_2020__SRR8742580__bin.4	AlmeidaO_2020	SRR8742580	SGB_assigned	0.0236659164077669	SGB7106	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1699851	65	42221	99.58	2.96	0.53
AlmeidaO_2020__SRR8742581__bin.1	AlmeidaO_2020	SRR8742581	SGB_assigned	0.0238344152750809	SGB7106	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1682885	73	39551	98.53	0.05	0.53
AlmeidaO_2020__SRR8742582__bin.2	AlmeidaO_2020	SRR8742582	SGB_assigned	0.0386376588235294	SGB1165	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	2417628	385	8383	88.82	3.81	0.62
AlmeidaO_2020__SRR8742582__bin.3	AlmeidaO_2020	SRR8742582	Unassigned											1802424	523	3703	60.56	0.28	0.51
AlmeidaO_2020__SRR8742584__bin.1	AlmeidaO_2020	SRR8742584	SGB_assigned	0.037401072	SGB1196	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus	1751578	52	106909	82.84	0.13	0.54
AlmeidaO_2020__SRR8742584__bin.3	AlmeidaO_2020	SRR8742584	SGB_assigned	0.0177952067256637	SGB7788	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_subtilis	3708399	413	12527	99.99	0.09	0.44
AlmeidaO_2020__SRR8742585__bin.4	AlmeidaO_2020	SRR8742585	SGB_assigned	0.0263658909090909	SGB1205	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_senegalensis	3198068	452	9572	96.68	1.98	0.56
AlmeidaO_2020__SRR8742585__bin.5	AlmeidaO_2020	SRR8742585	SGB_assigned	0.0240925954368932	SGB7106	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1634888	81	36415	98.14	0.12	0.53
