dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
BuzzancaD_2024	BuzzancaD_2024__SRR30684841__bin.14	SRR30684841	assigned	SGB2641	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_manosquense	2040407.0	431.0	5666.0	84.61	2.41	0.37
BuzzancaD_2024	BuzzancaD_2024__SRR30684829__bin.8	SRR30684829	assigned	SGB2641	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_manosquense	2543628.0	302.0	12264.0	99.09	2.52	0.37
BuzzancaD_2024	BuzzancaD_2024__SRR30684839__bin.5	SRR30684839	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1308576.0	33.0	61681.0	73.72	0.19	0.5
BuzzancaD_2024	BuzzancaD_2024__SRR30684857__bin.6	SRR30684857	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1112209.0	46.0	35436.0	65.07	0.1	0.39
BuzzancaD_2024	BuzzancaD_2024__SRR30684859__bin.2	SRR30684859	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1062916.0	51.0	35421.0	58.89	0.21	0.39
BuzzancaD_2024	BuzzancaD_2024__SRR30684848__bin.5	SRR30684848	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1586674.0	51.0	41486.0	88.41	0.13	0.39
BuzzancaD_2024	BuzzancaD_2024__SRR30684836__bin.4	SRR30684836	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1383434.0	330.0	5210.0	77.33	2.77	0.39
BuzzancaD_2024	BuzzancaD_2024__SRR30684831__bin.13	SRR30684831	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1150018.0	43.0	91227.0	64.34	0.14	0.39
BuzzancaD_2024	BuzzancaD_2024__SRR30684838__bin.1	SRR30684838	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1700446.0	70.0	42092.0	94.85	0.03	0.39
BuzzancaD_2024	BuzzancaD_2024__SRR30684854__bin.11	SRR30684854	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1315805.0	47.0	61079.0	73.71	0.12	0.39
