MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_FFoQSI_3__VB01-21__bin.1	MASTER_WP4_FFoQSI_3	VB01-21	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1531559.0	209.0	9896.0	92.32896652	1.533063007	0.393639422
MASTER_WP4_FFoQSI_3__VB01-21__bin.2	MASTER_WP4_FFoQSI_3	VB01-21	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1751561.0	163.0	15629.0	97.51082251	0.757575758	0.500999965
MASTER_WP4_FFoQSI_3__VB01-22__bin.1	MASTER_WP4_FFoQSI_3	VB01-22	assigned	SGB10464	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_faecalis	1534120.0	567.0	2816.0	58.45439111	0.879120879	0.439770683
MASTER_WP4_FFoQSI_3__VB01-22__bin.2	MASTER_WP4_FFoQSI_3	VB01-22	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1445510.0	291.0	6131.0	88.71701834	1.008202324	0.509898237
MASTER_WP4_FFoQSI_3__VB01-22__bin.3	MASTER_WP4_FFoQSI_3	VB01-22	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1038071.0	374.0	2834.0	56.72330889	0.513620295	0.392600313
MASTER_WP4_FFoQSI_3__VB02-21__bin.1	MASTER_WP4_FFoQSI_3	VB02-21	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1564381.0	94.0	26640.0	95.77922078	0.0	0.506305689
MASTER_WP4_FFoQSI_3__VB02-21__bin.10	MASTER_WP4_FFoQSI_3	VB02-21	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1476015.0	70.0	28591.0	84.43474042	0.18922853	0.392478396
MASTER_WP4_FFoQSI_3__VB02-21__bin.2	MASTER_WP4_FFoQSI_3	VB02-21	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1290289.0	117.0	15653.0	55.22988506	0.0	0.347888729
MASTER_WP4_FFoQSI_3__VB02-21__bin.8	MASTER_WP4_FFoQSI_3	VB02-21	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1257779.0	149.0	11964.0	94.40035273	0.105820106	0.381508993
MASTER_WP4_FFoQSI_3__VB02-22__bin.2	MASTER_WP4_FFoQSI_3	VB02-22	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1124651.0	376.0	3234.0	65.2187347	0.560407569	0.396027745
MASTER_WP4_FFoQSI_3__VB02-22__bin.3	MASTER_WP4_FFoQSI_3	VB02-22	assigned	SGB11855	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter_japonicus	2836691.0	636.0	5638.0	94.72987902	4.765073604	0.615353593
MASTER_WP4_FFoQSI_3__VB02-22__bin.4	MASTER_WP4_FFoQSI_3	VB02-22	assigned	SGB10114	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_variicola	4572656.0	895.0	6642.0	89.90599554	2.754039116	0.582788209
MASTER_WP4_FFoQSI_3__VB02-22__bin.5	MASTER_WP4_FFoQSI_3	VB02-22	assigned	SGB32471	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Vreelandella	Vreelandella_jeotgali	2204053.0	619.0	4074.0	80.53935381	2.065047022	0.641722772
MASTER_WP4_FFoQSI_3__VB02-22__bin.6	MASTER_WP4_FFoQSI_3	VB02-22	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2265216.0	213.0	18962.0	98.92407907	1.477987421	0.354834153
MASTER_WP4_FFoQSI_3__VB02-22__bin.7	MASTER_WP4_FFoQSI_3	VB02-22	assigned	SGB16673	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia_kristinae	2404150.0	154.0	26494.0	98.45474614	1.324503311	0.71817815
MASTER_WP4_FFoQSI_3__VB02-23__bin.3	MASTER_WP4_FFoQSI_3	VB02-23	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1289321.0	98.0	19466.0	93.91534392	0.529100529	0.380883426
MASTER_WP4_FFoQSI_3__VB02-23__bin.9	MASTER_WP4_FFoQSI_3	VB02-23	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1103501.0	101.0	13852.0	75.05240374	0.649350649	0.512574071
MASTER_WP4_FFoQSI_3__VB02-24__bin.6	MASTER_WP4_FFoQSI_3	VB02-24	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1731144.0	137.0	19105.0	94.50019677	0.0	0.362473024
MASTER_WP4_FFoQSI_3__VB02-25__bin.6	MASTER_WP4_FFoQSI_3	VB02-25	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1138705.0	217.0	6384.0	66.31001944	0.730027548	0.364678297
MASTER_WP4_FFoQSI_3__VB02-25__bin.8	MASTER_WP4_FFoQSI_3	VB02-25	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1298362.0	132.0	13194.0	90.10013085	0.0	0.380891462
MASTER_WP4_FFoQSI_3__VB02-26__bin.1	MASTER_WP4_FFoQSI_3	VB02-26	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1358674.0	104.0	19303.0	98.41269841	0.0	0.381176058
MASTER_WP4_FFoQSI_3__VB02-26__bin.2	MASTER_WP4_FFoQSI_3	VB02-26	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	953587.0	193.0	5607.0	55.17241379	0.0	0.366626223
MASTER_WP4_FFoQSI_3__VB02-28__bin.1	MASTER_WP4_FFoQSI_3	VB02-28	assigned	SGB7217	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parabuchneri	751454.0	17.0	85610.0	79.6875	1.875	0.434789089
MASTER_WP4_FFoQSI_3__VB02-28__bin.10	MASTER_WP4_FFoQSI_3	VB02-28	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2160706.0	136.0	20416.0	76.89655172	1.724137931	0.467321329
MASTER_WP4_FFoQSI_3__VB02-28__bin.12	MASTER_WP4_FFoQSI_3	VB02-28	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1353693.0	78.0	23529.0	91.66666667	0.0	0.510968883
MASTER_WP4_FFoQSI_3__VB02-28__bin.16	MASTER_WP4_FFoQSI_3	VB02-28	assigned	SGB7144	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_rhamnosus	2317927.0	231.0	12103.0	79.89296244	1.545031056	0.470048453
MASTER_WP4_FFoQSI_3__VB02-29__bin.11	MASTER_WP4_FFoQSI_3	VB02-29	assigned	SGB66234	uSGB	Family	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	GGB129573	GGB129573_SGB66234	2627562.0	331.0	11270.0	94.15165165	0.990990991	0.67270268
MASTER_WP4_FFoQSI_3__VB02-29__bin.13	MASTER_WP4_FFoQSI_3	VB02-29	assigned	SGB69917	uSGB	Family	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	GGB49922	GGB49922_SGB69917	2157947.0	308.0	8218.0	81.25627292	1.510989011	0.440399602
MASTER_WP4_FFoQSI_3__VB02-29__bin.17	MASTER_WP4_FFoQSI_3	VB02-29	assigned	SGB16653	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_alimentarium	5471586.0	744.0	10783.0	75.14106583	3.448275862	0.696134357
MASTER_WP4_FFoQSI_3__VB02-29__bin.19	MASTER_WP4_FFoQSI_3	VB02-29	assigned	SGB87477	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_sp_Z12	2954813.0	321.0	13175.0	88.52687274	1.471734893	0.702523984
MASTER_WP4_FFoQSI_3__VB02-29__bin.20	MASTER_WP4_FFoQSI_3	VB02-29	assigned	SGB16639	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_aurantiacum	2400329.0	390.0	7853.0	76.8120155	1.065891473	0.635539545
