MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_TEAGASC_1__TGS01-21__bin.2	MASTER_WP4_TEAGASC_1	TGS01-21	assigned	SGB7991	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_laudensis	1099728.0	258.0	4646.0	55.82744979	0.691823899	0.393719174
MASTER_WP4_TEAGASC_1__TGS01-21__bin.6	MASTER_WP4_TEAGASC_1	TGS01-21	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1493852.0	127.0	17361.0	65.57765152	0.757575758	0.350749606
MASTER_WP4_TEAGASC_1__TGS01-22__bin.1	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB7180	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_parvulus	1405867.0	42.0	57896.0	53.7037037	0.154320988	0.386683093
MASTER_WP4_TEAGASC_1__TGS01-22__bin.10	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1651536.0	82.0	33510.0	98.41269841	0.0	0.393688663
MASTER_WP4_TEAGASC_1__TGS01-22__bin.14	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB99191	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_SGB99191	3928868.0	533.0	9770.0	59.48275862	1.724137931	0.55031882
MASTER_WP4_TEAGASC_1__TGS01-22__bin.19	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB99204	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Vreelandella	Vreelandella_subglaciescola	2553850.0	391.0	8710.0	90.57820481	4.74877451	0.615542416
MASTER_WP4_TEAGASC_1__TGS01-22__bin.24	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB23000	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_aquimaris	3088518.0	112.0	40957.0	98.41329592	0.686813187	0.43064732
MASTER_WP4_TEAGASC_1__TGS01-22__bin.26	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB97753	uSGB	Family	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	GGB71372	GGB71372_SGB97753	1723215.0	433.0	4719.0	69.73536503	2.756653992	0.370571867
MASTER_WP4_TEAGASC_1__TGS01-22__bin.34	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2104595.0	255.0	11526.0	95.22602778	2.830188679	0.355049309
MASTER_WP4_TEAGASC_1__TGS01-22__bin.35	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB7182	uSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Secundilactobacillus	Secundilactobacillus_SGB7182	1186554.0	48.0	33578.0	88.54166667	0.3125	0.398338382
MASTER_WP4_TEAGASC_1__TGS01-22__bin.37	MASTER_WP4_TEAGASC_1	TGS01-22	assigned	SGB16638	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_antiquum	1669372.0	59.0	52502.0	68.96551724	0.0	0.62194406
