MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MortensenS_xxxx__WK004-1-L-48h-01G5_S38__bin.9	MortensenS_xxxx	WK004-1-L-48h-01G5_S38	SGB24153	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_saccharivorans	3288849	123	44723	100.0	0.124378109	0.616982719
MortensenS_xxxx__WK004-2-L-48h-01G7_S40__bin.2	MortensenS_xxxx	WK004-2-L-48h-01G7_S40	SGB24153	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_saccharivorans	3206303	136	44834	100.0	0.0	0.61880864
MortensenS_xxxx__WK060-1-L-48h-04H5_S39__bin.6	MortensenS_xxxx	WK060-1-L-48h-04H5_S39	SGB1165	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	3236340	90	62745	100.0	0.995024876	0.608560905
MortensenS_xxxx__WK035-1-L-48h-03C9_S46__bin.2	MortensenS_xxxx	WK035-1-L-48h-03C9_S46	SGB1165	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	2974383	42	124580	100.0	0.0	0.610924686
MortensenS_xxxx__WK068-2-L-48h-05C7_S77__bin.2	MortensenS_xxxx	WK068-2-L-48h-05C7_S77	SGB1165	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_oxydans	3027871	47	112376	100.0	0.0	0.609745924
MortensenS_xxxx__WK022-1-L-48h-02F8_S113__bin.6	MortensenS_xxxx	WK022-1-L-48h-02F8_S113	SGB1201	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_malorum	3057245	65	80470	100.0	0.513561226	0.579890064
MortensenS_xxxx__WK022-2-L-48h-02G1_S115__bin.12	MortensenS_xxxx	WK022-2-L-48h-02G1_S115	SGB1201	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_malorum	2945585	99	47426	100.0	1.508586102	0.581331043
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.5	MortensenS_xxxx	WK069-2-L-48h-05D2_S81	SGB1201	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_malorum	3075151	28	213833	100.0	0.497512438	0.578292578
MortensenS_xxxx__WK067-1-L-48h-05C1_S71__bin.5	MortensenS_xxxx	WK067-1-L-48h-05C1_S71	SGB1201	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_malorum	2835988	41	127324	100.0	0.0	0.582358952
MortensenS_xxxx__WK067-2-L-48h-05C3_S73__bin.1	MortensenS_xxxx	WK067-2-L-48h-05C3_S73	SGB1201	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_malorum	3055048	25	195579	100.0	0.497512438	0.578760465
MortensenS_xxxx__WK043-2-L-48h-03G7_S80__bin.6	MortensenS_xxxx	WK043-2-L-48h-03G7_S80	SGB1187	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	2683452	103	39642	100.0	0.0	0.526998061
MortensenS_xxxx__WK009-2-L-48h-01I9_S60__bin.10	MortensenS_xxxx	WK009-2-L-48h-01I9_S60	SGB1187	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	2467138	229	15867	100.0	0.746268657	0.531149453
MortensenS_xxxx__WK048-2-L-48h-03I9_S100__bin.12	MortensenS_xxxx	WK048-2-L-48h-03I9_S100	SGB1187	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	2606137	66	65717	100.0	0.0	0.527463829
