MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
SaakC_2023__SRR17227786__bin.3	SaakC_2023	SRR17227786	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11703948.0	225.0	113405.0	99.4	0.1006036217	0.36
SaakC_2023__SRR17227787__bin.17	SaakC_2023	SRR17227787	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	7857487.0	116.0	138596.0	72.4	0.0	0.36
SaakC_2023__SRR17227788__bin.15	SaakC_2023	SRR17227788	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11191897.0	156.0	141298.0	98.6	0.1014198783	0.36
SaakC_2023__SRR17227789__bin.7	SaakC_2023	SRR17227789	assigned	EUK10000030	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_lactis	10180276.0	182.0	91644.0	96.0	0.0	0.39
SaakC_2023__SRR17227789__bin.8	SaakC_2023	SRR17227789	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11766562.0	217.0	137026.0	97.8	0.7157464213	0.36
SaakC_2023__SRR17227792__bin.7	SaakC_2023	SRR17227792	assigned	EUK10000042	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii	8787505.0	663.0	18890.0	91.8	0.0	0.42
SaakC_2023__SRR17227796__bin.15	SaakC_2023	SRR17227796	assigned	EUK10000060	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum	21367881.0	4895.0	4934.0	66.4	0.1506024096	0.5
SaakC_2023__SRR17227800__bin.6	SaakC_2023	SRR17227800	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11592119.0	755.0	23862.0	93.7	0.1067235859	0.36
SaakC_2023__SRR17227801__bin.13	SaakC_2023	SRR17227801	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11616970.0	335.0	68861.0	97.4	0.1026694045	0.36
SaakC_2023__SRR17227802__bin.14	SaakC_2023	SRR17227802	assigned	EUK10000042	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii	9097502.0	125.0	144736.0	99.5	0.1005025126	0.42
SaakC_2023__SRR17227802__bin.17	SaakC_2023	SRR17227802	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	10336131.0	2912.0	3940.0	65.8	0.6079027356	0.36
SaakC_2023__SRR17227803__bin.4	SaakC_2023	SRR17227803	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	8028667.0	992.0	10146.0	54.5	0.0	0.36
SaakC_2023__SRR17227803__bin.7	SaakC_2023	SRR17227803	assigned	EUK4926_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_membranifaciens_group_1	10991008.0	223.0	78128.0	95.9	0.2085505735	0.45
SaakC_2023__SRR17227803__bin.8	SaakC_2023	SRR17227803	assigned	EUK10000030	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_lactis	10467420.0	118.0	142891.0	99.5	0.2010050251	0.39
