MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
KumarJ_2019__SRS4562500__bin.13	KumarJ_2019	SRS4562500	assigned	SGB7817	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	3105032.0	179.0	40043.0	93.37016575	3.810966554	0.316906879
KumarJ_2019__SRS4562500__bin.15	KumarJ_2019	SRS4562500	assigned	SGB7728	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus_thermoamylovorans	2952862.0	267.0	14795.0	93.49596669	1.712204007	0.376844905
KumarJ_2019__SRS4562500__bin.17	KumarJ_2019	SRS4562500	assigned	SGB7780	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_licheniformis	2522965.0	235.0	14444.0	68.08277987	0.19731306	0.472183324
KumarJ_2019__SRS4562500__bin.25	KumarJ_2019	SRS4562500	assigned	SGB7968	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	2604204.0	219.0	16603.0	94.81558125	2.232704403	0.382707346
KumarJ_2019__SRS4562500__bin.6	KumarJ_2019	SRS4562500	assigned	SGB9996	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus_terrae	3770096.0	25.0	242171.0	97.2972973	0.0	0.37770444
KumarJ_2019__SRS4562501__bin.1	KumarJ_2019	SRS4562501	assigned	SGB7818	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_sciuri	2166269.0	265.0	12096.0	76.20689655	0.862068966	0.323876213
KumarJ_2019__SRS4562501__bin.2	KumarJ_2019	SRS4562501	assigned	SGB7918	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus_fluvialis	3251990.0	711.0	5403.0	59.48275862	2.586206897	0.315091682
KumarJ_2019__SRS4562501__bin.6	KumarJ_2019	SRS4562501	assigned	SGB7817	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	2918376.0	54.0	128860.0	96.88706707	3.867403315	0.317743156
KumarJ_2019__SRS4562502__bin.1	KumarJ_2019	SRS4562502	assigned	SGB7918	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus_fluvialis	3046136.0	337.0	14527.0	91.42384106	2.33995585	0.321603172
KumarJ_2019__SRS4562502__bin.13	KumarJ_2019	SRS4562502	assigned	SGB7817	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_lentus	1411185.0	112.0	21118.0	75.0	1.38121547	0.317537389
