dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
FlintA_2023	FlintA_2023__SRR22865520__bin.34	SRR22865520	assigned	SGB6144	kSGB	Species	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium_bifermentans	1451417.0	40.0	63992.0	55.48	0.22	0.29
FlintA_2023	FlintA_2023__SRR22865492__bin.13	SRR22865492	assigned	SGB6144	kSGB	Species	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium_bifermentans	3050710.0	333.0	16240.0	90.41	1.22	0.28
FlintA_2023	FlintA_2023__SRR22865493__bin.20	SRR22865493	assigned	SGB6191	kSGB	Species	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_perfringens	1366527.0	92.0	27577.0	54.52	0.23	0.29
FlintA_2023	FlintA_2023__SRR22865520__bin.49	SRR22865520	assigned	SGB7490	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus_sphaericus	2212003.0	871.0	2544.0	51.2	4.18	0.38
FlintA_2023	FlintA_2023__SRR22865521__bin.9	SRR22865521	assigned	SGB7490	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus_sphaericus	2830628.0	43.0	108306.0	68.23	0.4	0.38
FlintA_2023	FlintA_2023__SRR22865520__bin.39	SRR22865520	assigned	SGB7503	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Caryophanaceae	Metalysinibacillus	Metalysinibacillus_saudimassiliensis	1435678.0	196.0	9856.0	50.98	0.43	0.4
FlintA_2023	FlintA_2023__SRR22865521__bin.8	SRR22865521	assigned	SGB7770	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_altitudinis	3591410.0	300.0	21367.0	99.52	2.64	0.42
FlintA_2023	FlintA_2023__SRR22865521__bin.33	SRR22865521	assigned	SGB7818	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus_sciuri	1454101.0	410.0	3906.0	58.39	1.79	0.34
FlintA_2023	FlintA_2023__SRR22865520__bin.60	SRR22865520	assigned	SGB7867	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Macrococcoides	Macrococcoides_bohemicum	1879540.0	142.0	25467.0	81.23	1.89	0.34
FlintA_2023	FlintA_2023__SRR22865521__bin.7	SRR22865521	assigned	SGB7869	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Macrococcoides	Macrococcoides_caseolyticum	1911976.0	79.0	51125.0	99.89	1.82	0.37
FlintA_2023	FlintA_2023__SRR22865520__bin.30	SRR22865520	assigned	SGB7869	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Macrococcoides	Macrococcoides_caseolyticum	1811686.0	60.0	53913.0	93.48	0.05	0.37
