dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022306__bin.12	SRR22022306	assigned	SGB1386	kSGB	Species	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_coprosuis	2540796.0	462.0	6892.0	86.83	3.55	0.35
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.46	SRR22022419	assigned	SGB1684	uSGB	Family	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	GGB1256	GGB1256_SGB1684	1747155.0	383.0	5238.0	71.01	2.63	0.52
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.65	SRR22022419	assigned	SGB1917	kSGB	Species	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_gallinaceum	2584675.0	110.0	32448.0	58.31	0.09	0.46
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.4	SRR22022419	assigned	SGB1967	kSGB	Species	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella_viscericola	2871979.0	17.0	231293.0	89.97	0.03	0.54
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022434__bin.3	SRR22022434	assigned	SGB2286	uSGB	Other	Bacteria	Bacteroidota	CFGB1670	OFGB1670	FGB1670	GGB47687	GGB47687_SGB2286	1475832.0	350.0	4871.0	72.36	0.56	0.58
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.52	SRR22022419	assigned	SGB2286	uSGB	Other	Bacteria	Bacteroidota	CFGB1670	OFGB1670	FGB1670	GGB47687	GGB47687_SGB2286	2208177.0	38.0	78833.0	99.97	0.01	0.57
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.53	SRR22022419	assigned	SGB2292	kSGB	Species	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_sp_CHKCI003	2083981.0	435.0	5577.0	86.09	1.74	0.62
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.77	SRR22022419	assigned	SGB2323	uSGB	Family	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	GGB1691	GGB1691_SGB2323	2406344.0	41.0	78396.0	96.54	0.07	0.51
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022317__bin.12	SRR22022317	assigned	SGB2564	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_indoltheticum	1931704.0	730.0	2726.0	50.21	2.82	0.35
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022316__bin.13	SRR22022316	assigned	SGB2565	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_aquaticum	2009624.0	425.0	5611.0	51.84	4.89	0.34
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022373__bin.2	SRR22022373	assigned	SGB2583	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_ureilyticum	4661861.0	51.0	234987.0	98.94	4.58	0.35
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022385__bin.22	SRR22022385	assigned	SGB2594	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_carnipullorum	4553367.0	714.0	9118.0	89.0	4.16	0.37
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022328__bin.19	SRR22022328	assigned	SGB2594	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_carnipullorum	4020994.0	498.0	11240.0	80.93	2.61	0.38
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022315__bin.49	SRR22022315	assigned	SGB2641	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_manosquense	2366843.0	301.0	11173.0	93.91	2.96	0.37
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022331__bin.19	SRR22022331	assigned	SGB3056	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter_falsenii	3205657.0	251.0	19929.0	99.98	2.77	0.32
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022235__bin.36	SRR22022235	assigned	SGB3057	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Algoriella	Algoriella_xinjiangensis	1384730.0	76.0	29228.0	52.33	0.0	0.31
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022371__bin.25	SRR22022371	assigned	SGB3057	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Algoriella	Algoriella_xinjiangensis	3446660.0	271.0	23144.0	99.98	4.35	0.31
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022266__bin.33	SRR22022266	assigned	SGB3057	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Algoriella	Algoriella_xinjiangensis	2623684.0	103.0	46536.0	80.17	0.73	0.31
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022373__bin.32	SRR22022373	assigned	SGB3057	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Algoriella	Algoriella_xinjiangensis	3022883.0	264.0	16586.0	95.94	3.92	0.31
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022323__bin.6	SRR22022323	assigned	SGB3147	kSGB	Species	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_faecium	4623473.0	470.0	16620.0	98.69	2.86	0.37
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022328__bin.38	SRR22022328	assigned	SGB3147	kSGB	Species	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_faecium	3674616.0	1023.0	4046.0	73.32	1.91	0.37
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022321__bin.21	SRR22022321	assigned	SGB3147	kSGB	Species	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_faecium	2373670.0	752.0	3310.0	50.83	4.98	0.38
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022316__bin.26	SRR22022316	assigned	SGB3147	kSGB	Species	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_faecium	2920514.0	550.0	6634.0	65.75	3.21	0.38
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.58	SRR22022419	assigned	SGB5801	uSGB	Family	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	GGB4263	GGB4263_SGB5801	1126054.0	11.0	266095.0	54.23	0.19	0.58
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.11	SRR22022419	assigned	SGB6768	kSGB	Species	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massilimicrobiota	Massilimicrobiota_timonensis	1975510.0	391.0	6262.0	87.7	2.66	0.32
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022419__bin.5	SRR22022419	assigned	SGB7047	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_gallinarum	1695760.0	93.0	31934.0	88.72	0.27	0.36
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022330__bin.9	SRR22022330	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	1514228.0	103.0	21907.0	90.84	0.13	0.44
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022313__bin.30	SRR22022313	assigned	SGB7127	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_gasicomitatum	1775220.0	202.0	13282.0	92.73	4.3	0.37
BloomfieldSJ_2023	BloomfieldSJ_2023__SRR22022239__bin.2	SRR22022239	assigned	SGB7127	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_gasicomitatum	1218479.0	311.0	4564.0	67.48	1.51	0.37
