dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
GardonH_2025	GardonH_2025__ERR12057317__bin.4	ERR12057317	assigned	SGB1188	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_cibinongensis	2381071.0	218.0	17423.0	98.21	1.85	0.55
GardonH_2025	GardonH_2025__ERR12057366__bin.47	ERR12057366	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	2242115.0	604.0	4531.0	83.74	4.84	0.34
GardonH_2025	GardonH_2025__ERR12057383__bin.3	ERR12057383	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	2438569.0	391.0	9124.0	93.59	4.31	0.34
GardonH_2025	GardonH_2025__ERR12057382__bin.5	ERR12057382	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	2633652.0	253.0	22167.0	94.93	4.92	0.33
GardonH_2025	GardonH_2025__ERR12057385__bin.51	ERR12057385	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	2556400.0	286.0	18868.0	91.72	1.72	0.33
GardonH_2025	GardonH_2025__ERR12057301__bin.1	ERR12057301	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	2673683.0	155.0	48295.0	95.06	0.42	0.34
GardonH_2025	GardonH_2025__ERR12057277__bin.5	ERR12057277	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	2593190.0	619.0	5148.0	89.16	0.94	0.33
GardonH_2025	GardonH_2025__ERR12057304__bin.21	ERR12057304	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	2510988.0	74.0	75764.0	92.93	0.17	0.34
GardonH_2025	GardonH_2025__ERR12057299__bin.15	ERR12057299	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	1766286.0	465.0	4502.0	75.04	4.63	0.34
GardonH_2025	GardonH_2025__ERR12057302__bin.1	ERR12057302	assigned	SGB2909	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_halocasei	1977283.0	298.0	9685.0	90.41	2.68	0.34
