MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MagliuloR_2024__SRR28235345__bin.12	MagliuloR_2024	SRR28235345	assigned	SGB2641	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_manosquense	2019809.0	531.0	4560.0	79.62	3.42	0.37
MagliuloR_2024__SRR28235345__bin.14	MagliuloR_2024	SRR28235345	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	878547.0	24.0	73784.0	50.74	0.2	0.4
MagliuloR_2024__SRR28235345__bin.5	MagliuloR_2024	SRR28235345	assigned	SGB99153	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp_NKUCC02_KPG	2836900.0	149.0	29525.0	59.89	3.18	0.58
MagliuloR_2024__SRR28235346__bin.8	MagliuloR_2024	SRR28235346	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	995149.0	42.0	35741.0	64.96	0.26	0.51
MagliuloR_2024__SRR28235347__bin.1	MagliuloR_2024	SRR28235347	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	829947.0	37.0	33728.0	57.03	0.05	0.51
MagliuloR_2024__SRR28235348__bin.10	MagliuloR_2024	SRR28235348	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1250388.0	58.0	30998.0	70.7	0.13	0.39
MagliuloR_2024__SRR28235348__bin.9	MagliuloR_2024	SRR28235348	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1142698.0	45.0	33581.0	68.69	0.16	0.51
MagliuloR_2024__SRR28235349__bin.1	MagliuloR_2024	SRR28235349	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	1487515.0	164.0	12815.0	90.08	1.15	0.44
MagliuloR_2024__SRR28235350__bin.5	MagliuloR_2024	SRR28235350	assigned	SGB7106	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	629137.0	175.0	3726.0	52.4	0.51	0.53
MagliuloR_2024__SRR28235350__bin.8	MagliuloR_2024	SRR28235350	assigned	SGB2641	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_manosquense	1843060.0	530.0	3948.0	76.95	3.71	0.37
