MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
PfeferT_xxxx__SRS2870594__bin.11	PfeferT_xxxx	SRS2870594	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1768483.0	127.0	19644.0	98.91304348	0.543478261	0.420718209
PfeferT_xxxx__SRS2870583__bin.2	PfeferT_xxxx	SRS2870583	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1331826.0	328.0	4816.0	55.17241379	0.862068966	0.351325173
PfeferT_xxxx__SRS2870602__bin.5	PfeferT_xxxx	SRS2870602	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2110555.0	83.0	45631.0	96.98113208	0.188679245	0.350885431
PfeferT_xxxx__SRS2870579__bin.9	PfeferT_xxxx	SRS2870579	assigned	SGB10120	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_grimontii	3195683.0	37.0	111085.0	54.54545455	0.0	0.560093414
PfeferT_xxxx__SRS2870580__bin.1	PfeferT_xxxx	SRS2870580	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1806113.0	100.0	28301.0	84.90931223	0.943396226	0.35139385
PfeferT_xxxx__SRS2870571__bin.2	PfeferT_xxxx	SRS2870571	assigned	SGB10068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	2591336.0	594.0	5159.0	63.08777429	1.724137931	0.51170786
PfeferT_xxxx__SRS2870577__bin.1	PfeferT_xxxx	SRS2870577	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1433891.0	87.0	30687.0	75.77358491	0.377358491	0.353704012
PfeferT_xxxx__SRS2870597__bin.6	PfeferT_xxxx	SRS2870597	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1546878.0	232.0	9149.0	90.57971014	1.358695652	0.420662134
PfeferT_xxxx__SRS2870592__bin.7	PfeferT_xxxx	SRS2870592	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1711302.0	196.0	12149.0	97.82608696	0.610416932	0.421006345
PfeferT_xxxx__SRS2870576__bin.3	PfeferT_xxxx	SRS2870576	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1106384.0	64.0	30559.0	54.12247475	0.378787879	0.351336426
PfeferT_xxxx__SRS2870568__bin.4	PfeferT_xxxx	SRS2870568	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2304463.0	116.0	37675.0	99.52830189	0.754716981	0.350568874
PfeferT_xxxx__SRS2870596__bin.9	PfeferT_xxxx	SRS2870596	assigned	SGB7249	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1698917.0	189.0	13565.0	94.34899486	0.543478261	0.420348963
PfeferT_xxxx__SRS2870589__bin.1	PfeferT_xxxx	SRS2870589	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1029043.0	50.0	36186.0	52.48106061	0.0	0.353087286
PfeferT_xxxx__SRS2870573__bin.3	PfeferT_xxxx	SRS2870573	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1356057.0	248.0	6164.0	50.0	0.0	0.350947637
PfeferT_xxxx__SRS2870583__bin.4	PfeferT_xxxx	SRS2870583	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1181783.0	55.0	38733.0	57.68939394	0.378787879	0.354301086
PfeferT_xxxx__SRS2870600__bin.7	PfeferT_xxxx	SRS2870600	assigned	SGB10130	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_hormaechei	2414380.0	39.0	111479.0	55.92197901	0.15412415	0.555285829
