MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_CSIC_1__P2134_73322__bin.16	MASTER_WP4_CSIC_1	P2134_73322	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11817082	950	19434	93.6	0.1	0.3625
MASTER_WP4_CSIC_1__P2147_73322__bin.15	MASTER_WP4_CSIC_1	P2147_73322	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11608108	207	153200	97.8	0.1	0.3627
MASTER_WP4_CSIC_1__P2149_73322__bin.30	MASTER_WP4_CSIC_1	P2149_73322	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11565075	228	114533	98.1	0.1	0.363
MASTER_WP4_CSIC_1__P2177_73322__bin.3	MASTER_WP4_CSIC_1	P2177_73322	assigned	EUK10000063	uSGB	Family	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	unknown	unknown	24219095	893	43424	90.6	0.3	0.5209
MASTER_WP4_CSIC_1__P2217_73323__bin.8	MASTER_WP4_CSIC_1	P2217_73323	assigned	EUK5075	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_camemberti	31953210	1125	46060	94.1	0.2	0.4849
MASTER_WP4_CSIC_1__P2217_73323__bin.9	MASTER_WP4_CSIC_1	P2217_73323	assigned	EUK10000045	uSGB	Family	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	unknown	unknown	43071105	4417	13342	97.7	0.4	0.3517
MASTER_WP4_CSIC_1__P2219_73323__bin.9	MASTER_WP4_CSIC_1	P2219_73323	assigned	EUK5075	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_camemberti	31164672	1639	27736	91.2	0.3	0.4857
MASTER_WP4_CSIC_1__P2219_73323__bin.17	MASTER_WP4_CSIC_1	P2219_73323	assigned	EUK10000045	uSGB	Family	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	unknown	unknown	42965380	4711	12411	97.2	0.5	0.3517
MASTER_WP4_CSIC_1__P2227_73323__bin.5	MASTER_WP4_CSIC_1	P2227_73323	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	12014389	2911	4667	76.9	1.2	0.3605
MASTER_WP4_CSIC_1__P2229_73323__bin.2	MASTER_WP4_CSIC_1	P2229_73323	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11432328	1850	7908	82.2	0.5	0.3611
MASTER_WP4_CSIC_1__P2233_73323__bin.12	MASTER_WP4_CSIC_1	P2233_73323	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11630056	231	107700	97.8	0.2	0.3625
MASTER_WP4_CSIC_1__P2233_73323__bin.17	MASTER_WP4_CSIC_1	P2233_73323	assigned	EUK5480	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_parapsilosis	11719946	2238	6620	78.2	0.1	0.3868
MASTER_WP4_CSIC_1__P2233_73323__bin.18	MASTER_WP4_CSIC_1	P2233_73323	assigned	EUK58627	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_fabryi	11376284	195	124782	97.2	0.1	0.3559
