MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
QuijadaN_2022__ERR7245779__bin.10	QuijadaN_2022	ERR7245779	SGB_assigned	0.0083309846666666	SGB66234	Other	Bacteria	Actinobacteria	CFGB10515	OFGB10515	FGB10515	GGB48227	GGB48227_SGB66234	2777129	77	63297	89.54	3.76	0.67
QuijadaN_2022__ERR7245779__bin.11	QuijadaN_2022	ERR7245779	SGB_assigned	0.0135446865753424	SGB7879	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium_gilvum	1850503	181	15356	85.82	3.28	0.36
QuijadaN_2022__ERR7245779__bin.12	QuijadaN_2022	ERR7245779	SGB_assigned	0.0124790379069767	SGB69225	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_SGB69225	2925363	81	60923	81.18	0.19	0.55
QuijadaN_2022__ERR7245779__bin.13	QuijadaN_2022	ERR7245779	SGB_assigned	0.0038253257142857	SGB99143	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter_SGB99143	3345876	137	43063	87.67	0.15	0.54
QuijadaN_2022__ERR7245779__bin.15	QuijadaN_2022	ERR7245779	SGB_assigned	0.0144345134426229	SGB16632	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_yomogidense	2836275	193	21890	84.6	3.59	0.69
QuijadaN_2022__ERR7245779__bin.25	QuijadaN_2022	ERR7245779	SGB_assigned	0.0116877829365079	SGB69136	Other	Bacteria	Actinobacteria	CFGB47577	OFGB47577	FGB47577	GGB49272	GGB49272_SGB69136	1990241	36	80953	99.2	0.03	0.55
QuijadaN_2022__ERR7245779__bin.34	QuijadaN_2022	ERR7245779	SGB_assigned	0.0191441526300578	SGB16639	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_aurantiacum	3047071	217	21963	80.9	1.95	0.63
QuijadaN_2022__ERR7245779__bin.39	QuijadaN_2022	ERR7245779	SGB_assigned	0.0201324517241379	SGB34830	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_sp_S111	2830384	167	26320	78.26	1.51	0.66
QuijadaN_2022__ERR7245779__bin.4	QuijadaN_2022	ERR7245779	SGB_assigned	0.0182893108450704	SGB73284	Other	Bacteria	Actinobacteria	CFGB22911	OFGB22911	FGB22911	GGB52421	GGB52421_SGB73284	2707828	424	9150	77.11	2.88	0.69
QuijadaN_2022__ERR7245779__bin.40	QuijadaN_2022	ERR7245779	SGB_assigned	0.0299190946067415	SGB7843	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	1413869	43	52100	58.36	0.17	0.33
