MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
ArikanM_2020__ERS1875938__bin.3	ArikanM_2020	ERS1875938	assigned	SGB24152	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	2303387.0	50.0	80796.0	91.54228856	0.0	0.644924626
ArikanM_2020__ERS1881306__bin.4	ArikanM_2020	ERS1881306	assigned	SGB24152	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	2006059.0	50.0	66893.0	89.45273632	0.0	0.647662407
ArikanM_2020__ERS1881306__bin.5	ArikanM_2020	ERS1881306	assigned	SGB30482	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2722496.0	87.0	53973.0	95.1933879	2.114427861	0.641189188
ArikanM_2020__ERS1932640__bin.2	ArikanM_2020	ERS1932640	assigned	SGB24152	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	1898616.0	52.0	63004.0	79.72636816	0.0	0.646996549
ArikanM_2020__ERS1932640__bin.3	ArikanM_2020	ERS1932640	assigned	SGB1180	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2764145.0	97.0	42012.0	88.5261194	0.746268657	0.642944925
ArikanM_2020__ERS1937824__bin.1	ArikanM_2020	ERS1937824	assigned	SGB1180	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_rhaeticus	2831343.0	102.0	53089.0	95.21344888	0.0	0.643521113
ArikanM_2020__ERS1937824__bin.3	ArikanM_2020	ERS1937824	assigned	SGB30482	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2772231.0	103.0	42798.0	98.94479217	1.119402985	0.641550434
ArikanM_2020__ERS1937824__bin.4	ArikanM_2020	ERS1937824	assigned	SGB24152	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	2265800.0	56.0	66991.0	93.03482587	0.0	0.645040604
ArikanM_2020__ERS1937969__bin.3	ArikanM_2020	ERS1937969	assigned	SGB30482	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_xylinus	2680084.0	114.0	38085.0	97.29176697	2.23880597	0.641978013
ArikanM_2020__ERS1937969__bin.5	ArikanM_2020	ERS1937969	assigned	SGB24152	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_entanii	3041462.0	60.0	100794.0	99.48643877	0.497512438	0.635655813
