MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
QuigleyL_2016__ERS654085__bin.6	QuigleyL_2016	ERS654085	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1329596.0	149.0	11588.0	86.97363243	0.90445269	0.514424682
QuigleyL_2016__ERS654083__bin.9	QuigleyL_2016	ERS654083	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	893208.0	77.0	15827.0	71.36953955	0.297619048	0.513354112
QuigleyL_2016__ERS654085__bin.9	QuigleyL_2016	ERS654085	assigned	SGB17566	kSGB	Species	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus	Thermus_thermophilus	806126.0	164.0	6983.0	52.54237288	1.483050847	0.69273786
QuigleyL_2016__ERS654088__bin.1	QuigleyL_2016	ERS654088	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	955599.0	101.0	14145.0	62.06896552	0.0	0.359574466
QuigleyL_2016__ERS654081__bin.4	QuigleyL_2016	ERS654081	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	785823.0	28.0	63076.0	51.20087336	0.0	0.399205674
QuigleyL_2016__ERS654086__bin.3	QuigleyL_2016	ERS654086	assigned	SGB17566	kSGB	Species	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus	Thermus_thermophilus	1091291.0	261.0	5420.0	51.72413793	0.0	0.691700014
QuigleyL_2016__ERS654087__bin.5	QuigleyL_2016	ERS654087	assigned	SGB17566	kSGB	Species	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus	Thermus_thermophilus	1079252.0	265.0	5405.0	51.72413793	0.0	0.69060794
QuigleyL_2016__ERS654082__bin.4	QuigleyL_2016	ERS654082	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	683452.0	70.0	14181.0	53.44827586	0.0	0.362814067
QuigleyL_2016__ERS654085__bin.4	QuigleyL_2016	ERS654085	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1073428.0	34.0	39999.0	66.99417758	0.145560408	0.399719404
QuigleyL_2016__ERS654083__bin.8	QuigleyL_2016	ERS654083	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	905977.0	81.0	14417.0	58.66640059	0.145560408	0.400596262
QuigleyL_2016__ERS654089__bin.1	QuigleyL_2016	ERS654089	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1479540.0	159.0	12770.0	94.69432314	0.809679767	0.394985604
QuigleyL_2016__ERS654089__bin.5	QuigleyL_2016	ERS654089	assigned	SGB17566	kSGB	Species	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus	Thermus_thermophilus	1516581.0	369.0	5106.0	85.72033898	0.847457627	0.690481418
