MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
BertuzziAS_2018__ERS2032102__bin.6	BertuzziAS_2018	ERS2032102	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11729207.0	477.0	42447.0	97.7	0.1	0.3618
BertuzziAS_2018__ERS2032103__bin.7	BertuzziAS_2018	ERS2032103	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11727536.0	350.0	80063.0	98.8	0.1	0.3625
BertuzziAS_2018__ERS2032104__bin.4	BertuzziAS_2018	ERS2032104	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11779700.0	812.0	25206.0	96.8	0.1	0.3625
BertuzziAS_2018__ERS2032106__bin.5	BertuzziAS_2018	ERS2032106	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11715522.0	367.0	67828.0	98.5	0.1	0.3626
BertuzziAS_2018__ERS2032107__bin.7	BertuzziAS_2018	ERS2032107	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	12183962.0	696.0	30415.0	97.9	0.1	0.3618
BertuzziAS_2018__ERS2032110__bin.4	BertuzziAS_2018	ERS2032110	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11662755.0	321.0	92616.0	98.3	0.1	0.3627
BertuzziAS_2018__ERS2032111__bin.4	BertuzziAS_2018	ERS2032111	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11864584.0	442.0	55857.0	98.4	0.1	0.3626
BertuzziAS_2018__ERS2032112__bin.12	BertuzziAS_2018	ERS2032112	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	9367307.0	2578.0	4108.0	62.5	0.2	0.3631
BertuzziAS_2018__ERS2032118__bin.5	BertuzziAS_2018	ERS2032118	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	9927318.0	2877.0	3602.0	70.1	0.0	0.3615
BertuzziAS_2018__ERS2032119__bin.9	BertuzziAS_2018	ERS2032119	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	12489751.0	3303.0	4053.0	75.8	2.4	0.3604
BertuzziAS_2018__ERS2032120__bin.6	BertuzziAS_2018	ERS2032120	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	9706529.0	2857.0	3678.0	71.6	0.3	0.3603
BertuzziAS_2018__ERS2032123__bin.3	BertuzziAS_2018	ERS2032123	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	12648989.0	3397.0	4013.0	72.8	3.4	0.3598
BertuzziAS_2018__ERS2032124__bin.8	BertuzziAS_2018	ERS2032124	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11851445.0	3117.0	4063.0	77.7	1.2	0.3608
BertuzziAS_2018__ERS2032125__bin.3	BertuzziAS_2018	ERS2032125	assigned	EUK10000020	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera_jadinii	11122045.0	2033.0	7371.0	82.7	0.2	0.4457
BertuzziAS_2018__ERS2032129__bin.5	BertuzziAS_2018	ERS2032129	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	8881345.0	2730.0	3451.0	65.6	0.2	0.3656
BertuzziAS_2018__ERS2032130__bin.3	BertuzziAS_2018	ERS2032130	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	9610473.0	3773.0	2565.0	53.9	3.5	0.3729
