MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LeechJ_2020__ERS3967689__bin.6	LeechJ_2020	ERS3967689	assigned	EUK10000031	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_marxianus	8851697.0	2100.0	4884.0	79.6	0.1	0.3969
LeechJ_2020__ERS3967692__bin.6	LeechJ_2020	ERS3967692	assigned	EUK10000059	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_saulgeensis	7992361.0	2091.0	4374.0	52.9	0.9	0.4397
LeechJ_2020__ERS3967694__bin.3	LeechJ_2020	ERS3967694	assigned	EUK10000055	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	Starmerella	Starmerella_bacillaris	9139842.0	731.0	21044.0	70.1	0.6	0.393
LeechJ_2020__ERS3967694__bin.5	LeechJ_2020	ERS3967694	assigned	EUK10000059	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_saulgeensis	11722750.0	658.0	24969.0	95.4	1.7	0.4572
LeechJ_2020__ERS3967695__bin.11	LeechJ_2020	ERS3967695	assigned	EUK10000059	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_saulgeensis	9336457.0	1200.0	9840.0	72.6	1.2	0.4455
LeechJ_2020__ERS3967700__bin.2	LeechJ_2020	ERS3967700	assigned	EUK53655	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_fermentans	7599657.0	2572.0	3067.0	54.4	0.6	0.4173
LeechJ_2020__ERS3967701__bin.2	LeechJ_2020	ERS3967701	assigned	EUK10000002	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	Brettanomyces_anomalus	12023364.0	1471.0	11740.0	88.7	0.1	0.3972
LeechJ_2020__ERS3967711__bin.10	LeechJ_2020	ERS3967711	assigned	EUK10000033	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_barnettii	8826525.0	2609.0	3752.0	59.1	1.2	0.3425
LeechJ_2020__ERS3967714__bin.6	LeechJ_2020	ERS3967714	assigned	EUK230603	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_uvarum	10989716.0	784.0	23455.0	92.7	2.4	0.4002
LeechJ_2020__ERS3967732__bin.5	LeechJ_2020	ERS3967732	assigned	EUK4909	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii	8461585.0	2344.0	4111.0	63.8	0.3	0.3822
LeechJ_2020__ERS3967741__bin.10	LeechJ_2020	ERS3967741	assigned	EUK53655	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_fermentans	7724387.0	2424.0	3412.0	57.0	0.4	0.4181
LeechJ_2020__ERS3967742__bin.3	LeechJ_2020	ERS3967742	assigned	EUK10000033	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_barnettii	11581173.0	1616.0	10420.0	93.4	1.4	0.3396
