MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_UNINA_1__AS006_71775__bin.7	MASTER_WP4_UNINA_1	AS006_71775	assigned	EUK10000042	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii	7257625.0	1896.0	4390.0	62.8	0.0	0.4191
MASTER_WP4_UNINA_1__GO001_73417__bin.8	MASTER_WP4_UNINA_1	GO001_73417	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26608818.0	191.0	326597.0	95.3	0.1	0.4897
MASTER_WP4_UNINA_1__GO003_71775__bin.4	MASTER_WP4_UNINA_1	GO003_71775	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26059127.0	186.0	288381.0	93.9	0.0	0.4899
MASTER_WP4_UNINA_1__GO003_71775__bin.8	MASTER_WP4_UNINA_1	GO003_71775	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11247413.0	287.0	64861.0	98.4	1.9	0.3821
MASTER_WP4_UNINA_1__GO004_71775__bin.13	MASTER_WP4_UNINA_1	GO004_71775	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	25912147.0	208.0	250412.0	93.8	0.1	0.4905
MASTER_WP4_UNINA_1__GO004_71775__bin.18	MASTER_WP4_UNINA_1	GO004_71775	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11471134.0	931.0	17581.0	93.2	0.0	0.3624
MASTER_WP4_UNINA_1__GO004_71775__bin.7	MASTER_WP4_UNINA_1	GO004_71775	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11353672.0	938.0	17876.0	93.3	1.9	0.381
MASTER_WP4_UNINA_1__GO005_71775__bin.3	MASTER_WP4_UNINA_1	GO005_71775	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11096904.0	663.0	25483.0	95.3	1.9	0.3816
MASTER_WP4_UNINA_1__GO005_71775__bin.6	MASTER_WP4_UNINA_1	GO005_71775	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11841648.0	197.0	166084.0	99.4	0.1	0.3625
MASTER_WP4_UNINA_1__GO005_71775__bin.7	MASTER_WP4_UNINA_1	GO005_71775	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26637010.0	174.0	320842.0	95.4	0.1	0.4897
MASTER_WP4_UNINA_1__GO011_71775__bin.10	MASTER_WP4_UNINA_1	GO011_71775	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26690148.0	190.0	276801.0	96.1	0.1	0.4898
MASTER_WP4_UNINA_1__GO011_71775__bin.13	MASTER_WP4_UNINA_1	GO011_71775	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11663351.0	232.0	111734.0	98.0	0.2	0.3625
MASTER_WP4_UNINA_1__GO011_71775__bin.8	MASTER_WP4_UNINA_1	GO011_71775	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10781653.0	1124.0	13325.0	89.0	1.6	0.381
MASTER_WP4_UNINA_1__GO013_71775__bin.20	MASTER_WP4_UNINA_1	GO013_71775	assigned	EUK5082	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_roqueforti	26287652.0	480.0	94867.0	94.1	0.1	0.4902
MASTER_WP4_UNINA_1__GO013_71775__bin.28	MASTER_WP4_UNINA_1	GO013_71775	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10803716.0	909.0	17069.0	91.0	1.8	0.3814
MASTER_WP4_UNINA_1__GO013_71775__bin.32	MASTER_WP4_UNINA_1	GO013_71775	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11482341.0	318.0	98379.0	97.0	0.1	0.3625
