MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
DuruIC_2018__ERS2061097__bin.3	DuruIC_2018	ERS2061097	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2166196	106	29406	99.24528302	0.188679245	0.349984951
DuruIC_2018__ERS2061098__bin.1	DuruIC_2018	ERS2061098	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2106929	105	28566	98.01886792	0.566037736	0.350527237
DuruIC_2018__ERS2061099__bin.5	DuruIC_2018	ERS2061099	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2105967	112	28566	97.64150943	0.0	0.350369213
DuruIC_2018__ERS2061100__bin.1	DuruIC_2018	ERS2061100	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2125418	114	28442	98.86792453	1.132075472	0.351068825
DuruIC_2018__ERS2061101__bin.2	DuruIC_2018	ERS2061101	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1294390	68	28442	68.96226415	0.0	0.352976305
DuruIC_2018__ERS2061102__bin.3	DuruIC_2018	ERS2061102	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2107342	98	35023	98.39622642	0.188679245	0.35006373
DuruIC_2018__ERS2061101__bin.3	DuruIC_2018	ERS2061101	SGB7144	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_rhamnosus	1528331	528	3054	51.20188609	0.543478261	0.465956655
DuruIC_2018__ERS2061098__bin.3	DuruIC_2018	ERS2061098	SGB15904	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium_freudenreichii	2300791	327	9926	96.82017544	0.328947368	0.66974836
DuruIC_2018__ERS2061099__bin.2	DuruIC_2018	ERS2061099	SGB15904	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium_freudenreichii	1448682	505	3005	63.58552632	0.657894737	0.666926213
DuruIC_2018__ERS2061100__bin.2	DuruIC_2018	ERS2061100	SGB15904	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium_freudenreichii	2396685	258	13841	99.01315789	0.657894737	0.670218656
DuruIC_2018__ERS2061102__bin.2	DuruIC_2018	ERS2061102	SGB15904	kSGB	Species	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium_freudenreichii	2323205	315	10483	95.72368421	0.0	0.670054085
DuruIC_2018__ERS2061097__bin.2	DuruIC_2018	ERS2061097	SGB7048	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1655597	140	19654	86.70798898	0.0	0.361815708
DuruIC_2018__ERS2061098__bin.4	DuruIC_2018	ERS2061098	SGB7048	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1487306	130	16418	79.56513184	0.0	0.364659324
DuruIC_2018__ERS2061099__bin.3	DuruIC_2018	ERS2061099	SGB7048	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1334822	132	15231	64.8735734	0.0	0.364552727
DuruIC_2018__ERS2061100__bin.3	DuruIC_2018	ERS2061100	SGB7048	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1850094	164	17046	97.74695002	0.0	0.361520009
DuruIC_2018__ERS2061101__bin.1	DuruIC_2018	ERS2061101	SGB7048	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1809807	165	16559	97.07792208	0.0	0.362713814
DuruIC_2018__ERS2061102__bin.4	DuruIC_2018	ERS2061102	SGB7048	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1251530	109	17687	65.68526171	0.0	0.36627488
