MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
OlgaP_2019__SRR11909515__bin.14	OlgaP_2019	SRR11909515	assigned	SGB24153	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_saccharivorans	2886117.0	59.0	96468.0	88.06	0.27	0.62
OlgaP_2019__SRR11909515__bin.3	OlgaP_2019	SRR11909515	assigned	SGB1175	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_hansenii	2168547.0	20.0	145338.0	76.32	0.21	0.61
OlgaP_2019__SRR11909516__bin.1	OlgaP_2019	SRR11909516	assigned	SGB12163	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_shahriarae	5781880.0	426.0	25186.0	98.78	0.54	0.61
OlgaP_2019__SRR11909516__bin.6	OlgaP_2019	SRR11909516	assigned	SGB24153	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_saccharivorans	2898735.0	67.0	92616.0	99.96	0.63	0.62
OlgaP_2019__SRR11909887__bin.1	OlgaP_2019	SRR11909887	assigned	SGB12163	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_shahriarae	5949082.0	362.0	27256.0	99.88	0.32	0.61
OlgaP_2019__SRR11909887__bin.3	OlgaP_2019	SRR11909887	assigned	SGB1175	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_hansenii	1950083.0	65.0	51016.0	73.38	0.27	0.61
OlgaP_2019__SRR11909888__bin.7	OlgaP_2019	SRR11909888	assigned	SGB1177	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_oboediens	3181877.0	75.0	64470.0	99.65	0.45	0.62
OlgaP_2019__SRR11910535__bin.14	OlgaP_2019	SRR11910535	assigned	SGB1175	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_hansenii	2135875.0	83.0	38837.0	77.24	0.15	0.61
OlgaP_2019__SRR11910535__bin.18	OlgaP_2019	SRR11910535	assigned	SGB1177	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_oboediens	2247928.0	34.0	108283.0	64.99	0.06	0.62
OlgaP_2019__SRR11910535__bin.7	OlgaP_2019	SRR11910535	assigned	SGB12163	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_shahriarae	6106789.0	202.0	46474.0	99.7	0.44	0.61
OlgaP_2019__SRR11910536__bin.1	OlgaP_2019	SRR11910536	assigned	SGB24153	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_saccharivorans	1554721.0	18.0	126352.0	55.08	0.23	0.63
OlgaP_2019__SRR11910536__bin.2	OlgaP_2019	SRR11910536	assigned	SGB1177	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_oboediens	2016230.0	33.0	110143.0	59.96	0.16	0.62
OlgaP_2019__SRR11910536__bin.3	OlgaP_2019	SRR11910536	assigned	SGB12163	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_shahriarae	3206985.0	1075.0	3147.0	57.76	1.55	0.61
OlgaP_2019__SRR11910536__bin.9	OlgaP_2019	SRR11910536	assigned	SGB1175	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_hansenii	2922606.0	27.0	138761.0	100.0	0.17	0.6
OlgaP_2019__SRR11916018__bin.4	OlgaP_2019	SRR11916018	assigned	SGB1175	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Novacetimonas	Novacetimonas_hansenii	2362438.0	72.0	48195.0	78.91	0.67	0.61
