MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
SternesPR_2017__T2D1_A_shotgun__bin.2	SternesPR_2017	T2D1_A_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	2512323.0	29.0	191813.0	60.34482759	0.0	0.515956348
SternesPR_2017__Y3D3_A_shotgun__bin.3	SternesPR_2017	Y3D3_A_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	2118497.0	556.0	4288.0	68.68684503	2.035519126	0.524473719
SternesPR_2017__Y3D3_B_shotgun__bin.2	SternesPR_2017	Y3D3_B_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	3262280.0	204.0	27009.0	94.92349727	0.540983607	0.519465834
SternesPR_2017__T2D3_A_shotgun__bin.6	SternesPR_2017	T2D3_A_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	2440023.0	31.0	133710.0	76.8852459	0.131147541	0.516991438
SternesPR_2017__T1D1_A_shotgun__bin.4	SternesPR_2017	T1D1_A_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	2309821.0	336.0	9254.0	72.36425612	0.644288316	0.522244797
SternesPR_2017__T1D1_B_shotgun__bin.4	SternesPR_2017	T1D1_B_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	2834856.0	207.0	21510.0	86.3913136	0.235956963	0.520479347
SternesPR_2017__Y2D1_B_shotgun__bin.5	SternesPR_2017	Y2D1_B_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	1681026.0	52.0	51771.0	51.34660422	0.0	0.520388144
SternesPR_2017__Y2D3_B_shotgun__bin.2	SternesPR_2017	Y2D3_B_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	2594435.0	50.0	80622.0	77.94223263	0.158469945	0.5167152
SternesPR_2017__Y3D1_A_shotgun__bin.2	SternesPR_2017	Y3D1_A_shotgun	assigned	SGB10295	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella_ptyseos	2806537.0	391.0	10747.0	89.07754359	0.935088591	0.524666163
SternesPR_2017__T1D1_A_shotgun__bin.5	SternesPR_2017	T1D1_A_shotgun	assigned	SGB205806	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus_kunkeei	1034936.0	130.0	11967.0	85.1780754	0.0	0.364370357
SternesPR_2017__T1D1_B_shotgun__bin.5	SternesPR_2017	T1D1_B_shotgun	assigned	SGB205806	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus_kunkeei	1099581.0	156.0	9249.0	87.01140873	2.8125	0.364422448
