MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LiZ_2019__SRS3379157__bin.1	LiZ_2019	SRS3379157	assigned	SGB7785	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	2362032.0	771.0	3271.0	53.50877193	0.0	0.468286628
LiZ_2019__SRS3379157__bin.3	LiZ_2019	SRS3379157	assigned	SGB10132	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_mori	4748655.0	195.0	37126.0	99.44609788	0.639880952	0.555455597
LiZ_2019__SRS3379159__bin.6	LiZ_2019	SRS3379159	assigned	SGB7231	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_versmoldensis	1933945.0	458.0	4960.0	87.91289862	2.111692845	0.384612799
LiZ_2019__SRS3379159__bin.7	LiZ_2019	SRS3379159	assigned	SGB10083	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter_freundii	3986768.0	645.0	7766.0	63.4169279	1.724137931	0.523773894
LiZ_2019__SRS3379165__bin.1	LiZ_2019	SRS3379165	assigned	SGB10130	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_hormaechei	2392890.0	88.0	35925.0	57.00268886	0.240575397	0.558335736
LiZ_2019__SRS3379166__bin.1	LiZ_2019	SRS3379166	assigned	SGB10130	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_hormaechei	4338328.0	359.0	17450.0	77.06896552	1.724137931	0.560088818
LiZ_2019__SRS3379166__bin.6	LiZ_2019	SRS3379166	assigned	SGB7059	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_acidipiscis	1625997.0	447.0	4063.0	77.94601137	1.832460733	0.38580391
LiZ_2019__SRS3379169__bin.2	LiZ_2019	SRS3379169	assigned	SGB29645	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_suantsaii	2193654.0	160.0	19945.0	93.08649554	2.604166667	0.517003593
LiZ_2019__SRS3379169__bin.4	LiZ_2019	SRS3379169	assigned	SGB7178	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_ethanolidurans	1910352.0	334.0	7141.0	91.50431787	1.203703704	0.370861496
LiZ_2019__SRS3379169__bin.5	LiZ_2019	SRS3379169	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2083232.0	97.0	31455.0	79.77107008	0.0	0.461860225
LiZ_2019__SRS3379170__bin.5	LiZ_2019	SRS3379170	assigned	SGB7235	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_alimentarius	1419060.0	60.0	45746.0	87.43455497	0.074794316	0.352018237
LiZ_2019__SRS3379170__bin.6	LiZ_2019	SRS3379170	assigned	SGB29645	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_suantsaii	2217503.0	259.0	12650.0	91.35038442	4.521374459	0.516018693
LiZ_2019__SRS3379170__bin.8	LiZ_2019	SRS3379170	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1032974.0	112.0	12141.0	75.05752841	0.989583333	0.460992242
