MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_FFoQSI_1__KM-1D__bin.19	MASTER_WP4_FFoQSI_1	KM-1D	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	30492314	1058	41274	91.0	0.4	0.5809
MASTER_WP4_FFoQSI_1__KM-1G__bin.28	MASTER_WP4_FFoQSI_1	KM-1G	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	28300650	2396	14733	81.9	0.4	0.5811
MASTER_WP4_FFoQSI_1__KM-2D__bin.35	MASTER_WP4_FFoQSI_1	KM-2D	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27634098	386	114538	89.2	0.3	0.5857
MASTER_WP4_FFoQSI_1__KM-2G__bin.4	MASTER_WP4_FFoQSI_1	KM-2G	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	25261007	3294	8999	71.9	0.4	0.5823
MASTER_WP4_FFoQSI_1__KM-5D__bin.36	MASTER_WP4_FFoQSI_1	KM-5D	EUK10000060	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum	23958685	3556	8171	74.8	0.5	0.5017
MASTER_WP4_FFoQSI_1__KM-5G__bin.9	MASTER_WP4_FFoQSI_1	KM-5G	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27517501	2742	14557	58.9	0.5	0.5749
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.42	MASTER_WP4_FFoQSI_1	RC17-F-AR	EUK10000060	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum	28163693	862	47180	94.9	0.1	0.4994
MASTER_WP4_FFoQSI_1__RC17-F-BR__bin.25	MASTER_WP4_FFoQSI_1	RC17-F-BR	EUK10000060	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum	27293759	956	40874	93.8	0.1	0.5003
MASTER_WP4_FFoQSI_1__VB-03-AG__bin.36	MASTER_WP4_FFoQSI_1	VB-03-AG	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27616420	2707	14819	59.6	0.7	0.5729
MASTER_WP4_FFoQSI_1__VB-03-BD__bin.31	MASTER_WP4_FFoQSI_1	VB-03-BD	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27614076	2574	15771	59.9	0.7	0.5741
MASTER_WP4_FFoQSI_1__VB-03-M5__bin.23	MASTER_WP4_FFoQSI_1	VB-03-M5	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	30834816	541	88351	90.5	0.4	0.5804
MASTER_WP4_FFoQSI_1__VB-03-M6__bin.42	MASTER_WP4_FFoQSI_1	VB-03-M6	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27094357	440	100296	87.6	0.3	0.5859
MASTER_WP4_FFoQSI_1__VB-04-BG__bin.7	MASTER_WP4_FFoQSI_1	VB-04-BG	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	26652519	2973	12064	55.8	0.5	0.5721
MASTER_WP4_FFoQSI_1__VB-05-AD__bin.14	MASTER_WP4_FFoQSI_1	VB-05-AD	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	26529185	636	62598	90.2	0.3	0.5874
MASTER_WP4_FFoQSI_1__VB-05-BD__bin.14	MASTER_WP4_FFoQSI_1	VB-05-BD	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	23514665	165	220344	83.9	0.2	0.5891
MASTER_WP4_FFoQSI_1__VB-09-AG__bin.36	MASTER_WP4_FFoQSI_1	VB-09-AG	EUK10000060	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum	27999531	734	55632	94.1	0.1	0.4993
MASTER_WP4_FFoQSI_1__VB-09-BD__bin.42	MASTER_WP4_FFoQSI_1	VB-09-BD	EUK10000060	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum	28558427	799	54471	95.6	0.1	0.499
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.74	MASTER_WP4_FFoQSI_1	VB-09-M7	EUK5075	kSGB	Species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_camemberti	30478809	2928	13613	84.8	0.4	0.4856
MASTER_WP4_FFoQSI_1__VB-09-M8__bin.57	MASTER_WP4_FFoQSI_1	VB-09-M8	EUK10000060	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum	17066731	3378	5463	52.9	0.4	0.5016
MASTER_WP4_FFoQSI_1__VB-12D__bin.31	MASTER_WP4_FFoQSI_1	VB-12D	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	24710928	4005	7139	69.0	0.1	0.5825
MASTER_WP4_FFoQSI_1__VB-14-AD__bin.11	MASTER_WP4_FFoQSI_1	VB-14-AD	EUK10000051	uSGB	Family	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae	unknown	unknown	23361736	2105	15256	85.7	0.0	0.4795
MASTER_WP4_FFoQSI_1__VB-14-AD__bin.18	MASTER_WP4_FFoQSI_1	VB-14-AD	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27446771	2494	16062	59.2	0.5	0.5738
MASTER_WP4_FFoQSI_1__VB-15-AG__bin.42	MASTER_WP4_FFoQSI_1	VB-15-AG	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	28995925	1857	23451	71.4	0.6	0.578
MASTER_WP4_FFoQSI_1__VB-15-BD__bin.16	MASTER_WP4_FFoQSI_1	VB-15-BD	EUK10000052	uSGB	Family	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	unknown	unknown	26170054	921	41973	89.5	0.1	0.4724
MASTER_WP4_FFoQSI_1__VB-15-BD__bin.28	MASTER_WP4_FFoQSI_1	VB-15-BD	EUK10000051	uSGB	Family	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae	unknown	unknown	15852856	1877	9675	59.2	0.0	0.4798
MASTER_WP4_FFoQSI_1__VB-15-BD__bin.26	MASTER_WP4_FFoQSI_1	VB-15-BD	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27261811	244	187555	87.6	0.3	0.5851
MASTER_WP4_FFoQSI_1__VB-15-M10__bin.4	MASTER_WP4_FFoQSI_1	VB-15-M10	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	27472937	187	227369	86.9	0.5	0.5843
MASTER_WP4_FFoQSI_1__VB-15-M11__bin.39	MASTER_WP4_FFoQSI_1	VB-15-M11	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	29606112	1130	40354	80.0	0.5	0.5801
MASTER_WP4_FFoQSI_1__VB-15-M12__bin.22	MASTER_WP4_FFoQSI_1	VB-15-M12	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	30272065	1201	38870	81.4	0.6	0.5793
MASTER_WP4_FFoQSI_1__VB-15-M9__bin.49	MASTER_WP4_FFoQSI_1	VB-15-M9	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	20434556	3684	6207	50.3	0.4	0.5773
MASTER_WP4_FFoQSI_1__VB-16-AG__bin.3	MASTER_WP4_FFoQSI_1	VB-16-AG	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	30144048	514	95573	91.0	0.4	0.5816
MASTER_WP4_FFoQSI_1__VB-16-BD__bin.18	MASTER_WP4_FFoQSI_1	VB-16-BD	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	30169460	237	197526	88.6	0.6	0.5805
MASTER_WP4_FFoQSI_1__VB-16-BD__bin.41	MASTER_WP4_FFoQSI_1	VB-16-BD	EUK10000067	uSGB	Genus	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Hapsidospora	unknown	19607109	2477	9085	70.3	0.3	0.5694
MASTER_WP4_FFoQSI_1__VB-16-M14__bin.10	MASTER_WP4_FFoQSI_1	VB-16-M14	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	30020678	2555	19159	76.0	0.5	0.5781
MASTER_WP4_FFoQSI_1__VB12-F-BR__bin.28	MASTER_WP4_FFoQSI_1	VB12-F-BR	EUK10000074	kSGB	Species	Eukaryota	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_brevicaulis	30397301	1279	33930	89.4	0.4	0.581
