dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
GianvitoDP_2025	GianvitoDP_2025__SRR31346742__bin.11	SRR31346742	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	3148648.0	132.0	42296.0	75.21	0.05	0.56
GianvitoDP_2025	GianvitoDP_2025__SRR31346745__bin.20	SRR31346745	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	4398098.0	363.0	20612.0	99.98	1.17	0.56
GianvitoDP_2025	GianvitoDP_2025__SRR31346739__bin.17	SRR31346739	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	4391312.0	249.0	29238.0	99.99	0.44	0.56
GianvitoDP_2025	GianvitoDP_2025__SRR31346743__bin.12	SRR31346743	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	4422025.0	248.0	32866.0	99.74	0.36	0.56
GianvitoDP_2025	GianvitoDP_2025__SRR31346748__bin.19	SRR31346748	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	4581025.0	209.0	38422.0	100.0	0.07	0.56
GianvitoDP_2025	GianvitoDP_2025__SRR31346744__bin.27	SRR31346744	assigned	SGB11402	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_sp_Leaf125	2981341.0	1167.0	2560.0	56.62	3.18	0.69
GianvitoDP_2025	GianvitoDP_2025__SRR31346749__bin.1	SRR31346749	assigned	SGB11402	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_sp_Leaf125	4040556.0	1400.0	3061.0	72.09	3.58	0.69
GianvitoDP_2025	GianvitoDP_2025__SRR31346746__bin.17	SRR31346746	assigned	SGB11402	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_sp_Leaf125	4727605.0	1470.0	3526.0	77.05	3.42	0.69
GianvitoDP_2025	GianvitoDP_2025__SRR31346743__bin.24	SRR31346743	assigned	SGB11402	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_sp_Leaf125	5840512.0	424.0	22961.0	99.97	1.8	0.69
GianvitoDP_2025	GianvitoDP_2025__SRR31346749__bin.18	SRR31346749	assigned	SGB11652	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_aerolata	2636269.0	773.0	3640.0	52.16	0.6	0.66
GianvitoDP_2025	GianvitoDP_2025__SRR31346746__bin.24	SRR31346746	assigned	SGB11652	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_aerolata	4363929.0	936.0	5629.0	82.12	4.94	0.65
GianvitoDP_2025	GianvitoDP_2025__SRR31346748__bin.28	SRR31346748	assigned	SGB12302	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_coleopterorum	3210920.0	751.0	4978.0	70.23	2.08	0.63
GianvitoDP_2025	GianvitoDP_2025__SRR31346742__bin.1	SRR31346742	assigned	SGB12302	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_coleopterorum	3957336.0	587.0	8766.0	87.7	1.28	0.63
GianvitoDP_2025	GianvitoDP_2025__SRR31346749__bin.14	SRR31346749	assigned	SGB22853	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_oryzihabitans	4716104.0	125.0	75589.0	93.4	4.94	0.66
GianvitoDP_2025	GianvitoDP_2025__SRR31346745__bin.13	SRR31346745	assigned	SGB22853	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_oryzihabitans	5009770.0	135.0	66519.0	99.93	1.43	0.66
GianvitoDP_2025	GianvitoDP_2025__SRR31346748__bin.27	SRR31346748	assigned	SGB33035	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_graminis	5929879.0	862.0	9053.0	99.08	4.96	0.61
