MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
YapM_2020__ERR4142707__bin.6	YapM_2020	ERR4142707	assigned	SGB89059	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_saxonica	3623599.0	567.0	9217.0	77.54	3.39	0.56
YapM_2020__ERR4142710__bin.1	YapM_2020	ERR4142710	assigned	SGB10398	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_johnsonii	1881761.0	33.0	83282.0	60.91	0.11	0.42
YapM_2020__ERR4142712__bin.1	YapM_2020	ERR4142712	assigned	SGB10398	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_johnsonii	1680305.0	65.0	36286.0	54.04	0.16	0.41
YapM_2020__ERR4142713__bin.1	YapM_2020	ERR4142713	assigned	SGB66296	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_lactis	2096723.0	808.0	2674.0	63.69	2.21	0.6
YapM_2020__ERR4142719__bin.1	YapM_2020	ERR4142719	assigned	SGB16874	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_maritypicum	1666007.0	622.0	2778.0	51.51	0.48	0.68
YapM_2020__ERR4142719__bin.2	YapM_2020	ERR4142719	assigned	SGB10396	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_albensis	2837130.0	195.0	23609.0	97.07	0.85	0.38
YapM_2020__ERR4142719__bin.3	YapM_2020	ERR4142719	assigned	SGB12101	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_lundensis	3044876.0	152.0	31357.0	64.66	0.74	0.59
YapM_2020__ERR4142720__bin.1	YapM_2020	ERR4142720	assigned	SGB10396	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_albensis	2759502.0	212.0	21736.0	99.55	0.24	0.39
YapM_2020__ERR4142720__bin.2	YapM_2020	ERR4142720	assigned	SGB12101	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_lundensis	3777115.0	919.0	5200.0	75.71	3.52	0.59
YapM_2020__ERR4142721__bin.1	YapM_2020	ERR4142721	assigned	SGB10396	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_albensis	2395161.0	449.0	7109.0	93.62	0.33	0.39
YapM_2020__ERR4142723__bin.3	YapM_2020	ERR4142723	assigned	SGB17550	kSGB	Species	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_radiodurans	2783795.0	404.0	9500.0	83.19	0.0	0.67
YapM_2020__ERR4142724__bin.1	YapM_2020	ERR4142724	assigned	SGB7962	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecalis	2201084.0	445.0	6263.0	84.2	3.32	0.38
YapM_2020__ERR4142724__bin.2	YapM_2020	ERR4142724	assigned	SGB17550	kSGB	Species	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_radiodurans	2815113.0	373.0	9950.0	91.54	0.0	0.67
YapM_2020__ERR4142724__bin.3	YapM_2020	ERR4142724	assigned	SGB8000	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_mutans	1457665.0	478.0	3201.0	71.68	4.59	0.38
