MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
DeFilippisF_xxxx__DF_100__bin.1	DeFilippisF_xxxx	DF_100	assigned	SGB98503	uSGB	Genus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_SGB98503	4149702.0	134.0	63962.0	96.9266055	1.949541284	0.638663933
DeFilippisF_xxxx__DF_100__bin.11	DeFilippisF_xxxx	DF_100	assigned	SGB7987	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_carnosus	2094248.0	94.0	32411.0	96.98113208	1.682389937	0.387675672
DeFilippisF_xxxx__DF_100__bin.12	DeFilippisF_xxxx	DF_100	assigned	SGB94570	uSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium_SGB94570	2402083.0	185.0	24919.0	82.8045126	2.9143898	0.348435087
DeFilippisF_xxxx__DF_100__bin.17	DeFilippisF_xxxx	DF_100	assigned	SGB7876	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus_psychrotolerans	2437138.0	77.0	59574.0	98.36065574	1.548269581	0.348758257
DeFilippisF_xxxx__DF_100__bin.18	DeFilippisF_xxxx	DF_100	assigned	SGB69381	uSGB	Family	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	GGB49459	GGB49459_SGB69381	3688920.0	226.0	28201.0	96.48889961	2.350788288	0.397142524
DeFilippisF_xxxx__DF_100__bin.19	DeFilippisF_xxxx	DF_100	assigned	SGB29863	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus_salmoninarum	3014098.0	319.0	14933.0	95.19350811	4.962546816	0.374415829
DeFilippisF_xxxx__DF_100__bin.2	DeFilippisF_xxxx	DF_100	assigned	SGB69387	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_hibernica	3163950.0	223.0	33876.0	90.16077474	1.124951343	0.40369949
DeFilippisF_xxxx__DF_100__bin.20	DeFilippisF_xxxx	DF_100	assigned	SGB69382	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	Psychrobacter_sp_FME13	1260404.0	147.0	11478.0	50.19034537	0.274725275	0.421220498
DeFilippisF_xxxx__DF_100__bin.3	DeFilippisF_xxxx	DF_100	assigned	SGB97751	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mesonia	Mesonia_profundi	2012485.0	617.0	3603.0	72.67149994	3.65652725	0.360025044
DeFilippisF_xxxx__DF_100__bin.4	DeFilippisF_xxxx	DF_100	assigned	SGB16746	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Glutamicibacter	Glutamicibacter_ardleyensis	2406404.0	195.0	16650.0	71.11183923	0.286697248	0.557201118
DeFilippisF_xxxx__DF_101__bin.1	DeFilippisF_xxxx	DF_101	assigned	SGB29633	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_lindianensis	2023744.0	150.0	19209.0	92.10069444	0.677083333	0.496739212
DeFilippisF_xxxx__DF_101__bin.10	DeFilippisF_xxxx	DF_101	assigned	SGB7217	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parabuchneri	930768.0	45.0	29090.0	77.72222222	2.625	0.438328348
DeFilippisF_xxxx__DF_101__bin.11	DeFilippisF_xxxx	DF_101	assigned	SGB7991	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_laudensis	2115263.0	81.0	56892.0	90.0	1.961858389	0.389955764
DeFilippisF_xxxx__DF_101__bin.13	DeFilippisF_xxxx	DF_101	assigned	SGB7214	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parafarraginis	2241652.0	77.0	37722.0	89.5625	0.625	0.460351562
DeFilippisF_xxxx__DF_101__bin.14	DeFilippisF_xxxx	DF_101	assigned	SGB7198	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_coryniformis	2325568.0	225.0	15065.0	92.131917	2.445652174	0.431697977
DeFilippisF_xxxx__DF_101__bin.15	DeFilippisF_xxxx	DF_101	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1809077.0	409.0	5546.0	69.27899687	3.448275862	0.354438755
DeFilippisF_xxxx__DF_101__bin.18	DeFilippisF_xxxx	DF_101	assigned	SGB8228	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_parauberis	2138834.0	189.0	21653.0	97.29559748	0.754716981	0.355790585
DeFilippisF_xxxx__DF_101__bin.20	DeFilippisF_xxxx	DF_101	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1570310.0	414.0	4460.0	59.95297806	1.724137931	0.348018544
DeFilippisF_xxxx__DF_101__bin.22	DeFilippisF_xxxx	DF_101	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1334144.0	262.0	6121.0	88.08962642	2.821869489	0.379313627
DeFilippisF_xxxx__DF_101__bin.24	DeFilippisF_xxxx	DF_101	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2457954.0	283.0	10817.0	93.00558495	2.932098765	0.450934802
DeFilippisF_xxxx__DF_101__bin.5	DeFilippisF_xxxx	DF_101	assigned	SGB17228	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_mongoliense	1861139.0	73.0	46173.0	97.77272727	1.060606061	0.637999634
DeFilippisF_xxxx__DF_101__bin.6	DeFilippisF_xxxx	DF_101	assigned	SGB7218	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_otakiensis	1357544.0	30.0	71220.0	93.4375	0.494791667	0.42389197
DeFilippisF_xxxx__DF_101__bin.8	DeFilippisF_xxxx	DF_101	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2271051.0	317.0	8269.0	89.22721205	2.559457451	0.468964369
DeFilippisF_xxxx__DF_102__bin.13	DeFilippisF_xxxx	DF_102	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1487168.0	252.0	6970.0	93.2379349	1.102292769	0.380090212
DeFilippisF_xxxx__DF_102__bin.17	DeFilippisF_xxxx	DF_102	assigned	SGB96960	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_dabitei	2496045.0	144.0	27382.0	94.6875	0.833333333	0.425388965
DeFilippisF_xxxx__DF_102__bin.18	DeFilippisF_xxxx	DF_102	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	1601740.0	376.0	4821.0	74.50866576	0.912018235	0.469304007
DeFilippisF_xxxx__DF_102__bin.19	DeFilippisF_xxxx	DF_102	assigned	SGB10396	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_albensis	1688878.0	476.0	3947.0	61.37931034	2.586206897	0.38454169
DeFilippisF_xxxx__DF_102__bin.2	DeFilippisF_xxxx	DF_102	assigned	SGB7214	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parafarraginis	2245231.0	89.0	32016.0	73.3125	1.25	0.461253207
DeFilippisF_xxxx__DF_102__bin.3	DeFilippisF_xxxx	DF_102	assigned	SGB7852	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	2746400.0	58.0	171483.0	98.36235955	0.314339219	0.327478881
