MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LeechJ_xxxx__AF11__bin.3	LeechJ_xxxx	AF11	assigned	EUK5480	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_parapsilosis	11197133.0	2318.0	6124.0	84.1	0.1	0.3883
LeechJ_xxxx__AF11__bin.9	LeechJ_xxxx	AF11	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11535201.0	1016.0	18396.0	96.5	0.2	0.3634
LeechJ_xxxx__AF14__bin.10	LeechJ_xxxx	AF14	assigned	EUK10000072	uSGB	Family	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	unknown	unknown	6912856.0	1169.0	7654.0	51.2	0.0	0.5142
LeechJ_xxxx__AF14__bin.4	LeechJ_xxxx	AF14	assigned	EUK39397	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Teunomyces	Candida_sake	13925739.0	967.0	23226.0	97.7	0.1	0.388
LeechJ_xxxx__AF14__bin.6	LeechJ_xxxx	AF14	assigned	EUK10000031	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_marxianus	9502102.0	2074.0	5315.0	79.5	0.5	0.3956
LeechJ_xxxx__AF17__bin.1	LeechJ_xxxx	AF17	assigned	EUK36911	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_lusitaniae	11914035.0	181.0	102867.0	98.9	0.0	0.4452
LeechJ_xxxx__AF17__bin.2	LeechJ_xxxx	AF17	assigned	EUK10000066	uSGB	Genus	Eukaryota	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	unknown	32816348.0	1894.0	29392.0	88.7	0.1	0.5534
LeechJ_xxxx__AF25__bin.11	LeechJ_xxxx	AF25	assigned	EUK10000054	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_versatilis	9623120.0	909.0	15122.0	75.4	0.9	0.4485
LeechJ_xxxx__AF25__bin.17	LeechJ_xxxx	AF25	assigned	EUK10000039	uSGB	Family	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	unknown	unknown	9161297.0	934.0	14813.0	95.9	0.0	0.3756
LeechJ_xxxx__AF26__bin.14	LeechJ_xxxx	AF26	assigned	EUK10000008	uSGB	Other	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	unknown	unknown	9170349.0	2372.0	4457.0	70.9	0.1	0.4715
LeechJ_xxxx__AF26__bin.5	LeechJ_xxxx	AF26	assigned	EUK10000037	uSGB	Genus	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	unknown	9113064.0	170.0	120493.0	80.0	0.1	0.3561
LeechJ_xxxx__AF28__bin.1	LeechJ_xxxx	AF28	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10760707.0	1272.0	11833.0	93.8	1.7	0.3822
LeechJ_xxxx__AF29__bin.14	LeechJ_xxxx	AF29	assigned	EUK5478	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Candida_glabrata	11930956.0	882.0	21501.0	97.3	1.1	0.3841
LeechJ_xxxx__AF29__bin.7	LeechJ_xxxx	AF29	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	7377135.0	2490.0	3167.0	56.8	0.9	0.3824
LeechJ_xxxx__AF31__bin.1	LeechJ_xxxx	AF31	assigned	EUK10000032	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea_fermentati	7392095.0	1963.0	4310.0	61.3	0.0	0.4161
LeechJ_xxxx__AF31__bin.2	LeechJ_xxxx	AF31	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10909406.0	1638.0	8857.0	89.3	2.1	0.382
LeechJ_xxxx__AF32__bin.1	LeechJ_xxxx	AF32	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10943809.0	1140.0	13966.0	93.7	1.6	0.3824
LeechJ_xxxx__AF39__bin.4	LeechJ_xxxx	AF39	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10779586.0	1568.0	9240.0	94.8	2.2	0.3837
