MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LeechJ_xxxx__AF31__bin.3	LeechJ_xxxx	AF31	SGB89214	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_peroxydans	2534896	68	65296	100.0	0.0	0.608310952
LeechJ_xxxx__AF63__bin.8	LeechJ_xxxx	AF63	SGB7249	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus	1742150	168	15518	96.4673913	1.268115942	0.420958012
LeechJ_xxxx__AF46__bin.3	LeechJ_xxxx	AF46	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2507996	207	19904	99.52651515	1.672979798	0.347773681
LeechJ_xxxx__AF63__bin.11	LeechJ_xxxx	AF63	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2405758	160	33558	96.34597441	2.518532095	0.348702571
LeechJ_xxxx__AF66__bin.14	LeechJ_xxxx	AF66	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2424028	336	10448	97.9040404	3.589466089	0.34756653
LeechJ_xxxx__AF72__bin.1	LeechJ_xxxx	AF72	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1424517	392	4036	72.10497835	1.199494949	0.361459358
LeechJ_xxxx__AF89__bin.4	LeechJ_xxxx	AF89	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1723067	453	4189	79.70328283	0.789141414	0.353441277
LeechJ_xxxx__AF34__bin.2	LeechJ_xxxx	AF34	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2453409	201	23955	98.48484848	1.704545455	0.348829323
LeechJ_xxxx__AF64__bin.4	LeechJ_xxxx	AF64	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1673414	222	11701	95.39148706	1.800233992	0.38774326
LeechJ_xxxx__AF27__bin.6	LeechJ_xxxx	AF27	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1674363	240	10489	87.34005684	2.23305261	0.388947319
LeechJ_xxxx__AF30__bin.2	LeechJ_xxxx	AF30	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1012238	293	3676	66.68444807	0.485908478	0.3963801
LeechJ_xxxx__AF42__bin.2	LeechJ_xxxx	AF42	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1388950	267	6485	88.95768351	1.30449851	0.391959394
LeechJ_xxxx__AF65__bin.2	LeechJ_xxxx	AF65	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1725881	171	14915	92.02607342	1.118995633	0.390530402
LeechJ_xxxx__AF93__bin.1	LeechJ_xxxx	AF93	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1724251	113	23469	96.52734456	0.887918486	0.387935979
LeechJ_xxxx__AF84__bin.27	LeechJ_xxxx	AF84	SGB7142	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2390169	448	6961	87.20114284	3.057181345	0.467968165
LeechJ_xxxx__AF14__bin.7	LeechJ_xxxx	AF14	SGB7142	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2867837	557	6593	94.37843859	4.746376812	0.464216062
LeechJ_xxxx__AF82__bin.9	LeechJ_xxxx	AF82	SGB7144	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_rhamnosus	1919860	536	3941	77.12468595	3.488749047	0.471509381
