MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
SalvettiE_2016__SRS1050146__bin.15	SalvettiE_2016	SRS1050146	assigned	SGB94767	ufSGB	Family	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	GGB70346	GGB70346_SGB94767	2464455.0	45.0	122168.0	54.03225806	0.0	0.291654747
SalvettiE_2016__SRS1050146__bin.10	SalvettiE_2016	SRS1050146	assigned	SGB10187	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_agglomerans	2544938.0	721.0	3958.0	69.71994854	2.099413337	0.563442017
SalvettiE_2016__SRS1050145__bin.6	SalvettiE_2016	SRS1050145	assigned	SGB94525	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_SGB94525	3018282.0	38.0	103128.0	58.36601307	0.147058824	0.412916686
SalvettiE_2016__SRS1050146__bin.17	SalvettiE_2016	SRS1050146	assigned	SGB94437	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_SGB94437	3208870.0	359.0	13779.0	78.58926342	2.028714107	0.419940664
SalvettiE_2016__SRS1050146__bin.9	SalvettiE_2016	SRS1050146	assigned	SGB10195	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Duffyella	Duffyella_gerundensis	3115885.0	101.0	63903.0	68.96551724	0.0	0.559232449
SalvettiE_2016__SRS1050145__bin.5	SalvettiE_2016	SRS1050145	assigned	SGB93621	ufSGB	Genus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_SGB93621	5086440.0	113.0	63874.0	83.50877193	0.877192982	0.608068708
SalvettiE_2016__SRS1050145__bin.1	SalvettiE_2016	SRS1050145	assigned	SGB12068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_graminis	4415952.0	81.0	91912.0	72.98245614	1.754385965	0.611423313
SalvettiE_2016__SRS1050145__bin.18	SalvettiE_2016	SRS1050145	assigned	SGB93139	ufSGB	Family	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	GGB69081	GGB69081_SGB93139	4047996.0	134.0	49702.0	97.13804714	1.515151515	0.642390457
SalvettiE_2016__SRS1050145__bin.9	SalvettiE_2016	SRS1050145	assigned	SGB94520	ufSGB	Genus	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_SGB94520	6375311.0	52.0	219304.0	90.14705882	2.647058824	0.463074821
SalvettiE_2016__SRS1050146__bin.19	SalvettiE_2016	SRS1050146	assigned	SGB10198	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia_billingiae	3179296.0	22.0	318955.0	71.75774135	0.409836066	0.553007018
SalvettiE_2016__SRS1050146__bin.11	SalvettiE_2016	SRS1050146	assigned	SGB7907	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium_inhibens	2480749.0	123.0	40310.0	98.90710383	1.411657559	0.349427129
