MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
DuR_2020__DRS139335__bin.18	DuR_2020	DRS139335	assigned	SGB7728	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus	Caldibacillus_thermoamylovorans	3177689.0	650.0	6024.0	88.81017434	3.766588603	0.376865074
DuR_2020__DRS139335__bin.16	DuR_2020	DRS139335	assigned	SGB7729	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia_coagulans	2333354.0	364.0	8317.0	90.16328525	2.34245127	0.483266148
DuR_2020__DRS139335__bin.12	DuR_2020	DRS139335	assigned	SGB7115	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	895086.0	253.0	3911.0	57.01754386	3.50877193	0.449205998
DuR_2020__DRS139334__bin.17	DuR_2020	DRS139334	assigned	SGB29587	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	Acetilactobacillus_jinshanensis	461729.0	4.0	231320.0	50.0	0.0	0.389687457
DuR_2020__DRS139335__bin.2	DuR_2020	DRS139335	assigned	SGB7106	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1593942.0	107.0	21941.0	93.44262295	0.86934923	0.532922779
DuR_2020__DRS139335__bin.11	DuR_2020	DRS139335	assigned	SGB7238	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_paralimentarius	3006210.0	263.0	22926.0	99.28010471	1.67539267	0.35143819
DuR_2020__DRS139334__bin.20	DuR_2020	DRS139334	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	1180416.0	163.0	9538.0	91.69885309	1.731601732	0.364725656
DuR_2020__DRS139333__bin.17	DuR_2020	DRS139333	assigned	SGB29587	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	Acetilactobacillus_jinshanensis	365692.0	8.0	74741.0	50.0	0.0	0.38873697
DuR_2020__DRS139333__bin.2	DuR_2020	DRS139333	assigned	SGB7169	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	1438792.0	217.0	9753.0	92.84979424	1.519939251	0.374437723
DuR_2020__DRS139334__bin.2	DuR_2020	DRS139334	assigned	SGB7169	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	1563156.0	308.0	6851.0	92.99639918	4.346707819	0.370296375
DuR_2020__DRS139334__bin.5	DuR_2020	DRS139334	assigned	SGB7115	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1424711.0	411.0	3727.0	78.3919442	3.200408998	0.448648182
DuR_2020__DRS139335__bin.15	DuR_2020	DRS139335	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	1219546.0	332.0	3932.0	50.0	1.754385965	0.449172069
DuR_2020__DRS139334__bin.12	DuR_2020	DRS139334	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1816885.0	274.0	11648.0	92.59259259	3.589065256	0.393710664
DuR_2020__DRS139334__bin.18	DuR_2020	DRS139334	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	1894258.0	437.0	5166.0	52.63157895	1.754385965	0.450173102
DuR_2020__DRS139334__bin.9	DuR_2020	DRS139334	assigned	SGB7168	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_acidilactici	1217252.0	333.0	4032.0	61.0031348	2.586206897	0.428784672
DuR_2020__DRS139335__bin.22	DuR_2020	DRS139335	assigned	SGB7169	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus	1213989.0	280.0	5245.0	83.16725456	3.780864198	0.37183533
