MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
PasolliE_2020__SRS6525470__bin.7	PasolliE_2020	SRS6525470	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2848228.0	22.0	276521.0	93.82716049	2.777777778	0.448498856
PasolliE_2020__SRS6525471__bin.1	PasolliE_2020	SRS6525471	assigned	SGB7729	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	Heyndrickxia_coagulans	3352539.0	130.0	45229.0	98.08743169	0.0	0.464255599
PasolliE_2020__SRS6525472__bin.1	PasolliE_2020	SRS6525472	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1049316.0	152.0	9178.0	65.356623	0.851058835	0.396592637
PasolliE_2020__SRS6525474__bin.1	PasolliE_2020	SRS6525474	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1092602.0	23.0	112296.0	80.51948052	0.0	0.505995779
PasolliE_2020__SRS6525474__bin.2	PasolliE_2020	SRS6525474	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	888647.0	133.0	8594.0	58.15580162	0.688292784	0.398986324
PasolliE_2020__SRS6525475__bin.2	PasolliE_2020	SRS6525475	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1617841.0	167.0	17301.0	96.2154294	1.028020378	0.391307922
PasolliE_2020__SRS6525476__bin.1	PasolliE_2020	SRS6525476	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1607348.0	134.0	18593.0	96.87045124	0.873362445	0.391416793
PasolliE_2020__SRS6525478__bin.4	PasolliE_2020	SRS6525478	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1262067.0	38.0	68612.0	87.01298701	0.0	0.507183058
PasolliE_2020__SRS6525478__bin.6	PasolliE_2020	SRS6525478	assigned	SGB207838	uSGB	Genus	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_SGB207838	864279.0	11.0	105266.0	55.17241379	0.0	0.599305317
PasolliE_2020__SRS6525478__bin.7	PasolliE_2020	SRS6525478	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1675870.0	127.0	21379.0	96.56472407	0.997088792	0.390600703
PasolliE_2020__SRS6525478__bin.8	PasolliE_2020	SRS6525478	assigned	SGB17247	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_breve	1877916.0	373.0	6374.0	91.34408602	4.214029698	0.590338971
PasolliE_2020__SRS6525478__bin.9	PasolliE_2020	SRS6525478	assigned	SGB7044	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acidophilus	1460065.0	61.0	32378.0	87.30568674	0.789551358	0.345303805
PasolliE_2020__SRS6525479__bin.12	PasolliE_2020	SRS6525479	assigned	SGB7044	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acidophilus	1329310.0	8.0	669901.0	67.24137931	0.0	0.343324732
PasolliE_2020__SRS6525479__bin.13	PasolliE_2020	SRS6525479	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	965097.0	6.0	288318.0	56.89655172	0.0	0.451648902
PasolliE_2020__SRS6525479__bin.3	PasolliE_2020	SRS6525479	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	1762748.0	27.0	92289.0	72.2826087	0.0	0.466608386
PasolliE_2020__SRS6525480__bin.1	PasolliE_2020	SRS6525480	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1644322.0	131.0	25074.0	97.07398662	0.358851675	0.503473772
PasolliE_2020__SRS6525480__bin.2	PasolliE_2020	SRS6525480	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2263265.0	52.0	98338.0	100.0	0.378787879	0.349268424
PasolliE_2020__SRS6525480__bin.4	PasolliE_2020	SRS6525480	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1714735.0	35.0	90485.0	98.95508422	0.145560408	0.388767361
PasolliE_2020__SRS6525480__bin.5	PasolliE_2020	SRS6525480	assigned	SGB17278	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_animalis	1168488.0	16.0	100942.0	63.91111111	0.0	0.597857231
PasolliE_2020__SRS6525481__bin.1	PasolliE_2020	SRS6525481	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1189500.0	271.0	5404.0	78.79609413	0.9814567	0.394863388
PasolliE_2020__SRS6525482__bin.1	PasolliE_2020	SRS6525482	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1026216.0	146.0	9054.0	67.18843141	0.618631732	0.397324735
PasolliE_2020__SRS6525483__bin.3	PasolliE_2020	SRS6525483	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1493039.0	206.0	11025.0	91.45872323	1.717612809	0.394473955
