dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
QuekJJ_2025	QuekJJ_2025__SRR31860694__bin.28	SRR31860694	assigned	SGB4730	kSGB	Species	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	Lacrimispora_xylanolytica	3989842.0	138.0	51693.0	92.39	0.05	0.43
QuekJJ_2025	QuekJJ_2025__SRR31860685__bin.31	SRR31860685	assigned	SGB7106	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_fermentum	1436944.0	157.0	11917.0	86.55	2.17	0.53
QuekJJ_2025	QuekJJ_2025__SRR31860677__bin.11	SRR31860677	assigned	SGB7114	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria	1128640.0	95.0	16581.0	53.16	0.26	0.45
QuekJJ_2025	QuekJJ_2025__SRR31860685__bin.1	SRR31860685	assigned	SGB7115	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1189997.0	96.0	16774.0	68.53	0.55	0.45
QuekJJ_2025	QuekJJ_2025__SRR31860677__bin.20	SRR31860677	assigned	SGB7115	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_confusa	1138358.0	273.0	4613.0	57.39	1.91	0.45
QuekJJ_2025	QuekJJ_2025__SRR31860682__bin.30	SRR31860682	assigned	SGB7121	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_lactis	1158747.0	130.0	13653.0	74.61	4.49	0.44
QuekJJ_2025	QuekJJ_2025__SRR31860690__bin.32	SRR31860690	assigned	SGB7122	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_citreum	1346940.0	34.0	79802.0	82.44	0.19	0.39
QuekJJ_2025	QuekJJ_2025__SRR31860692__bin.11	SRR31860692	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1106831.0	19.0	121773.0	72.35	0.58	0.38
QuekJJ_2025	QuekJJ_2025__SRR31860689__bin.10	SRR31860689	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1399693.0	15.0	130286.0	79.78	1.01	0.38
QuekJJ_2025	QuekJJ_2025__SRR31860689__bin.7	SRR31860689	assigned	SGB7129	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_carnosum	1074437.0	12.0	131605.0	67.0	0.07	0.37
