MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
WalshL_xxxx__P1__bin.1	WalshL_xxxx	P1	SGB1187	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	2553780	55	68944	100.0	0.0	0.529075331
WalshL_xxxx__L9__bin.3	WalshL_xxxx	L9	SGB92972	uSGB	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	2758187	53	85498	100.0	0.0	0.540415498
WalshL_xxxx__Q4__bin.4	WalshL_xxxx	Q4	SGB92972	uSGB	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	2757395	77	62272	100.0	1.492537313	0.54211892
WalshL_xxxx__Q5__bin.4	WalshL_xxxx	Q5	SGB92972	uSGB	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	2983756	45	90005	100.0	2.487562189	0.540342106
WalshL_xxxx__I1__bin.6	WalshL_xxxx	I1	SGB92972	uSGB	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	2586606	28	137782	100.0	0.0	0.538938671
WalshL_xxxx__W9__bin.2	WalshL_xxxx	W9	SGB92972	uSGB	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	2977147	178	28446	99.93781095	0.0	0.538020796
WalshL_xxxx__J3__bin.5	WalshL_xxxx	J3	SGB1190	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	2438078	136	27348	99.75124378	0.912106136	0.587248644
WalshL_xxxx__P4__bin.7	WalshL_xxxx	P4	SGB92972	uSGB	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	2651646	49	86148	99.62686567	0.0	0.541644699
WalshL_xxxx__O11__bin.6	WalshL_xxxx	O11	SGB1187	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	2457916	72	50419	99.50248756	0.0	0.530847271
WalshL_xxxx__L8__bin.6	WalshL_xxxx	L8	SGB92972	uSGB	Genus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	3046991	253	18995	99.50248756	3.747392072	0.539558207
WalshL_xxxx__G12__bin.3	WalshL_xxxx	G12	SGB1190	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	2482946	135	31206	99.25373134	0.248756219	0.588256853
WalshL_xxxx__T5__bin.4	WalshL_xxxx	T5	SGB1190	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	2434474	146	28054	98.75621891	0.746268657	0.586987168
WalshL_xxxx__T2__bin.7	WalshL_xxxx	T2	SGB1190	kSGB	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_fabarum	2384496	187	20605	98.75621891	1.243781095	0.587663808
WalshL_xxxx__V10__bin.2	WalshL_xxxx	V10	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2290300	59	75626	99.24528302	0.188679245	0.350387722
WalshL_xxxx__V5__bin.1	WalshL_xxxx	V5	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2286613	56	69684	99.24528302	0.188679245	0.350268716
WalshL_xxxx__V6__bin.3	WalshL_xxxx	V6	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2277117	59	75626	99.24528302	0.188679245	0.350528322
WalshL_xxxx__V9__bin.4	WalshL_xxxx	V9	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2344632	59	75626	99.24528302	0.628930818	0.34924244
WalshL_xxxx__W2__bin.2	WalshL_xxxx	W2	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2284970	56	75478	99.24528302	0.188679245	0.350303505
WalshL_xxxx__W5__bin.2	WalshL_xxxx	W5	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2313189	61	75478	99.24528302	0.188679245	0.350189716
WalshL_xxxx__W6__bin.1	WalshL_xxxx	W6	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2286329	56	75478	99.24528302	0.188679245	0.35030479
