dataset_id	MAG_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
ZhangZ_2021	ZhangZ_2021__SRR13638428__bin.36	SRR13638428	assigned	SGB3056	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter_falsenii	1450307.0	574.0	2512.0	56.66	1.72	0.32
ZhangZ_2021	ZhangZ_2021__SRR13638432__bin.3	SRR13638432	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1698555.0	140.0	22385.0	91.79	1.15	0.51
ZhangZ_2021	ZhangZ_2021__SRR13638431__bin.25	SRR13638431	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	1773905.0	171.0	21858.0	99.46	1.94	0.36
ZhangZ_2021	ZhangZ_2021__SRR13638438__bin.4	SRR13638438	assigned	SGB7027	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_acetotolerans	776083.0	34.0	40579.0	50.7	0.19	0.36
ZhangZ_2021	ZhangZ_2021__SRR13638438__bin.17	SRR13638438	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1330339.0	28.0	113224.0	62.17	0.68	0.36
ZhangZ_2021	ZhangZ_2021__SRR13638437__bin.24	SRR13638437	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	938879.0	30.0	94805.0	55.07	0.39	0.37
ZhangZ_2021	ZhangZ_2021__SRR13638438__bin.30	SRR13638438	assigned	SGB7059	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_acidipiscis	1814750.0	137.0	19480.0	84.93	0.7	0.39
ZhangZ_2021	ZhangZ_2021__SRR13638434__bin.10	SRR13638434	assigned	SGB7063	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_nagelii	2076277.0	145.0	43332.0	99.89	0.85	0.37
ZhangZ_2021	ZhangZ_2021__SRR13638435__bin.23	SRR13638435	assigned	SGB7063	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_nagelii	1918492.0	78.0	57182.0	99.73	1.09	0.37
ZhangZ_2021	ZhangZ_2021__SRR13638435__bin.6	SRR13638435	assigned	SGB7065	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus_vini	1931053.0	104.0	37026.0	94.26	0.8	0.38
