MAG_id	dataset_id	sample_id	SGB_assignment	avg_dist	SGB_id	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_Content
KharnaiorP_2023__SRR22859377__bin.10	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0228425363636363	SGB7953	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_sp_RIT_PI_f	2699659	139	31573	87.3	1.14	0.42
KharnaiorP_2023__SRR22859377__bin.11	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0273378833333333	SGB16635	Species	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium_iodinum	3173088	333	14616	88.33	0.34	0.65
KharnaiorP_2023__SRR22859377__bin.12	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0457593	SGB48626	Other	Bacteria	Firmicutes	CFGB13342	OFGB13342	FGB13342	GGB37085	GGB37085_SGB48626	1595482	144	16305	52.85	0.73	0.44
KharnaiorP_2023__SRR22859377__bin.13	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0208205420091324	SGB7968	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecium	2384599	180	25291	88.44	4.44	0.39
KharnaiorP_2023__SRR22859377__bin.14	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0276212416149068	SGB7785	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_velezensis	2456446	510	5473	66.57	0.67	0.47
KharnaiorP_2023__SRR22859377__bin.19	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0345650999999999	SGB98932	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermabacteraceae	Brachybacterium	Brachybacterium_SGB98932	3441634	544	8854	99.76	1.73	0.72
KharnaiorP_2023__SRR22859377__bin.2	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0258396486486486	SGB11003	Species	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales_unclassified	Hyphomicrobiales_unclassified	Hyphomicrobiales_bacterium	4116115	484	10719	84.07	2.33	0.54
KharnaiorP_2023__SRR22859377__bin.20	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0126564671028037	SGB7848	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_saprophyticus	2514714	55	81052	98.48	0.82	0.33
KharnaiorP_2023__SRR22859377__bin.21	KharnaiorP_2023	SRR22859377	Unassigned											2514033	289	11077	74.5	2.44	0.56
KharnaiorP_2023__SRR22859377__bin.6	KharnaiorP_2023	SRR22859377	SGB_assigned	0.0151179885724482	SGB7962	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecalis	2573072	195	20060	93.59	0.73	0.38
