MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
DecadtH_2024__ERR11718190__bin.1	DecadtH_2024	ERR11718190	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1601836.0	104.0	21192.0	69.5	0.36	0.35
DecadtH_2024__ERR11718190__bin.2	DecadtH_2024	ERR11718190	assigned	SGB7926	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	1876038.0	116.0	25580.0	78.2	2.59	0.36
DecadtH_2024__ERR11718191__bin.3	DecadtH_2024	ERR11718191	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1143948.0	146.0	9077.0	53.08	0.42	0.35
DecadtH_2024__ERR11718192__bin.5	DecadtH_2024	ERR11718192	assigned	SGB7926	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	1262623.0	83.0	23160.0	53.48	1.11	0.35
DecadtH_2024__ERR11718192__bin.6	DecadtH_2024	ERR11718192	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1381325.0	125.0	14504.0	57.28	0.17	0.35
DecadtH_2024__ERR11718194__bin.10	DecadtH_2024	ERR11718194	assigned	SGB7926	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	1425574.0	93.0	23332.0	56.98	0.74	0.36
DecadtH_2024__ERR11718194__bin.9	DecadtH_2024	ERR11718194	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1369582.0	95.0	18642.0	63.06	0.24	0.35
DecadtH_2024__ERR11718195__bin.3	DecadtH_2024	ERR11718195	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1676644.0	146.0	16157.0	68.5	1.25	0.35
DecadtH_2024__ERR11718195__bin.6	DecadtH_2024	ERR11718195	assigned	SGB7926	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	1177410.0	401.0	3089.0	54.86	0.13	0.36
DecadtH_2024__ERR11718196__bin.7	DecadtH_2024	ERR11718196	assigned	SGB7926	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	1208098.0	123.0	14133.0	51.02	0.15	0.36
DecadtH_2024__ERR11718197__bin.1	DecadtH_2024	ERR11718197	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1585569.0	265.0	7814.0	82.65	3.1	0.39
DecadtH_2024__ERR11718197__bin.11	DecadtH_2024	ERR11718197	assigned	SGB7141	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_rennini	1756552.0	115.0	23084.0	84.79	0.05	0.41
DecadtH_2024__ERR11718197__bin.9	DecadtH_2024	ERR11718197	assigned	SGB7991	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_laudensis	1134366.0	131.0	11443.0	54.28	0.42	0.39
DecadtH_2024__ERR11718198__bin.1	DecadtH_2024	ERR11718198	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1536381.0	140.0	14598.0	63.68	3.59	0.35
DecadtH_2024__ERR11718198__bin.4	DecadtH_2024	ERR11718198	assigned	SGB7926	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	1863894.0	145.0	18152.0	77.53	0.5	0.36
DecadtH_2024__ERR11718198__bin.5	DecadtH_2024	ERR11718198	assigned	SGB7141	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_rennini	1054495.0	58.0	24827.0	51.62	0.0	0.4
DecadtH_2024__ERR11718198__bin.6	DecadtH_2024	ERR11718198	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1368700.0	107.0	16362.0	62.02	1.88	0.35
DecadtH_2024__ERR11718199__bin.2	DecadtH_2024	ERR11718199	assigned	SGB7141	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_rennini	1315763.0	221.0	6697.0	59.67	0.21	0.41
