MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
SternesPR_2017__Control1_A_shotgun__bin.1	SternesPR_2017	Control1_A_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	8294422.0	617.0	25965.0	77.1	0.0	0.3193
SternesPR_2017__Control1_A_shotgun__bin.2	SternesPR_2017	Control1_A_shotgun	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11587053.0	385.0	47708.0	98.1	0.1	0.3627
SternesPR_2017__Control1_C_shotgun__bin.2	SternesPR_2017	Control1_C_shotgun	assigned	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11306108.0	265.0	74963.0	95.7	0.1	0.3627
SternesPR_2017__Control1_C_shotgun__bin.4	SternesPR_2017	Control1_C_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	8339196.0	620.0	24013.0	77.1	0.1	0.3192
SternesPR_2017__Control2_A_shotgun__bin.1	SternesPR_2017	Control2_A_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10954305.0	260.0	69170.0	98.3	1.9	0.3824
SternesPR_2017__Control2_C_shotgun__bin.1	SternesPR_2017	Control2_C_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	10664389.0	264.0	62029.0	95.4	2.0	0.382
SternesPR_2017__T1D1_A_shotgun__bin.1	SternesPR_2017	T1D1_A_shotgun	assigned	EUK10000078	kSGB	Species	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_graminis	17355180.0	4037.0	5205.0	57.7	0.0	0.6848
SternesPR_2017__T1D1_A_shotgun__bin.2	SternesPR_2017	T1D1_A_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	7821766.0	1156.0	9556.0	71.7	0.0	0.3192
SternesPR_2017__T1D1_A_shotgun__bin.3	SternesPR_2017	T1D1_A_shotgun	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	8371510.0	892.0	13353.0	75.6	0.1	0.3522
SternesPR_2017__T1D1_B_shotgun__bin.1	SternesPR_2017	T1D1_B_shotgun	assigned	EUK10000035	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae	7578471.0	1195.0	8575.0	65.9	0.2	0.3523
SternesPR_2017__T1D1_B_shotgun__bin.2	SternesPR_2017	T1D1_B_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	7431722.0	955.0	11622.0	69.7	0.0	0.32
SternesPR_2017__T2D1_A_shotgun__bin.4	SternesPR_2017	T2D1_A_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	7258578.0	1696.0	5136.0	63.1	0.0	0.3192
SternesPR_2017__T2D1_A_shotgun__bin.5	SternesPR_2017	T2D1_A_shotgun	assigned	EUK10000050	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia_aff_pulcherrima	8046550.0	2243.0	3865.0	51.6	0.2	0.4668
SternesPR_2017__T2D1_A_shotgun__bin.9	SternesPR_2017	T2D1_A_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11180874.0	324.0	59655.0	98.2	1.9	0.3823
SternesPR_2017__T2D1_B_shotgun__bin.8	SternesPR_2017	T2D1_B_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	7171711.0	1792.0	4744.0	63.4	0.2	0.32
SternesPR_2017__T2D1_B_shotgun__bin.9	SternesPR_2017	T2D1_B_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11138085.0	304.0	58146.0	98.1	2.0	0.3821
SternesPR_2017__T2D3_A_shotgun__bin.3	SternesPR_2017	T2D3_A_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	8472344.0	1059.0	11668.0	75.9	0.0	0.319
SternesPR_2017__T2D3_A_shotgun__bin.4	SternesPR_2017	T2D3_A_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11192079.0	262.0	70543.0	99.1	1.9	0.3823
SternesPR_2017__T2D3_B_shotgun__bin.3	SternesPR_2017	T2D3_B_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	8511571.0	1083.0	11275.0	76.2	0.0	0.319
SternesPR_2017__T2D3_B_shotgun__bin.4	SternesPR_2017	T2D3_B_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11205388.0	251.0	70161.0	99.2	2.0	0.3824
SternesPR_2017__Y1D1_A_shotgun__bin.2	SternesPR_2017	Y1D1_A_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11162988.0	280.0	66175.0	99.1	2.0	0.3824
SternesPR_2017__Y1D1_A_shotgun__bin.7	SternesPR_2017	Y1D1_A_shotgun	assigned	EUK10000050	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia_aff_pulcherrima	9449467.0	2831.0	3578.0	61.5	0.2	0.4653
SternesPR_2017__Y1D1_B_shotgun__bin.5	SternesPR_2017	Y1D1_B_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11051738.0	293.0	62149.0	98.5	2.0	0.3823
SternesPR_2017__Y1D1_B_shotgun__bin.6	SternesPR_2017	Y1D1_B_shotgun	assigned	EUK10000050	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia_aff_pulcherrima	10592790.0	2896.0	4026.0	71.6	0.3	0.4648
SternesPR_2017__Y2D1_A_shotgun__bin.3	SternesPR_2017	Y2D1_A_shotgun	assigned	EUK10000036	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum	8641290.0	389.0	42042.0	79.9	0.0	0.3192
SternesPR_2017__Y2D1_A_shotgun__bin.5	SternesPR_2017	Y2D1_A_shotgun	assigned	EUK10000050	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia_aff_pulcherrima	13975253.0	3268.0	5009.0	82.3	0.2	0.4581
SternesPR_2017__Y2D1_A_shotgun__bin.6	SternesPR_2017	Y2D1_A_shotgun	assigned	EUK10000043	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_osmophila	10889196.0	792.0	20606.0	95.7	0.2	0.371
SternesPR_2017__Y2D1_A_shotgun__bin.8	SternesPR_2017	Y2D1_A_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11191364.0	269.0	69052.0	99.3	2.0	0.3823
SternesPR_2017__Y2D1_B_shotgun__bin.1	SternesPR_2017	Y2D1_B_shotgun	assigned	EUK10000050	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia_aff_pulcherrima	12789962.0	3061.0	4757.0	76.9	0.4	0.4602
SternesPR_2017__Y2D1_B_shotgun__bin.2	SternesPR_2017	Y2D1_B_shotgun	assigned	EUK4932	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae	11044742.0	255.0	70543.0	98.1	1.9	0.3823
SternesPR_2017__Y2D1_B_shotgun__bin.4	SternesPR_2017	Y2D1_B_shotgun	assigned	EUK10000043	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_osmophila	10873761.0	784.0	21252.0	96.2	0.1	0.3712
SternesPR_2017__Y2D1_B_shotgun__bin.8	SternesPR_2017	Y2D1_B_shotgun	assigned	EUK10000042	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii	6698148.0	1973.0	3735.0	57.8	0.0	0.4194
