MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
FontanaF_2023__SRR20746818__bin.1	FontanaF_2023	SRR20746818	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1264159.0	36.0	57770.0	57.38	0.23	0.36
FontanaF_2023__SRR20746818__bin.2	FontanaF_2023	SRR20746818	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1758528.0	108.0	35029.0	99.99	0.71	0.38
FontanaF_2023__SRR20746818__bin.3	FontanaF_2023	SRR20746818	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1225984.0	34.0	63019.0	50.58	0.02	0.35
FontanaF_2023__SRR20746819__bin.1	FontanaF_2023	SRR20746819	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1890276.0	315.0	8355.0	84.19	1.09	0.35
FontanaF_2023__SRR20746819__bin.2	FontanaF_2023	SRR20746819	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2399089.0	110.0	55828.0	97.89	0.34	0.35
FontanaF_2023__SRR20746820__bin.2	FontanaF_2023	SRR20746820	assigned	SGB7048	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_helveticus	1683109.0	167.0	15590.0	97.45	1.22	0.37
FontanaF_2023__SRR20746820__bin.3	FontanaF_2023	SRR20746820	assigned	SGB7020	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_delbrueckii	1391516.0	97.0	18908.0	79.47	0.11	0.5
FontanaF_2023__SRR20746820__bin.4	FontanaF_2023	SRR20746820	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	934774.0	43.0	24017.0	52.65	0.27	0.4
FontanaF_2023__SRR20746820__bin.6	FontanaF_2023	SRR20746820	assigned	SGB7144	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_rhamnosus	2646360.0	112.0	39476.0	99.0	0.55	0.47
FontanaF_2023__SRR20746821__bin.1	FontanaF_2023	SRR20746821	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1499478.0	59.0	38873.0	83.28	0.33	0.39
