MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_CSIC_1__P2153_73322__bin.1	MASTER_WP4_CSIC_1	P2153_73322	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1136813.0	18.0	132986.0	66.66666667	0.0	0.376937104
MASTER_WP4_CSIC_1__P2178_73322__bin.3	MASTER_WP4_CSIC_1	P2178_73322	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	1512879.0	91.0	24454.0	70.64263323	0.0	0.354955023
MASTER_WP4_CSIC_1__P2244_73323__bin.19	MASTER_WP4_CSIC_1	P2244_73323	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1923119.0	208.0	15965.0	72.75339603	0.0	0.348596733
MASTER_WP4_CSIC_1__P2147_73322__bin.37	MASTER_WP4_CSIC_1	P2147_73322	assigned	SGB7843	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	2935442.0	266.0	35114.0	98.88888889	1.805555556	0.326112388
MASTER_WP4_CSIC_1__P2136_73322__bin.14	MASTER_WP4_CSIC_1	P2136_73322	assigned	SGB79110	kSGB	Species	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Haloflavibacter	Haloflavibacter_putidus	2939700.0	107.0	46311.0	98.09885932	0.836501901	0.355928156
MASTER_WP4_CSIC_1__P2137_73322__bin.57	MASTER_WP4_CSIC_1	P2137_73322	assigned	SGB7984	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_cremoris	2018822.0	175.0	18256.0	88.53897158	1.635220126	0.354351201
MASTER_WP4_CSIC_1__P2220_73323__bin.2	MASTER_WP4_CSIC_1	P2220_73323	assigned	SGB7225	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_diolivorans	3169553.0	108.0	48080.0	98.9375	0.78125	0.399945671
MASTER_WP4_CSIC_1__P2235_73323__bin.22	MASTER_WP4_CSIC_1	P2235_73323	assigned	SGB10068	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	4663692.0	202.0	37889.0	98.14545083	2.184813421	0.508043627
MASTER_WP4_CSIC_1__P2196_73323__bin.4	MASTER_WP4_CSIC_1	P2196_73323	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2082889.0	114.0	29220.0	94.65237048	0.315656566	0.349515505
MASTER_WP4_CSIC_1__P2177_73322__bin.4	MASTER_WP4_CSIC_1	P2177_73322	assigned	SGB7862	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_caprae	2623261.0	301.0	14142.0	96.81766267	1.963241437	0.330886633
MASTER_WP4_CSIC_1__P2_200_75211__bin.3	MASTER_WP4_CSIC_1	P2_200_75211	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	982086.0	33.0	35623.0	50.79365079	0.176366843	0.393381028
MASTER_WP4_CSIC_1__P2149_73322__bin.17	MASTER_WP4_CSIC_1	P2149_73322	assigned	SGB7869	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Macrococcoides	Macrococcoides_caseolyticum	1806061.0	263.0	8653.0	67.24137931	0.0	0.369998577
MASTER_WP4_CSIC_1__P2247_73323__bin.8	MASTER_WP4_CSIC_1	P2247_73323	assigned	SGB16742	kSGB	Species	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_rhombi	1955773.0	499.0	4353.0	58.73143294	1.108562691	0.650126063
MASTER_WP4_CSIC_1__P2139_73322__bin.7	MASTER_WP4_CSIC_1	P2139_73322	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1323469.0	44.0	40398.0	77.68940182	0.58224163	0.395774287
MASTER_WP4_CSIC_1__P2157_73322__bin.8	MASTER_WP4_CSIC_1	P2157_73322	assigned	SGB7991	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_laudensis	1940323.0	245.0	9805.0	90.28587764	3.270440252	0.389965485
MASTER_WP4_CSIC_1__P2232_73323__bin.1	MASTER_WP4_CSIC_1	P2232_73323	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2082219.0	221.0	14046.0	95.97879719	0.757575758	0.350692699
MASTER_WP4_CSIC_1__P2136_73322__bin.16	MASTER_WP4_CSIC_1	P2136_73322	assigned	SGB99144	uSGB	Family	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	GGB7989	GGB7989_SGB99144	2090690.0	29.0	123522.0	52.54702194	0.05387931	0.537083451
MASTER_WP4_CSIC_1__P2144_73322__bin.1	MASTER_WP4_CSIC_1	P2144_73322	assigned	SGB8002	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	865574.0	49.0	22345.0	56.25909753	0.145560408	0.400281201
MASTER_WP4_CSIC_1__P2245_73323__bin.5	MASTER_WP4_CSIC_1	P2245_73323	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	1657535.0	472.0	3863.0	64.23988713	0.911371237	0.470497456
MASTER_WP4_CSIC_1__P2143_73322__bin.12	MASTER_WP4_CSIC_1	P2143_73322	assigned	SGB12106	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_fragi	2270617.0	358.0	7574.0	60.52631579	3.50877193	0.586010763
MASTER_WP4_CSIC_1__P2136_73322__bin.20	MASTER_WP4_CSIC_1	P2136_73322	assigned	SGB11855	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter_japonicus	1320836.0	425.0	3320.0	54.31034483	1.724137931	0.619555342
MASTER_WP4_CSIC_1__P2144_73322__bin.14	MASTER_WP4_CSIC_1	P2144_73322	assigned	SGB7902	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium_maltaromaticum	2478431.0	29.0	256315.0	79.23497268	2.276867031	0.341880407
MASTER_WP4_CSIC_1__P2137_73322__bin.60	MASTER_WP4_CSIC_1	P2137_73322	assigned	SGB2762	ufSGB	Genus	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter_SGB2762	3878388.0	264.0	21342.0	97.34840905	2.281368821	0.373712223
MASTER_WP4_CSIC_1__P2147_73322__bin.24	MASTER_WP4_CSIC_1	P2147_73322	assigned	SGB88989	kSGB	Species	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_colorata	3943146.0	198.0	32126.0	95.99497126	2.155172414	0.544751069
MASTER_WP4_CSIC_1__P2147_73322__bin.39	MASTER_WP4_CSIC_1	P2147_73322	assigned	SGB7985	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	1938788.0	379.0	6355.0	78.47439916	0.0	0.345916108
MASTER_WP4_CSIC_1__P2155_73322__bin.5	MASTER_WP4_CSIC_1	P2155_73322	assigned	SGB7126	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_mesenteroides	1605889.0	30.0	96165.0	98.85646015	0.0	0.378287042
MASTER_WP4_CSIC_1__P2137_73322__bin.21	MASTER_WP4_CSIC_1	P2137_73322	assigned	SGB97754	ufSGB	Genus	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus_SGB97754	2040849.0	12.0	292176.0	79.84790875	0.538656527	0.335597097
MASTER_WP4_CSIC_1__P2237_73323__bin.10	MASTER_WP4_CSIC_1	P2237_73323	assigned	SGB7879	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium_gilvum	2138964.0	249.0	15003.0	95.35519126	2.874056727	0.364083734
MASTER_WP4_CSIC_1__P2234_73323__bin.6	MASTER_WP4_CSIC_1	P2234_73323	assigned	SGB8224	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_uberis	1883023.0	105.0	33051.0	93.21155943	0.572519084	0.364617426
MASTER_WP4_CSIC_1__P2199_73323__bin.1	MASTER_WP4_CSIC_1	P2199_73323	assigned	SGB7124	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc_falkenbergense	1618033.0	52.0	39709.0	94.17989418	0.176366843	0.39262549
MASTER_WP4_CSIC_1__P2248_73323__bin.6	MASTER_WP4_CSIC_1	P2248_73323	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2111374.0	292.0	9678.0	93.75	3.162202381	0.463143432
