MAG_id	dataset_id	sample_id	SGB_assignment	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LandisEA_2021__SRS5653391__bin.3	LandisEA_2021	SRS5653391	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2402686.0	38.0	93395.0	74.13793103	1.724137931	0.455294616
LandisEA_2021__SRS5653081__bin.1	LandisEA_2021	SRS5653081	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	620910.0	10.0	156243.0	50.0	0.0	0.457821584
LandisEA_2021__SRS5653199__bin.3	LandisEA_2021	SRS5653199	assigned	SGB7142	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus_paracasei	2522687.0	75.0	55067.0	97.82608696	0.0	0.466589395
LandisEA_2021__SRS5653094__bin.6	LandisEA_2021	SRS5653094	assigned	SGB1189	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_syzygii	2087428.0	15.0	169227.0	95.02487562	0.0	0.566237494
LandisEA_2021__SRS5652995__bin.1	LandisEA_2021	SRS5652995	assigned	SGB7204	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_xiangfangensis	1008799.0	5.0	609046.0	58.62068966	0.0	0.451664801
LandisEA_2021__SRS5653047__bin.1	LandisEA_2021	SRS5653047	assigned	SGB7164	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_sanfranciscensis	1217831.0	56.0	33955.0	99.375	0.625	0.345156266
LandisEA_2021__SRS5653318__bin.1	LandisEA_2021	SRS5653318	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	3156263.0	237.0	18180.0	94.44444444	2.520576132	0.44555064
LandisEA_2021__SRS5653399__bin.3	LandisEA_2021	SRS5653399	assigned	SGB80456	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Furfurilactobacillus	Furfurilactobacillus_milii	1419262.0	14.0	226864.0	92.11956522	0.27173913	0.435519305
LandisEA_2021__SRS5652913__bin.8	LandisEA_2021	SRS5652913	assigned	SGB7242	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_crustorum	680691.0	9.0	80586.0	54.86193211	0.0	0.352366933
LandisEA_2021__SRS5653152__bin.5	LandisEA_2021	SRS5653152	assigned	SGB7242	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_crustorum	2413784.0	26.0	201741.0	98.42931937	1.047120419	0.346538878
LandisEA_2021__SRS5652903__bin.3	LandisEA_2021	SRS5652903	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2139728.0	146.0	24452.0	97.5	0.0	0.462394753
LandisEA_2021__SRS5653049__bin.4	LandisEA_2021	SRS5653049	assigned	SGB7180	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_parvulus	1263438.0	25.0	84159.0	91.97530864	0.0	0.386723369
LandisEA_2021__SRS5653250__bin.1	LandisEA_2021	SRS5653250	assigned	SGB7164	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_sanfranciscensis	1120543.0	34.0	65432.0	97.5	0.625	0.344848881
LandisEA_2021__SRS5653137__bin.6	LandisEA_2021	SRS5653137	assigned	SGB1194	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_pomorum	2286429.0	14.0	375313.0	98.00995025	0.0	0.527120239
LandisEA_2021__SRS5653219__bin.1	LandisEA_2021	SRS5653219	assigned	SGB7164	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_sanfranciscensis	1178371.0	35.0	61512.0	98.75	0.625	0.346000538
LandisEA_2021__SRS5653132__bin.3	LandisEA_2021	SRS5653132	assigned	SGB7198	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_coryniformis	2577043.0	100.0	40153.0	98.64130435	1.358695652	0.427688634
LandisEA_2021__SRS5653255__bin.5	LandisEA_2021	SRS5653255	assigned	SGB7177	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_inopinatus	716767.0	14.0	105216.0	50.61728395	0.0	0.386750506
LandisEA_2021__SRS5653198__bin.5	LandisEA_2021	SRS5653198	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	1469398.0	11.0	187634.0	69.44444444	0.617283951	0.449396283
LandisEA_2021__SRS5653013__bin.1	LandisEA_2021	SRS5653013	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2221940.0	41.0	105960.0	96.58203125	0.3125	0.461820301
LandisEA_2021__SRS5652995__bin.3	LandisEA_2021	SRS5652995	assigned	SGB94447	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_lanxiensis	2608801.0	282.0	15077.0	87.56239854	0.442708333	0.509495358
LandisEA_2021__SRS5652990__bin.4	LandisEA_2021	SRS5652990	assigned	SGB80456	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Furfurilactobacillus	Furfurilactobacillus_milii	890868.0	8.0	173856.0	62.06896552	0.0	0.437188225
LandisEA_2021__SRS5653283__bin.8	LandisEA_2021	SRS5653283	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	780463.0	3.0	265167.0	50.0	0.0	0.455801236
LandisEA_2021__SRS5653333__bin.1	LandisEA_2021	SRS5653333	assigned	SGB7198	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus_coryniformis	2476765.0	124.0	31126.0	99.18478261	1.358695652	0.431592824
LandisEA_2021__SRS5652926__bin.4	LandisEA_2021	SRS5652926	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1944873.0	36.0	81492.0	76.5625	0.0	0.463285263
LandisEA_2021__SRS5653217__bin.7	LandisEA_2021	SRS5653217	assigned	SGB7196	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1842284.0	29.0	124391.0	61.875	0.0	0.462631169
LandisEA_2021__SRS5653155__bin.1	LandisEA_2021	SRS5653155	assigned	SGB7217	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	Lentilactobacillus_parabuchneri	2487082.0	31.0	127661.0	98.9375	0.0	0.436302462
LandisEA_2021__SRS5653126__bin.1	LandisEA_2021	SRS5653126	assigned	SGB1191	kSGB	Species	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_okinawensis	2507782.0	56.0	74598.0	97.51243781	0.0	0.585616692
LandisEA_2021__SRS5653217__bin.3	LandisEA_2021	SRS5653217	assigned	SGB92972	uSGB	Genus	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_SGB92972	3014132.0	20.0	447268.0	100.0	0.0	0.534306062
LandisEA_2021__SRS5653283__bin.1	LandisEA_2021	SRS5653283	assigned	SGB7770	kSGB	Species	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_altitudinis	2596531.0	19.0	344250.0	65.14522822	0.0	0.413340723
LandisEA_2021__SRS5653346__bin.5	LandisEA_2021	SRS5653346	assigned	SGB7202	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus_plantarum	2938775.0	75.0	64881.0	98.14814815	3.086419753	0.448714175
LandisEA_2021__SRS5653399__bin.4	LandisEA_2021	SRS5653399	assigned	SGB7164	kSGB	Species	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	Fructilactobacillus_sanfranciscensis	1250734.0	37.0	65432.0	99.375	0.625	0.345280451
